Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18CustomTagProcessorC1EPN3eui10MessageMgrEPNS1_7FontMgrEPKNS_13MessageSystemE","al::CustomTagProcessor::CustomTagProcessor(eui::MessageMgr *,eui::FontMgr *,al::MessageSystem const*)",false
"_ZN2al18CustomTagProcessor14processAppTag_EPKN4sead10MessageSetIDsE7TagInfoEPN2nn4font12PrintContextItEEPNS8_9RectangleEPKDs","al::CustomTagProcessor::processAppTag_(sead::MessageSet<char16_t>::TagInfo const*,nn::font::PrintContext<unsigned short> *,nn::font::Rectangle *,char16_t const*)",false
"_ZN2al18CustomTagProcessor15getPadStyleTypeEi","al::CustomTagProcessor::getPadStyleType(int)",false
"_ZN2al18CustomTagProcessor14getPadPairTypeEv","al::CustomTagProcessor::getPadPairType(void)",false
"_ZN2al18CustomTagProcessor17preProcessAppTag_EPKN4sead10MessageSetIDsE7TagInfoEPDsPjS8_jPKDsjPv","al::CustomTagProcessor::preProcessAppTag_(sead::MessageSet<char16_t>::TagInfo const*,char16_t *,unsigned int *,unsigned int *,unsigned int,char16_t const*,unsigned int,void *)",false
"_ZN2al18CustomTagProcessor18getPadStyleMessageEPKNS_17IUseMessageSystemEPKN4sead10MessageSetIDsE7TagInfoEi","al::CustomTagProcessor::getPadStyleMessage(al::IUseMessageSystem const*,sead::MessageSet<char16_t>::TagInfo const*,int)",false
"_ZN2al18CustomTagProcessor17getPadPairMessageEPKNS_17IUseMessageSystemEPKN4sead10MessageSetIDsE7TagInfoEi","al::CustomTagProcessor::getPadPairMessage(al::IUseMessageSystem const*,sead::MessageSet<char16_t>::TagInfo const*,int)",false
"_ZN2al18CustomTagProcessor26processPictFontProcessTag_EPKN4sead10MessageSetIDsE7TagInfoEPN2nn4font12PrintContextItEEPNS8_9RectangleEPKDs","al::CustomTagProcessor::processPictFontProcessTag_(sead::MessageSet<char16_t>::TagInfo const*,nn::font::PrintContext<unsigned short> *,nn::font::Rectangle *,char16_t const*)",false
"_ZN2al18CustomTagProcessorD0Ev","al::CustomTagProcessor::~CustomTagProcessor()",false
"_ZNK2al18CustomTagProcessor13getRubyScale_Ev","al::CustomTagProcessor::getRubyScale_(void)const",false
"_ZNK2al18CustomTagProcessor22getRubyBaseLinkOffset_Ev","al::CustomTagProcessor::getRubyBaseLinkOffset_(void)const",false
"_ZNK2al18CustomTagProcessor17getRubyCharSpace_Ev","al::CustomTagProcessor::getRubyCharSpace_(void)const",false
"_ZNK2al18CustomTagProcessor17getPictFontScale_Ev","al::CustomTagProcessor::getPictFontScale_(void)const",false
"_ZNK2al18CustomTagProcessor16getMessageSystemEv","al::CustomTagProcessor::getMessageSystem(void)const",false
"_ZThn80_NK2al18CustomTagProcessor16getMessageSystemEv","`non-virtual thunk to'al::CustomTagProcessor::getMessageSystem(void)const",false
