Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al9ModelCtrlC2Ev","al::ModelCtrl::ModelCtrl(void)",false
"_ZN2al9ModelCtrlD2Ev","al::ModelCtrl::~ModelCtrl()",false
"_ZN2al9ModelCtrl10initializeEPN2nn3g3d8ResModelEiiPN4sead4HeapEPNS_12ShaderHolderE","al::ModelCtrl::initialize(nn::g3d::ResModel *,int,int,sead::Heap *,al::ShaderHolder *)",false
"_ZN2al9ModelCtrl13tryBindShaderEv","al::ModelCtrl::tryBindShader(void)",false
"_ZN2al9ModelCtrl31tryUpdateModelAdditionalInfoUboEi","al::ModelCtrl::tryUpdateModelAdditionalInfoUbo(int)",false
"_ZN2al9ModelCtrl17updateWorldMatrixERKN4sead8Matrix34IfEERKNS1_7Vector3IfEE","al::ModelCtrl::updateWorldMatrix(sead::Matrix34<float> const&,sead::Vector3<float> const&)",false
"_ZN2al9ModelCtrl15updateGpuBufferEi","al::ModelCtrl::updateGpuBuffer(int)",false
"_ZN2al9ModelCtrl12calcBoundingEv","al::ModelCtrl::calcBounding(void)",false
"_ZNK2al9ModelCtrl11getLodLevelEv","al::ModelCtrl::getLodLevel(void)const",false
"_ZNK2al9ModelCtrl22getLodLevelDepthShadowEv","al::ModelCtrl::getLodLevelDepthShadow(void)const",false
"_ZN2al9ModelCtrl15calcBoundingLodEi","al::ModelCtrl::calcBoundingLod(int)",false
"_ZN2al9ModelCtrl14updateQueryBoxEv","al::ModelCtrl::updateQueryBox(void)",false
"_ZN2al9ModelCtrl21updateModelDrawBufferEi","al::ModelCtrl::updateModelDrawBuffer(int)",false
"_ZN2al9ModelCtrl18updateGpuBufferAllEv","al::ModelCtrl::updateGpuBufferAll(void)",false
"_ZNK2al9ModelCtrl14isShapeVisibleEi","al::ModelCtrl::isShapeVisible(int)const",false
"_ZN2al9ModelCtrl23setCubeMapIndexAllShapeEi","al::ModelCtrl::setCubeMapIndexAllShape(int)",false
"_ZN2al9ModelCtrl19recreateDisplayListEv","al::ModelCtrl::recreateDisplayList(void)",false
"_ZN2al9ModelCtrl23setMaterialProgrammableEib","al::ModelCtrl::setMaterialProgrammable(int,bool)",false
"_ZN2al9ModelCtrl22isMaterialProgrammableEi","al::ModelCtrl::isMaterialProgrammable(int)",false
"_ZN2al9ModelCtrl21setSkeletonUpdateInfoEbRKN4sead8Matrix34IfEERKNS1_7Vector3IfEE","al::ModelCtrl::setSkeletonUpdateInfo(bool,sead::Matrix34<float> const&,sead::Vector3<float> const&)",false
"_ZN2al9ModelCtrl15setDirtyTextureEv","al::ModelCtrl::setDirtyTexture(void)",false
"_ZN2al9ModelCtrl10onZPrePassEv","al::ModelCtrl::onZPrePass(void)",false
"_ZN2al9ModelCtrl11offZPrePassEv","al::ModelCtrl::offZPrePass(void)",false
"_ZNK2al9ModelCtrl13getEnvTexInfoEi","al::ModelCtrl::getEnvTexInfo(int)const",false
"_ZN2al9ModelCtrl29requestModelAdditionalInfoUboEv","al::ModelCtrl::requestModelAdditionalInfoUbo(void)",false
"_ZN2al9ModelCtrl10setLodCtrlEPNS_12ModelLodCtrlE","al::ModelCtrl::setLodCtrl(al::ModelLodCtrl *)",false
"_ZNK2al9ModelCtrl14getLodLevelMaxEv","al::ModelCtrl::getLodLevelMax(void)const",false
"_ZNK2al9ModelCtrl19getLodLevelMaterialEv","al::ModelCtrl::getLodLevelMaterial(void)const",false
"_ZNK2al9ModelCtrl18getLodLevelNoClampEv","al::ModelCtrl::getLodLevelNoClamp(void)const",false
"_ZN2al9ModelCtrl16setLodLevelForceEi","al::ModelCtrl::setLodLevelForce(int)",false
"_ZN2al9ModelCtrl13updateLodCtrlEv","al::ModelCtrl::updateLodCtrl(void)",false
"_ZN2al9ModelCtrl17setDitherAnimatorEPNS_14DitherAnimatorE","al::ModelCtrl::setDitherAnimator(al::DitherAnimator *)",false
"_ZN2al9ModelCtrl20updateDitherAnimatorEv","al::ModelCtrl::updateDitherAnimator(void)",false
"_ZN2al9ModelCtrl22checkChangeDisplayListEv","al::ModelCtrl::checkChangeDisplayList(void)",false
"_ZN2al9ModelCtrl18addToDrawerCullingEv","al::ModelCtrl::addToDrawerCulling(void)",false
"_ZN2al9ModelCtrl23removeFromDrawerCullingEv","al::ModelCtrl::removeFromDrawerCulling(void)",false
"_ZN2al9ModelCtrl13updateSubMeshEv","al::ModelCtrl::updateSubMesh(void)",false
"_ZN2al9ModelCtrl24setModelMaterialCategoryEPKNS_21ModelMaterialCategoryE","al::ModelCtrl::setModelMaterialCategory(al::ModelMaterialCategory const*)",false
"_ZN2al9ModelCtrl17setModelAlphaMaskEf","al::ModelCtrl::setModelAlphaMask(float)",false
"_ZN2al9ModelCtrl16setModelUvOffsetERKN4sead7Vector2IfEE","al::ModelCtrl::setModelUvOffset(sead::Vector2<float> const&)",false
"_ZN2al9ModelCtrl16setModelProjMtx0ERKN4sead8Matrix44IfEE","al::ModelCtrl::setModelProjMtx0(sead::Matrix44<float> const&)",false
"_ZN2al9ModelCtrl16setModelProjMtx1ERKN4sead8Matrix44IfEE","al::ModelCtrl::setModelProjMtx1(sead::Matrix44<float> const&)",false
"_ZN2al9ModelCtrl16setModelProjMtx2ERKN4sead8Matrix44IfEE","al::ModelCtrl::setModelProjMtx2(sead::Matrix44<float> const&)",false
"_ZN2al9ModelCtrl20setModelProgProjMtx0ERKN4sead8Matrix44IfEE","al::ModelCtrl::setModelProgProjMtx0(sead::Matrix44<float> const&)",false
"_ZN2al9ModelCtrl20setModelProgProjMtx1ERKN4sead8Matrix44IfEE","al::ModelCtrl::setModelProgProjMtx1(sead::Matrix44<float> const&)",false
"_ZN2al9ModelCtrl20setModelProgProjMtx2ERKN4sead8Matrix44IfEE","al::ModelCtrl::setModelProgProjMtx2(sead::Matrix44<float> const&)",false
"_ZN2al9ModelCtrl20setModelProgProjMtx3ERKN4sead8Matrix44IfEE","al::ModelCtrl::setModelProgProjMtx3(sead::Matrix44<float> const&)",false
"_ZN2al9ModelCtrl21setModelProgConstant0Ef","al::ModelCtrl::setModelProgConstant0(float)",false
"_ZN2al9ModelCtrl21setModelProgConstant1Ef","al::ModelCtrl::setModelProgConstant1(float)",false
"_ZN2al9ModelCtrl21setModelProgConstant2Ef","al::ModelCtrl::setModelProgConstant2(float)",false
"_ZN2al9ModelCtrl21setModelProgConstant3Ef","al::ModelCtrl::setModelProgConstant3(float)",false
"_ZN2al9ModelCtrl21setModelProgConstant4Ef","al::ModelCtrl::setModelProgConstant4(float)",false
"_ZN2al9ModelCtrl21setModelProgConstant5Ef","al::ModelCtrl::setModelProgConstant5(float)",false
"_ZN2al9ModelCtrl21setModelProgConstant6Ef","al::ModelCtrl::setModelProgConstant6(float)",false
"_ZN2al9ModelCtrl21setModelProgConstant7Ef","al::ModelCtrl::setModelProgConstant7(float)",false
"_ZN2al9ModelCtrl19setNormalAxisXScaleEf","al::ModelCtrl::setNormalAxisXScale(float)",false
"_ZNK2al9ModelCtrl34calcCameraToBoundingSphereDistanceEv","al::ModelCtrl::calcCameraToBoundingSphereDistance(void)const",false
"_ZNK2al9ModelCtrl19isUseLocalShadowMapEv","al::ModelCtrl::isUseLocalShadowMap(void)const",false
"_ZN2al9ModelCtrl22validateOcclusionQueryEv","al::ModelCtrl::validateOcclusionQuery(void)",false
"_ZN2al9ModelCtrl24invalidateOcclusionQueryEv","al::ModelCtrl::invalidateOcclusionQuery(void)",false
"_ZNK2al9ModelCtrl21isValidOcclusionQueryEv","al::ModelCtrl::isValidOcclusionQuery(void)const",false
"_ZN2al9ModelCtrl16createUniqShaderEv","al::ModelCtrl::createUniqShader(void)",false
"_ZN2al9ModelCtrl18isCreateUniqShaderEi","al::ModelCtrl::isCreateUniqShader(int)",false
"_ZN2al9ModelCtrl18getUniqModelShaderEi","al::ModelCtrl::getUniqModelShader(int)",false
"_ZN2al9ModelCtrl24getUniqModelShaderAssginEi","al::ModelCtrl::getUniqModelShaderAssgin(int)",false
"_ZN2al9ModelCtrl20pushDisplayListModelEPN3agl11DisplayListE","al::ModelCtrl::pushDisplayListModel(agl::DisplayList *)",false
"_ZN2al9ModelCtrl20pushDisplayListShapeEPN3agl11DisplayListEi","al::ModelCtrl::pushDisplayListShape(agl::DisplayList *,int)",false
"_ZNK2al9ModelCtrl17getModelShapeCtrlEi","al::ModelCtrl::getModelShapeCtrl(int)const",false
"_ZN2al9ModelCtrl12initResourceEPNS_8ResourceES2_","al::ModelCtrl::initResource(al::Resource *,al::Resource *)",false
"_ZN2al9ModelCtrl9initModelEPNS_15GpuMemAllocatorEPNS_17ModelShaderHolderEPNS_29ModelOcclusionCullingDirectorEPNS_14ShadowDirectorEPNS_22PrepassTriangleCullingEii","al::ModelCtrl::initModel(al::GpuMemAllocator *,al::ModelShaderHolder *,al::ModelOcclusionCullingDirector *,al::ShadowDirector *,al::PrepassTriangleCulling *,int,int)",false
"_ZN2al9ModelCtrl26tryCreateCulledIndexBufferEv","al::ModelCtrl::tryCreateCulledIndexBuffer(void)",false
"_ZN2al9ModelCtrl4showEv","al::ModelCtrl::show(void)",false
"_ZN2al9ModelCtrl4hideEv","al::ModelCtrl::hide(void)",false
"_ZN2al9ModelCtrl4calcERKN4sead8Matrix34IfEERKNS1_7Vector3IfEE","al::ModelCtrl::calc(sead::Matrix34<float> const&,sead::Vector3<float> const&)",false
"_ZN2al9ModelCtrl8calcViewEv","al::ModelCtrl::calcView(void)",false
"_ZNK2al9ModelCtrl30calcModelObjBoundingWithOffsetEPN2nn3g3d6SphereE","al::ModelCtrl::calcModelObjBoundingWithOffset(nn::g3d::Sphere *)const",false
"_ZN2al9ModelCtrl13setCameraInfoEPKN4sead8Matrix34IfEES5_PKNS1_8Matrix44IfEES9_","al::ModelCtrl::setCameraInfo(sead::Matrix34<float> const*,sead::Matrix34<float> const*,sead::Matrix44<float> const*,sead::Matrix44<float> const*)",false
"_ZNK2al9ModelCtrl11getShapeObjEi","al::ModelCtrl::getShapeObj(int)const",false
