Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12ModelLodCtrlC2EPNS_10IUseCameraEPKN4sead7Vector3IfEEPKNS3_8Matrix34IfEES7_RKNS3_9BoundBox3IfEEi","al::ModelLodCtrl::ModelLodCtrl(al::IUseCamera *,sead::Vector3<float> const*,sead::Matrix34<float> const*,sead::Vector3<float> const*,sead::BoundBox3<float> const&,int)",false
"_ZN2al12ModelLodCtrl4initERKNS_9ByamlIterE","al::ModelLodCtrl::init(al::ByamlIter const&)",false
"_ZNK2al12ModelLodCtrl10isValidateEv","al::ModelLodCtrl::isValidate(void)const",false
"_ZNK2al12ModelLodCtrl19isEnableMaterialLodEv","al::ModelLodCtrl::isEnableMaterialLod(void)const",false
"_ZNK2al12ModelLodCtrl13getModelLevelEv","al::ModelLodCtrl::getModelLevel(void)const",false
"_ZNK2al12ModelLodCtrl20getModelLevelNoClampEv","al::ModelLodCtrl::getModelLevelNoClamp(void)const",false
"_ZNK2al12ModelLodCtrl14getShadowLevelEv","al::ModelLodCtrl::getShadowLevel(void)const",false
"_ZNK2al12ModelLodCtrl16getMaterialLevelEv","al::ModelLodCtrl::getMaterialLevel(void)const",false
"_ZN2al12ModelLodCtrl16setDistanceScaleEf","al::ModelLodCtrl::setDistanceScale(float)",false
"_ZN2al12ModelLodCtrl6updateEv","al::ModelLodCtrl::update(void)",false
