Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al11ModelShaderC2Ev","al::ModelShader::ModelShader(void)",false
"_ZN2al11ModelShaderD2Ev","al::ModelShader::~ModelShader()",false
"_ZN2al11ModelShader4initEPKN2nn3g3d8ModelObjEPKNS2_8ShapeObjEPKNS2_11MaterialObjEPNS2_15ResShadingModelEiPNS_12ShaderHolderEPNS_15GpuMemAllocatorEbiPKPKcSL_PNS_22ModelShaderOptionCacheE","al::ModelShader::init(nn::g3d::ModelObj const*,nn::g3d::ShapeObj const*,nn::g3d::MaterialObj const*,nn::g3d::ResShadingModel *,int,al::ShaderHolder *,al::GpuMemAllocator *,bool,int,char const* const*,char const* const*,al::ModelShaderOptionCache *)",false
"_ZN2al11ModelShader6searchEPN2nn3g3d14ShaderSelectorEPNS2_15ShadingModelObjEPKNS2_8ShapeObjEPKNS2_11MaterialObjEiPKPKcSG_PNS_22ModelShaderOptionCacheE","al::ModelShader::search(nn::g3d::ShaderSelector *,nn::g3d::ShadingModelObj *,nn::g3d::ShapeObj const*,nn::g3d::MaterialObj const*,int,char const* const*,char const* const*,al::ModelShaderOptionCache *)",false
"_ZN2al11ModelShader22requestDynamicVariatonEPKcS2_","al::ModelShader::requestDynamicVariaton(char const*,char const*)",false
"_ZN2al11ModelShader25tryUpdateDynamicVariationEv","al::ModelShader::tryUpdateDynamicVariation(void)",false
"_ZNK2al11ModelShader17getShaderSelectorEv","al::ModelShader::getShaderSelector(void)const",false
"_ZNK2al11ModelShader15getShadingModelEv","al::ModelShader::getShadingModel(void)const",false
"_ZNK2al11ModelShader16getShaderProgramEv","al::ModelShader::getShaderProgram(void)const",false
"_ZNK2al11ModelShader18getResShadingModelEv","al::ModelShader::getResShadingModel(void)const",false
"_ZNK2al11ModelShader19getShadingModelNameEv","al::ModelShader::getShadingModelName(void)const",false
"_ZNK2al11ModelShader21getUberShaderSelectorEv","al::ModelShader::getUberShaderSelector(void)const",false
"_ZNK2al11ModelShader15checkShaderUberEv","al::ModelShader::checkShaderUber(void)const",false
