Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al21ParabolicPathMovementC2EPNS_9LiveActorEb","al::ParabolicPathMovement::ParabolicPathMovement(al::LiveActor *,bool)",false
"_ZN2al21ParabolicPathMovement5startERKN4sead7Vector3IfEEffii","al::ParabolicPathMovement::start(sead::Vector3<float> const&,float,float,int,int)",false
"_ZN2al21ParabolicPathMovement14setOrbitParamsERKN4sead7Vector3IfEES5_ffii","al::ParabolicPathMovement::setOrbitParams(sead::Vector3<float> const&,sead::Vector3<float> const&,float,float,int,int)",false
"_ZN2al21ParabolicPathMovement5startERKN4sead7Vector3IfEEfi","al::ParabolicPathMovement::start(sead::Vector3<float> const&,float,int)",false
"_ZNK2al21ParabolicPathMovement12isReachedEndEv","al::ParabolicPathMovement::isReachedEnd(void)const",false
"_ZNK2al21ParabolicPathMovement12isOverTheTopEv","al::ParabolicPathMovement::isOverTheTop(void)const",false
"_ZNK2al21ParabolicPathMovement8calcRateEv","al::ParabolicPathMovement::calcRate(void)const",false
"_ZN2al21ParabolicPathMovement11setVelocityEf","al::ParabolicPathMovement::setVelocity(float)",false
"_ZN2al21ParabolicPathMovement7exeMoveEv","al::ParabolicPathMovement::exeMove(void)",false
"_ZN2al21ParabolicPathMovementD0Ev","al::ParabolicPathMovement::~ParabolicPathMovement()",false
"sub_71009542C0","",false
