Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14RaceCheckPointC2Ev","al::RaceCheckPoint::RaceCheckPoint(void)",false
"_ZN2al14RaceCheckPoint4initERKNS_13PlacementInfoE","al::RaceCheckPoint::init(al::PlacementInfo const&)",false
"_ZN2al14RaceCheckPoint19initFinalCheckPointERKNS_13PlacementInfoE","al::RaceCheckPoint::initFinalCheckPoint(al::PlacementInfo const&)",false
"_ZNK2al14RaceCheckPoint6updateEPbS1_PiPfRKN4sead7Vector3IfEES8_","al::RaceCheckPoint::update(bool *,bool *,int *,float *,sead::Vector3<float> const&,sead::Vector3<float> const&)const",false
"sub_7100954ED8","",false
"_ZNK2al14RaceCheckPoint11updateFinalEPbS1_PfRKN4sead7Vector3IfEES7_","al::RaceCheckPoint::updateFinal(bool *,bool *,float *,sead::Vector3<float> const&,sead::Vector3<float> const&)const",false
"_ZNK2al14RaceCheckPoint10calcIsPassEiRKN4sead7Vector3IfEES5_","al::RaceCheckPoint::calcIsPass(int,sead::Vector3<float> const&,sead::Vector3<float> const&)const",false
"_ZNK2al14RaceCheckPoint13calcIsReverseERKN4sead7Vector3IfEES5_i","al::RaceCheckPoint::calcIsReverse(sead::Vector3<float> const&,sead::Vector3<float> const&,int)const",false
"_ZNK2al14RaceCheckPoint13calcGoalPlaneEPN4sead7Vector3IfEES4_","al::RaceCheckPoint::calcGoalPlane(sead::Vector3<float> *,sead::Vector3<float> *)const",false
"_ZNK2al14RaceCheckPoint16getCheckPointPosEPN4sead7Vector3IfEEi","al::RaceCheckPoint::getCheckPointPos(sead::Vector3<float> *,int)const",false
"_ZNK2al14RaceCheckPoint18getCheckPointFrontEPN4sead7Vector3IfEEi","al::RaceCheckPoint::getCheckPointFront(sead::Vector3<float> *,int)const",false
