Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al24FriendsProfileDownloaderC2Ev","al::FriendsProfileDownloader::FriendsProfileDownloader(void)",false
"_ZN2al24FriendsProfileDownloader12executeAsyncEPN4sead6ThreadEl","al::FriendsProfileDownloader::executeAsync(sead::Thread *,long)",false
"_ZN2al24FriendsProfileDownloaderD2Ev","al::FriendsProfileDownloader::~FriendsProfileDownloader()",false
"_ZN2al24FriendsProfileDownloaderD0Ev","al::FriendsProfileDownloader::~FriendsProfileDownloader()",false
"_ZN2al24FriendsProfileDownloader15requestDownloadEPvmN2nn7friends9ImageSizeE","al::FriendsProfileDownloader::requestDownload(void *,unsigned long,nn::friends::ImageSize)",false
"_ZNK2al24FriendsProfileDownloader9waitAsyncEv","al::FriendsProfileDownloader::waitAsync(void)const",false
"_ZNK2al24FriendsProfileDownloader11getNicknameEv","al::FriendsProfileDownloader::getNickname(void)const",false
"_ZN2al24FriendsProfileDownloader7executeEv","al::FriendsProfileDownloader::execute(void)",false
"_ZNK2al24FriendsProfileDownloader15getSceneObjNameEv","al::FriendsProfileDownloader::getSceneObjName(void)const",false
"_ZN4sead9Delegate2IN2al24FriendsProfileDownloaderEPNS_6ThreadElE6invokeES4_l","sead::Delegate2<al::FriendsProfileDownloader,sead::Thread *,long>::invoke(sead::Thread *,long)",false
"_ZNK4sead9Delegate2IN2al24FriendsProfileDownloaderEPNS_6ThreadElE5cloneEPNS_4HeapE","sead::Delegate2<al::FriendsProfileDownloader,sead::Thread *,long>::clone(sead::Heap *)const",false
