Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al21DynamicCollisionActorC2ERKNS_13ActorInitInfoEiPKN4sead8Matrix34IfEEPNS_9HitSensorEPKv","al::DynamicCollisionActor::DynamicCollisionActor(al::ActorInitInfo const&,int,sead::Matrix34<float> const*,al::HitSensor *,void const*)",false
"_ZN2al21DynamicCollisionActor6createEi","al::DynamicCollisionActor::create(int)",false
"_ZN2al21DynamicCollisionActor5beginEv","al::DynamicCollisionActor::begin(void)",false
"_ZN2al21DynamicCollisionActor6vertexERKN4sead7Vector3IfEE","al::DynamicCollisionActor::vertex(sead::Vector3<float> const&)",false
"_ZN2al21DynamicCollisionActor7endDataEv","al::DynamicCollisionActor::endData(void)",false
"_ZN2al21DynamicCollisionActor20updateCollisionPartsEv","al::DynamicCollisionActor::updateCollisionParts(void)",false
"_ZN2al21DynamicCollisionActorC1ERKNS_13ActorInitInfoEiPKN4sead8Matrix34IfEEPNS_9HitSensorEPKv","al::DynamicCollisionActor::DynamicCollisionActor(al::ActorInitInfo const&,int,sead::Matrix34<float> const*,al::HitSensor *,void const*)",false
"_ZN2al21DynamicCollisionActor9attributeEt","al::DynamicCollisionActor::attribute(unsigned short)",false
"_ZN2al21DynamicCollisionActor9makePrismEv","al::DynamicCollisionActor::makePrism(void)",false
"_ZN2al21DynamicCollisionActor3endEv","al::DynamicCollisionActor::end(void)",false
