Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16DynamicDrawActorC2ERKNS_13ActorInitInfoEiPKcNS0_12DrawCategoryEb","al::DynamicDrawActor::DynamicDrawActor(al::ActorInitInfo const&,int,char const*,al::DynamicDrawActor::DrawCategory,bool)",false
"_ZNK2al16DynamicDrawActor15drawDepthShadowEv","al::DynamicDrawActor::drawDepthShadow(void)const",false
"_ZN2al16DynamicDrawActorC1ERKNS_13ActorInitInfoEiPKcNS0_12DrawCategoryEb","al::DynamicDrawActor::DynamicDrawActor(al::ActorInitInfo const&,int,char const*,al::DynamicDrawActor::DrawCategory,bool)",false
"_ZNK2al16DynamicDrawActor4drawEv","al::DynamicDrawActor::draw(void)const",false
"_ZN2al16DynamicDrawActor8finalizeEv","al::DynamicDrawActor::finalize(void)",false
"_ZThn264_N2al16DynamicDrawActor8finalizeEv","`non-virtual thunk to'al::DynamicDrawActor::finalize(void)",false
"_ZN2al16DynamicDrawActor8setupHioEv","al::DynamicDrawActor::setupHio(void)",false
"_ZN2al16DynamicDrawActor5beginEv","al::DynamicDrawActor::begin(void)",false
"_ZN2al16DynamicDrawActor6normalERKN4sead7Vector3IfEE","al::DynamicDrawActor::normal(sead::Vector3<float> const&)",false
"_ZN2al16DynamicDrawActor5colorERKN4sead7Color4fE","al::DynamicDrawActor::color(sead::Color4f const&)",false
"_ZN2al16DynamicDrawActor8texCoordERKN4sead7Vector2IfEEi","al::DynamicDrawActor::texCoord(sead::Vector2<float> const&,int)",false
"_ZN2al16DynamicDrawActor7tangentERKN4sead7Vector4IfEE","al::DynamicDrawActor::tangent(sead::Vector4<float> const&)",false
"_ZN2al16DynamicDrawActor6weightERKN4sead7Vector4IfEE","al::DynamicDrawActor::weight(sead::Vector4<float> const&)",false
"_ZN2al16DynamicDrawActor6skinIdERKN4sead7Vector4IjEE","al::DynamicDrawActor::skinId(sead::Vector4<unsigned int> const&)",false
"_ZN2al16DynamicDrawActor6vertexERKN4sead7Vector3IfEE","al::DynamicDrawActor::vertex(sead::Vector3<float> const&)",false
"_ZN2al16DynamicDrawActor3endEv","al::DynamicDrawActor::end(void)",false
"_ZN2al16DynamicDrawActor11beginModifyEv","al::DynamicDrawActor::beginModify(void)",false
"_ZN2al16DynamicDrawActor6normalEjRKN4sead7Vector3IfEE","al::DynamicDrawActor::normal(unsigned int,sead::Vector3<float> const&)",false
"_ZN2al16DynamicDrawActor5colorEjRKN4sead7Color4fE","al::DynamicDrawActor::color(unsigned int,sead::Color4f const&)",false
"_ZN2al16DynamicDrawActor8texCoordEjRKN4sead7Vector2IfEEi","al::DynamicDrawActor::texCoord(unsigned int,sead::Vector2<float> const&,int)",false
"_ZN2al16DynamicDrawActor7tangentEjRKN4sead7Vector4IfEE","al::DynamicDrawActor::tangent(unsigned int,sead::Vector4<float> const&)",false
"_ZN2al16DynamicDrawActor6weightEjRKN4sead7Vector4IfEE","al::DynamicDrawActor::weight(unsigned int,sead::Vector4<float> const&)",false
"_ZN2al16DynamicDrawActor6skinIdEjRKN4sead7Vector4IjEE","al::DynamicDrawActor::skinId(unsigned int,sead::Vector4<unsigned int> const&)",false
"_ZN2al16DynamicDrawActor6vertexEjRKN4sead7Vector3IfEE","al::DynamicDrawActor::vertex(unsigned int,sead::Vector3<float> const&)",false
"_ZN2al16DynamicDrawActor9endModifyEv","al::DynamicDrawActor::endModify(void)",false
"_ZN2al16DynamicDrawActor8movementEv","al::DynamicDrawActor::movement(void)",false
"_ZNK2al10FunctorV0MIPKNS_16DynamicDrawActorEMS1_KFvvEEclEv","al::FunctorV0M<al::DynamicDrawActor const*,void (al::DynamicDrawActor::*)(void)const>::operator()(void)const",false
"_ZNK2al10FunctorV0MIPKNS_16DynamicDrawActorEMS1_KFvvEE5cloneEv","al::FunctorV0M<al::DynamicDrawActor const*,void (al::DynamicDrawActor::*)(void)const>::clone(void)const",false
"_ZN2al10FunctorV0MIPKNS_16DynamicDrawActorEMS1_KFvvEED0Ev","al::FunctorV0M<al::DynamicDrawActor const*,void (al::DynamicDrawActor::*)(void)const>::~FunctorV0M()",false
