Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17DynamicMeshDrawerC2EPKcPN3agl11DrawContextEPKN2nn3g3d8ModelObjEPKNS7_8ShapeObjEPKNS_11ModelShaderEiiiPKS0_","al::DynamicMeshDrawer::DynamicMeshDrawer(char const*,agl::DrawContext *,nn::g3d::ModelObj const*,nn::g3d::ShapeObj const*,al::ModelShader const*,int,int,int,al::DynamicMeshDrawer const*)",false
"_ZNK2al17DynamicMeshDrawer18getShadingModelObjEv","al::DynamicMeshDrawer::getShadingModelObj(void)const",false
"_ZN2al17DynamicMeshDrawerD2Ev","al::DynamicMeshDrawer::~DynamicMeshDrawer()",false
"_ZN2al17DynamicMeshDrawerD0Ev","al::DynamicMeshDrawer::~DynamicMeshDrawer()",false
"_ZN2al17DynamicMeshDrawer18initForDepthShadowEv","al::DynamicMeshDrawer::initForDepthShadow(void)",false
"_ZN2al17DynamicMeshDrawer20clearDepthShadowFlagEv","al::DynamicMeshDrawer::clearDepthShadowFlag(void)",false
"_ZN2al17DynamicMeshDrawer20preDrawToDepthShadowEPNS_17DepthShadowDrawerE","al::DynamicMeshDrawer::preDrawToDepthShadow(al::DepthShadowDrawer *)",false
"_ZN2al17DynamicMeshDrawer17setBoundingRadiusEf","al::DynamicMeshDrawer::setBoundingRadius(float)",false
"_ZN2al17DynamicMeshDrawer5beginEv","al::DynamicMeshDrawer::begin(void)",false
"_ZN2al17DynamicMeshDrawer6normalERKN4sead7Vector3IfEE","al::DynamicMeshDrawer::normal(sead::Vector3<float> const&)",false
"_ZN2al17DynamicMeshDrawer5colorERKN4sead7Color4fE","al::DynamicMeshDrawer::color(sead::Color4f const&)",false
"_ZN2al17DynamicMeshDrawer8texCoordERKN4sead7Vector2IfEEi","al::DynamicMeshDrawer::texCoord(sead::Vector2<float> const&,int)",false
"_ZN2al17DynamicMeshDrawer7tangentERKN4sead7Vector4IfEE","al::DynamicMeshDrawer::tangent(sead::Vector4<float> const&)",false
"_ZN2al17DynamicMeshDrawer6weightERKN4sead7Vector4IfEE","al::DynamicMeshDrawer::weight(sead::Vector4<float> const&)",false
"_ZN2al17DynamicMeshDrawer6skinIdERKN4sead7Vector4IjEE","al::DynamicMeshDrawer::skinId(sead::Vector4<unsigned int> const&)",false
"_ZN2al17DynamicMeshDrawer6vertexERKN4sead7Vector3IfEE","al::DynamicMeshDrawer::vertex(sead::Vector3<float> const&)",false
"_ZN2al17DynamicMeshDrawer3endEv","al::DynamicMeshDrawer::end(void)",false
"_ZN2al17DynamicMeshDrawer11beginModifyEv","al::DynamicMeshDrawer::beginModify(void)",false
"_ZN2al17DynamicMeshDrawer6normalEjRKN4sead7Vector3IfEE","al::DynamicMeshDrawer::normal(unsigned int,sead::Vector3<float> const&)",false
"_ZN2al17DynamicMeshDrawer5colorEjRKN4sead7Color4fE","al::DynamicMeshDrawer::color(unsigned int,sead::Color4f const&)",false
"_ZN2al17DynamicMeshDrawer8texCoordEjRKN4sead7Vector2IfEEi","al::DynamicMeshDrawer::texCoord(unsigned int,sead::Vector2<float> const&,int)",false
"_ZN2al17DynamicMeshDrawer7tangentEjRKN4sead7Vector4IfEE","al::DynamicMeshDrawer::tangent(unsigned int,sead::Vector4<float> const&)",false
"_ZN2al17DynamicMeshDrawer6weightEjRKN4sead7Vector4IfEE","al::DynamicMeshDrawer::weight(unsigned int,sead::Vector4<float> const&)",false
"_ZN2al17DynamicMeshDrawer6skinIdEjRKN4sead7Vector4IjEE","al::DynamicMeshDrawer::skinId(unsigned int,sead::Vector4<unsigned int> const&)",false
"_ZN2al17DynamicMeshDrawer6vertexEjRKN4sead7Vector3IfEE","al::DynamicMeshDrawer::vertex(unsigned int,sead::Vector3<float> const&)",false
"_ZN2al17DynamicMeshDrawer9endModifyEv","al::DynamicMeshDrawer::endModify(void)",false
"_ZN2al17DynamicMeshDrawer17createDisplayListEPN3agl10GPUMemAddrIhEENS0_26GRAPHICS_CTX_ACTIVATE_TYPEENS0_21TEXTURE_ACTIVATE_TYPEENS0_22MATERIAL_ACTIVATE_TYPEEPKNS_9ModelCtrlEbb","al::DynamicMeshDrawer::createDisplayList(agl::GPUMemAddr<unsigned char> *,al::DynamicMeshDrawer::GRAPHICS_CTX_ACTIVATE_TYPE,al::DynamicMeshDrawer::TEXTURE_ACTIVATE_TYPE,al::DynamicMeshDrawer::MATERIAL_ACTIVATE_TYPE,al::ModelCtrl const*,bool,bool)",false
"_ZNK2al17DynamicMeshDrawer4drawEPKN2nn3g3d10ViewVolumeEiiPNS_19ModelAdditionalInfoE","al::DynamicMeshDrawer::draw(nn::g3d::ViewVolume const*,int,int,al::ModelAdditionalInfo *)const",false
"sub_71009675FC","",false
"_ZNK2al17DynamicMeshDrawer15drawDepthShadowEPKN2nn3g3d10ViewVolumeEiii","al::DynamicMeshDrawer::drawDepthShadow(nn::g3d::ViewVolume const*,int,int,int)const",false
"_ZNK2al17DynamicMeshDrawer15isExistDrawMeshEv","al::DynamicMeshDrawer::isExistDrawMesh(void)const",false
"_ZN2al17DynamicMeshDrawer7addMeshEPKN2nn3g3d8ModelObjEPKNS2_8ShapeObjEPNS_9ModelCtrlE","al::DynamicMeshDrawer::addMesh(nn::g3d::ModelObj const*,nn::g3d::ShapeObj const*,al::ModelCtrl *)",false
"_ZN2al17DynamicMeshDrawer10removeMeshEPKN2nn3g3d8ModelObjEPKNS2_8ShapeObjE","al::DynamicMeshDrawer::removeMesh(nn::g3d::ModelObj const*,nn::g3d::ShapeObj const*)",false
