Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15FootPrintHolderC2EPNS_9LiveActorEPKcPNS_9HitSensorEPNS_15FootPrintServerE","al::FootPrintHolder::FootPrintHolder(al::LiveActor *,char const*,al::HitSensor *,al::FootPrintServer *)",false
"_ZN2al15FootPrintHolder16createActionListEv","al::FootPrintHolder::createActionList(void)",false
"_ZN2al15FootPrintHolder17clearAllFootPrintEv","al::FootPrintHolder::clearAllFootPrint(void)",false
"_ZN2al15FootPrintHolder6updateEv","al::FootPrintHolder::update(void)",false
"_ZN2al15FootPrintHolder15appearFootPrintERKN4sead7Vector3IfEE","al::FootPrintHolder::appearFootPrint(sead::Vector3<float> const&)",false
"_ZN2al15FootPrintHolder17findDeadFootPrintEv","al::FootPrintHolder::findDeadFootPrint(void)",false
"_ZN2al15FootPrintHolder24findDeadFootPrintByForceEv","al::FootPrintHolder::findDeadFootPrintByForce(void)",false
"_ZNK2al15FootPrintHolder16getCharacterNameEv","al::FootPrintHolder::getCharacterName(void)const",false
"_ZNK2al15FootPrintHolder20getMetamorphosisNameEv","al::FootPrintHolder::getMetamorphosisName(void)const",false
"_ZN2al15FootPrintHolder16createTimingListEPNS0_6ActionEPNS_9ByamlIterE","al::FootPrintHolder::createTimingList(al::FootPrintHolder::Action *,al::ByamlIter *)",false
"_ZNK2al15FootPrintHolder16calcMaxAppearNumEv","al::FootPrintHolder::calcMaxAppearNum(void)const",false
