Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al29SphereJudgeDistanceCalculatorC2Ev","al::SphereJudgeDistanceCalculator::SphereJudgeDistanceCalculator(void)",false
"_ZN2al29SphereJudgeDistanceCalculator4loadERKNS_9ByamlIterE","al::SphereJudgeDistanceCalculator::load(al::ByamlIter const&)",false
"_ZNK2al29SphereJudgeDistanceCalculator17calcJudgeDistanceEPKNS_9LiveActorE","al::SphereJudgeDistanceCalculator::calcJudgeDistance(al::LiveActor const*)const",false
"_ZN2al34BoundingBoxJudgeDistanceCalculatorC2Ev","al::BoundingBoxJudgeDistanceCalculator::BoundingBoxJudgeDistanceCalculator(void)",false
"_ZN2al34BoundingBoxJudgeDistanceCalculatorC2ERKN4sead7Vector3IfEES5_","al::BoundingBoxJudgeDistanceCalculator::BoundingBoxJudgeDistanceCalculator(sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al34BoundingBoxJudgeDistanceCalculator4loadERKNS_9ByamlIterE","al::BoundingBoxJudgeDistanceCalculator::load(al::ByamlIter const&)",false
"_ZNK2al34BoundingBoxJudgeDistanceCalculator17calcJudgeDistanceEPKNS_9LiveActorE","al::BoundingBoxJudgeDistanceCalculator::calcJudgeDistance(al::LiveActor const*)const",false
"_ZNK2al34BoundingBoxJudgeDistanceCalculator7makeBoxEPN4sead9BoundBox3IfEE","al::BoundingBoxJudgeDistanceCalculator::makeBox(sead::BoundBox3<float> *)const",false
"_ZN2al34BoundingBoxJudgeDistanceCalculator14setLocalOffsetERKN4sead7Vector3IfEE","al::BoundingBoxJudgeDistanceCalculator::setLocalOffset(sead::Vector3<float> const&)",false
"_ZN2al29JudgeDistanceCalculatorHolderC2EPKNS_9LiveActorE","al::JudgeDistanceCalculatorHolder::JudgeDistanceCalculatorHolder(al::LiveActor const*)",false
"_ZN2al29JudgeDistanceCalculatorHolder10initSphereEf","al::JudgeDistanceCalculatorHolder::initSphere(float)",false
"_ZN2al29JudgeDistanceCalculatorHolder15initBoundingBoxERKN4sead7Vector3IfEES5_","al::JudgeDistanceCalculatorHolder::initBoundingBox(sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al29JudgeDistanceCalculatorHolder8initNameEPKc","al::JudgeDistanceCalculatorHolder::initName(char const*)",false
"_ZN2al29JudgeDistanceCalculatorHolder4loadERKNS_9ByamlIterE","al::JudgeDistanceCalculatorHolder::load(al::ByamlIter const&)",false
"_ZNK2al29JudgeDistanceCalculatorHolder11isEqualNameEPKc","al::JudgeDistanceCalculatorHolder::isEqualName(char const*)const",false
"_ZN2al29SphereJudgeDistanceCalculator15setSphereRadiusEf","al::SphereJudgeDistanceCalculator::setSphereRadius(float)",false
"_ZN2al29SphereJudgeDistanceCalculator14setLocalOffsetERKN4sead7Vector3IfEE","al::SphereJudgeDistanceCalculator::setLocalOffset(sead::Vector3<float> const&)",false
"_ZN2al24IJudgeDistanceCalculator15setSphereRadiusEf","al::IJudgeDistanceCalculator::setSphereRadius(float)",false
