Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10PartsModelC2EPKc","al::PartsModel::PartsModel(char const*)",false
"_ZN2al10PartsModelC1EPKc","al::PartsModel::PartsModel(char const*)",false
"_ZN2al10PartsModel15initPartsDirectEPNS_9LiveActorERKNS_13ActorInitInfoEPKcPKN4sead8Matrix34IfEERKNS8_7Vector3IfEESG_SG_b","al::PartsModel::initPartsDirect(al::LiveActor *,al::ActorInitInfo const&,char const*,sead::Matrix34<float> const*,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,bool)",false
"_ZN2al10PartsModel15initPartsSuffixEPNS_9LiveActorERKNS_13ActorInitInfoEPKcS7_PKN4sead8Matrix34IfEEb","al::PartsModel::initPartsSuffix(al::LiveActor *,al::ActorInitInfo const&,char const*,char const*,sead::Matrix34<float> const*,bool)",false
"_ZN2al10PartsModel12initPartsMtxEPNS_9LiveActorERKNS_13ActorInitInfoEPKcPKN4sead8Matrix34IfEEb","al::PartsModel::initPartsMtx(al::LiveActor *,al::ActorInitInfo const&,char const*,sead::Matrix34<float> const*,bool)",false
"_ZN2al10PartsModel16initPartsFixFileEPNS_9LiveActorERKNS_13ActorInitInfoEPKcS7_S7_","al::PartsModel::initPartsFixFile(al::LiveActor *,al::ActorInitInfo const&,char const*,char const*,char const*)",false
"_ZN2al10PartsModel26initPartsFixFileNoRegisterEPNS_9LiveActorERKNS_13ActorInitInfoEPKcS7_S7_","al::PartsModel::initPartsFixFileNoRegister(al::LiveActor *,al::ActorInitInfo const&,char const*,char const*,char const*)",false
"_ZN2al10PartsModel10endClippedEv","al::PartsModel::endClipped(void)",false
"_ZN2al10PartsModel10updatePoseEv","al::PartsModel::updatePose(void)",false
"_ZN2al10PartsModel8calcAnimEv","al::PartsModel::calcAnim(void)",false
"_ZN2al10PartsModel12attackSensorEPNS_9HitSensorES2_","al::PartsModel::attackSensor(al::HitSensor *,al::HitSensor *)",false
"_ZN2al10PartsModel10receiveMsgEPKNS_9SensorMsgEPNS_9HitSensorES5_","al::PartsModel::receiveMsg(al::SensorMsg const*,al::HitSensor *,al::HitSensor *)",false
"_ZN2al10PartsModel20offSyncAppearAndHideEv","al::PartsModel::offSyncAppearAndHide(void)",false
"_ZN2al10PartsModel19onSyncAppearAndHideEv","al::PartsModel::onSyncAppearAndHide(void)",false
