Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al20SimpleCircleShadowXZC2EPKc","al::SimpleCircleShadowXZ::SimpleCircleShadowXZ(char const*)",false
"_ZN2al20SimpleCircleShadowXZC1EPKc","al::SimpleCircleShadowXZ::SimpleCircleShadowXZ(char const*)",false
"_ZN2al20SimpleCircleShadowXZ22initSimpleCircleShadowEPNS_9LiveActorERKNS_13ActorInitInfoEPKcS7_","al::SimpleCircleShadowXZ::initSimpleCircleShadow(al::LiveActor *,al::ActorInitInfo const&,char const*,char const*)",false
"_ZN2al20SimpleCircleShadowXZ14makeActorAliveEv","al::SimpleCircleShadowXZ::makeActorAlive(void)",false
"_ZN2al20SimpleCircleShadowXZ10updatePoseEv","al::SimpleCircleShadowXZ::updatePose(void)",false
"_ZN2al20SimpleCircleShadowXZ7controlEv","al::SimpleCircleShadowXZ::control(void)",false
"_ZN2al20SimpleCircleShadowXZ15syncHostVisibleEv","al::SimpleCircleShadowXZ::syncHostVisible(void)",false
"_ZN2al20SimpleCircleShadowXZ22setOffsetWithInterpoleERKN4sead7Vector3IfEE","al::SimpleCircleShadowXZ::setOffsetWithInterpole(sead::Vector3<float> const&)",false
"_ZN2al20SimpleCircleShadowXZ21setScaleWithInterpoleERKN4sead7Vector3IfEE","al::SimpleCircleShadowXZ::setScaleWithInterpole(sead::Vector3<float> const&)",false
"_ZN2al20SimpleCircleShadowXZ22setRotateWithInterpoleERKN4sead7Vector3IfEE","al::SimpleCircleShadowXZ::setRotateWithInterpole(sead::Vector3<float> const&)",false
"_ZN2al20SimpleCircleShadowXZ17setInterpoleFrameEi","al::SimpleCircleShadowXZ::setInterpoleFrame(int)",false
"_ZN15SimpleSignBoardC2EPKc","SimpleSignBoard::SimpleSignBoard(char const*)",false
"_ZN15SimpleSignBoardC1EPKc","SimpleSignBoard::SimpleSignBoard(char const*)",false
"_ZN15SimpleSignBoard4initERKN2al13ActorInitInfoE","SimpleSignBoard::init(al::ActorInitInfo const&)",false
"_ZN23SimpleSignBoardFunction32startSignAimVisAnimFromModelNameEPN2al9LiveActorERKNS0_13ActorInitInfoE","SimpleSignBoardFunction::startSignAimVisAnimFromModelName(al::LiveActor *,al::ActorInitInfo const&)",false
