Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17TriangleDrawActorC2ERKNS_13ActorInitInfoEib","al::TriangleDrawActor::TriangleDrawActor(al::ActorInitInfo const&,int,bool)",false
"_ZN2al17TriangleDrawActorC1ERKNS_13ActorInitInfoEib","al::TriangleDrawActor::TriangleDrawActor(al::ActorInitInfo const&,int,bool)",false
"_ZNK2al17TriangleDrawActor4drawEv","al::TriangleDrawActor::draw(void)const",false
"_ZN2al17TriangleDrawActor10setTextureEPNS_24TriangleDrawActorTextureE","al::TriangleDrawActor::setTexture(al::TriangleDrawActorTexture *)",false
"_ZN2al17TriangleDrawActor5beginEv","al::TriangleDrawActor::begin(void)",false
"_ZN2al17TriangleDrawActor6vertexERKN4sead7Vector3IfEE","al::TriangleDrawActor::vertex(sead::Vector3<float> const&)",false
"_ZN2al17TriangleDrawActor6vertexERKN4sead7Vector3IfEERKNS1_7Vector2IfEE","al::TriangleDrawActor::vertex(sead::Vector3<float> const&,sead::Vector2<float> const&)",false
"_ZN2al17TriangleDrawActor6vertexERKN4sead7Vector3IfEES5_","al::TriangleDrawActor::vertex(sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al17TriangleDrawActor6vertexERKN4sead7Vector3IfEES5_RKNS1_7Vector2IfEE","al::TriangleDrawActor::vertex(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector2<float> const&)",false
"_ZN2al17TriangleDrawActor3endEv","al::TriangleDrawActor::end(void)",false
"_ZN2al17TriangleDrawActor11beginModifyEv","al::TriangleDrawActor::beginModify(void)",false
"_ZN2al17TriangleDrawActor14modifyTriangleEj","al::TriangleDrawActor::modifyTriangle(unsigned int)",false
"_ZN2al17TriangleDrawActor12modifyVertexERKN4sead7Vector3IfEE","al::TriangleDrawActor::modifyVertex(sead::Vector3<float> const&)",false
"_ZN2al17TriangleDrawActor12modifyVertexERKN4sead7Vector3IfEERKNS1_7Vector2IfEE","al::TriangleDrawActor::modifyVertex(sead::Vector3<float> const&,sead::Vector2<float> const&)",false
"_ZN2al17TriangleDrawActor12modifyVertexERKN4sead7Vector3IfEES5_","al::TriangleDrawActor::modifyVertex(sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al17TriangleDrawActor12modifyVertexERKN4sead7Vector3IfEES5_RKNS1_7Vector2IfEE","al::TriangleDrawActor::modifyVertex(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector2<float> const&)",false
"_ZN2al17TriangleDrawActor9endModifyEv","al::TriangleDrawActor::endModify(void)",false
"_ZN2al17TriangleDrawActor4initERKNS_13ActorInitInfoE","al::TriangleDrawActor::init(al::ActorInitInfo const&)",false
"_ZN2al17TriangleDrawActor17initVertexBuffersEv","al::TriangleDrawActor::initVertexBuffers(void)",false
"_ZN2al17TriangleDrawActor10initShaderEv","al::TriangleDrawActor::initShader(void)",false
"_ZN2al17TriangleDrawActor15initFetchShaderEv","al::TriangleDrawActor::initFetchShader(void)",false
"_ZN2al17TriangleDrawActor11initSamplerEv","al::TriangleDrawActor::initSampler(void)",false
"_ZN2al17TriangleDrawActor12initMaterialEv","al::TriangleDrawActor::initMaterial(void)",false
"_ZN2al17TriangleDrawActor15initIndexStreamEv","al::TriangleDrawActor::initIndexStream(void)",false
"_ZN2al24TriangleDrawActorTextureC1EPKcS2_","al::TriangleDrawActorTexture::TriangleDrawActorTexture(char const*,char const*)",false
"_ZN2al24TriangleDrawActorTextureC1Eii","al::TriangleDrawActorTexture::TriangleDrawActorTexture(int,int)",false
"_ZN2al24TriangleDrawActorTexture8setWrapUEN3agl15TextureWrapTypeE","al::TriangleDrawActorTexture::setWrapU(agl::TextureWrapType)",false
"_ZN2al24TriangleDrawActorTexture8setWrapVEN3agl15TextureWrapTypeE","al::TriangleDrawActorTexture::setWrapV(agl::TextureWrapType)",false
"_ZN2al24TriangleDrawActorTexture8activateEPN3agl11DrawContextERKNS1_15SamplerLocationE","al::TriangleDrawActorTexture::activate(agl::DrawContext *,agl::SamplerLocation const&)",false
"sub_7100970BF8","",false
