Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15ChromakeyDrawerC1EPNS_18GraphicsSystemInfoEPKNS_15ExecuteDirectorEPKNS_12EffectSystemE","al::ChromakeyDrawer::ChromakeyDrawer(al::GraphicsSystemInfo *,al::ExecuteDirector const*,al::EffectSystem const*)",false
"_ZN2al15ChromakeyDrawer8finalizeEv","al::ChromakeyDrawer::finalize(void)",false
"_ZNK2al15ChromakeyDrawer13drawChromakeyEPN3agl11DrawContextERKNS_10ProjectionERKN4sead6CameraEPKNS1_12RenderBufferERKNS7_8ViewportEPKcSI_SI_","al::ChromakeyDrawer::drawChromakey(agl::DrawContext *,al::Projection const&,sead::Camera const&,agl::RenderBuffer const*,sead::Viewport const&,char const*,char const*,char const*)const",false
"_ZNK2al17IUsePartsGraphics10drawSystemEPKNS_18GraphicsRenderInfoE","al::IUsePartsGraphics::drawSystem(al::GraphicsRenderInfo const*)const",false
"_ZN2al15ChromakeyDrawer6updateERKNS_18GraphicsUpdateInfoE","al::ChromakeyDrawer::update(al::GraphicsUpdateInfo const&)",false
"_ZN2al15ChromakeyDrawer7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::ChromakeyDrawer::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al15ChromakeyDrawer7getNameEv","al::ChromakeyDrawer::getName(void)const",false
"_ZN2al8ViewInfo22setFromSceneCameraInfoEiRKNS_15SceneCameraInfoE","al::ViewInfo::setFromSceneCameraInfo(int,al::SceneCameraInfo const&)",false
"_ZNK2al18GraphicsRenderInfo12getViewIndexEv","al::GraphicsRenderInfo::getViewIndex(void)const",false
"_ZNK2al18GraphicsRenderInfo12getHdrEncodeEv","al::GraphicsRenderInfo::getHdrEncode(void)const",false
