Mangled Symbol, Demangled Symbol, Is Matched
"_ZNK2al15RenderVariables21getGraphicsSystemInfoEv","al::RenderVariables::getGraphicsSystemInfo(void)const",false
"_ZN2al15RenderVariablesC1EPN3agl11DrawContextEPNS_18GraphicsRenderInfoEPNS_15ExecuteDirectorEPNS_12EffectSystemEPKNS_14SimpleModelEnvERKNS_8ViewInfoEiibbb","al::RenderVariables::RenderVariables(agl::DrawContext *,al::GraphicsRenderInfo *,al::ExecuteDirector *,al::EffectSystem *,al::SimpleModelEnv const*,al::ViewInfo const&,int,int,bool,bool,bool)",false
"_ZN2al15RenderVariables16allocDepthBufferEPN3agl11DrawContextE","al::RenderVariables::allocDepthBuffer(agl::DrawContext *)",false
"_ZN2al15RenderVariablesD2Ev","al::RenderVariables::~RenderVariables()",false
"_ZN2al15RenderVariables16allocColorBufferEPN3agl11DrawContextEPNS1_4lght12LightPrePassEb","al::RenderVariables::allocColorBuffer(agl::DrawContext *,agl::lght::LightPrePass *,bool)",false
"_ZNK2al15RenderVariables16bindRenderBufferEPN3agl11DrawContextE","al::RenderVariables::bindRenderBuffer(agl::DrawContext *)const",false
"_ZNK2al15RenderVariables18drawPeripheryZOnlyEPN3agl11DrawContextE","al::RenderVariables::drawPeripheryZOnly(agl::DrawContext *)const",false
"_ZN2al15RenderVariables24drawReconstructPeripheryEPN3agl11DrawContextE","al::RenderVariables::drawReconstructPeriphery(agl::DrawContext *)",false
"_ZNK2al15RenderVariables23getRenderTargetColorTexEv","al::RenderVariables::getRenderTargetColorTex(void)const",false
"_ZNK2al15RenderVariables8getWidthEv","al::RenderVariables::getWidth(void)const",false
"_ZNK2al15RenderVariables9getHeightEv","al::RenderVariables::getHeight(void)const",false
"_ZN2al13PartsGraphicsC2EPNS_18GraphicsSystemInfoE","al::PartsGraphics::PartsGraphics(al::GraphicsSystemInfo *)",false
