Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al21OcclusionCullingJudgeC1EPNS_18GraphicsSystemInfoE","al::OcclusionCullingJudge::OcclusionCullingJudge(al::GraphicsSystemInfo *)",false
"_ZN2al21OcclusionCullingJudgeD2Ev","al::OcclusionCullingJudge::~OcclusionCullingJudge()",false
"_ZNK2al21OcclusionCullingJudge4drawEPN3agl11DrawContextEPKNS1_14TextureSamplerEff","al::OcclusionCullingJudge::draw(agl::DrawContext *,agl::TextureSampler const*,float,float)const",false
"_ZN2al21OcclusionCullingJudge6updateEv","al::OcclusionCullingJudge::update(void)",false
"_ZNK2al21OcclusionCullingJudge8getDepthERKN4sead7Vector2IfEERKNS_8ViewInfoE","al::OcclusionCullingJudge::getDepth(sead::Vector2<float> const&,al::ViewInfo const&)const",false
"_ZN2al18isOcclusionCullingEPKNS_21OcclusionCullingJudgeERKN4sead7Vector3IfEERKNS3_7Vector2IfEEfffi","al::isOcclusionCulling(al::OcclusionCullingJudge const*,sead::Vector3<float> const&,sead::Vector2<float> const&,float,float,float,int)",false
"sub_7100989BA8","",false
"_ZN2al18isOcclusionCullingEPKNS_21OcclusionCullingJudgeERKN4sead7Vector3IfEERKNS3_7Vector2IfEEfffRKNS_8ViewInfoE","al::isOcclusionCulling(al::OcclusionCullingJudge const*,sead::Vector3<float> const&,sead::Vector2<float> const&,float,float,float,al::ViewInfo const&)",false
"_ZN2al21calcOccludedPointRateEPKNS_21OcclusionCullingJudgeERKN4sead7Vector3IfEERKNS3_7Vector2IfEEfff","al::calcOccludedPointRate(al::OcclusionCullingJudge const*,sead::Vector3<float> const&,sead::Vector2<float> const&,float,float,float)",false
"_ZN2al21calcOccludedPointRateEPKNS_21OcclusionCullingJudgeERKN4sead7Vector3IfEERKNS3_7Vector2IfEEfffRKNS_8ViewInfoE","al::calcOccludedPointRate(al::OcclusionCullingJudge const*,sead::Vector3<float> const&,sead::Vector2<float> const&,float,float,float,al::ViewInfo const&)",false
