Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al9OceanWaveC1EPNS_18GraphicsSystemInfoEPNS_15ExecuteDirectorE","al::OceanWave::OceanWave(al::GraphicsSystemInfo *,al::ExecuteDirector *)",false
"_ZN2al9OceanWave4initEv","al::OceanWave::init(void)",false
"_ZN2al9OceanWave9setHeightEf","al::OceanWave::setHeight(float)",false
"_ZNK2al9OceanWave12calcIsInAreaERKN4sead7Vector3IfEE","al::OceanWave::calcIsInArea(sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave17tryCalcWaveHeightEPfRKN4sead7Vector3IfEE","al::OceanWave::tryCalcWaveHeight(float *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al9OceanWave12calcIsInAreaERKN4sead7Vector3IfEE","`non-virtual thunk to'al::OceanWave::calcIsInArea(sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave7calcPosEPN4sead7Vector3IfEERKS3_","al::OceanWave::calcPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al9OceanWave7calcPosEPN4sead7Vector3IfEERKS3_","`non-virtual thunk to'al::OceanWave::calcPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave11calcPosFlatEPN4sead7Vector3IfEERKS3_","al::OceanWave::calcPosFlat(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al9OceanWave11calcPosFlatEPN4sead7Vector3IfEERKS3_","`non-virtual thunk to'al::OceanWave::calcPosFlat(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave19calcDisplacementPosEPN4sead7Vector3IfEERKS3_","al::OceanWave::calcDisplacementPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave23tryCalcWaveDisplacementEPN4sead7Vector3IfEERKS3_","al::OceanWave::tryCalcWaveDisplacement(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al9OceanWave19calcDisplacementPosEPN4sead7Vector3IfEERKS3_","`non-virtual thunk to'al::OceanWave::calcDisplacementPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave10calcNormalEPN4sead7Vector3IfEERKS3_","al::OceanWave::calcNormal(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZThn40_NK2al9OceanWave10calcNormalEPN4sead7Vector3IfEERKS3_","`non-virtual thunk to'al::OceanWave::calcNormal(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZN2al9OceanWave12tryAddRippleERKN4sead7Vector3IfEEff","al::OceanWave::tryAddRipple(sead::Vector3<float> const&,float,float)",false
"_ZThn40_N2al9OceanWave12tryAddRippleERKN4sead7Vector3IfEEff","`non-virtual thunk to'al::OceanWave::tryAddRipple(sead::Vector3<float> const&,float,float)",false
"_ZN2al9OceanWave21tryAddRippleWithRangeERKN4sead7Vector3IfEEffff","al::OceanWave::tryAddRippleWithRange(sead::Vector3<float> const&,float,float,float,float)",false
"_ZThn40_N2al9OceanWave21tryAddRippleWithRangeERKN4sead7Vector3IfEEffff","`non-virtual thunk to'al::OceanWave::tryAddRippleWithRange(sead::Vector3<float> const&,float,float,float,float)",false
"_ZN2al9OceanWave16tryAddQuadRippleERKN4sead7Vector3IfEES5_S5_S5_f","al::OceanWave::tryAddQuadRipple(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZThn40_N2al9OceanWave16tryAddQuadRippleERKN4sead7Vector3IfEES5_S5_S5_f","`non-virtual thunk to'al::OceanWave::tryAddQuadRipple(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float)",false
"_ZN2al9OceanWave13setFieldScaleEf","al::OceanWave::setFieldScale(float)",false
"_ZThn40_N2al9OceanWave13setFieldScaleEf","`non-virtual thunk to'al::OceanWave::setFieldScale(float)",false
"_ZN2al9OceanWave21updateRippleCenterPosERKN4sead7Vector3IfEE","al::OceanWave::updateRippleCenterPos(sead::Vector3<float> const&)",false
"_ZN2al9OceanWave9addRippleERKN4sead7Vector3IfEEff","al::OceanWave::addRipple(sead::Vector3<float> const&,float,float)",false
"_ZN2al9OceanWave8finalizeEv","al::OceanWave::finalize(void)",false
"_ZN2al9OceanWave6updateERKNS_18GraphicsUpdateInfoE","al::OceanWave::update(al::GraphicsUpdateInfo const&)",false
"_ZN2al9OceanWave7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::OceanWave::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al9OceanWave19drawGBufferAfterSkyERKNS_18GraphicsRenderInfoE","al::OceanWave::drawGBufferAfterSky(al::GraphicsRenderInfo const&)const",false
"_ZNK2al9OceanWave8drawMeshERKNS_18GraphicsRenderInfoEPKNS_15RenderVariablesEbb","al::OceanWave::drawMesh(al::GraphicsRenderInfo const&,al::RenderVariables const*,bool,bool)const",false
"_ZNK2al9OceanWave12drawDeferredERKNS_18GraphicsRenderInfoE","al::OceanWave::drawDeferred(al::GraphicsRenderInfo const&)const",false
"_ZNK2al9OceanWave11drawForwardERKNS_18GraphicsRenderInfoERKNS_15RenderVariablesE","al::OceanWave::drawForward(al::GraphicsRenderInfo const&,al::RenderVariables const&)const",false
"_ZNK2al9OceanWave12drawIndirectERKNS_18GraphicsRenderInfoERKNS_15RenderVariablesE","al::OceanWave::drawIndirect(al::GraphicsRenderInfo const&,al::RenderVariables const&)const",false
"_ZNK2al9OceanWave11calcWindDirEPN4sead7Vector2IfEE","al::OceanWave::calcWindDir(sead::Vector2<float> *)const",false
"_ZN2al9OceanWave22setAperturePatchLengthEf","al::OceanWave::setAperturePatchLength(float)",false
"_ZN2al9OceanWave32setApertureDisplacementScaleBaseEf","al::OceanWave::setApertureDisplacementScaleBase(float)",false
"_ZN2al9OceanWave19setApertureLayerNumEi","al::OceanWave::setApertureLayerNum(int)",false
"_ZN2al9OceanWave20setApertureLodOffsetEi","al::OceanWave::setApertureLodOffset(int)",false
"_ZN2al9OceanWave26setApertureMinGridDivLevelEi","al::OceanWave::setApertureMinGridDivLevel(int)",false
"_ZN2al9OceanWave25setApertureQuadLayerLevelEi","al::OceanWave::setApertureQuadLayerLevel(int)",false
"_ZN2al9OceanWave29setApertureCameraHeightLodLenEf","al::OceanWave::setApertureCameraHeightLodLen(float)",false
"_ZN2al9OceanWave22setApertureIsDoubleLodEb","al::OceanWave::setApertureIsDoubleLod(bool)",false
"_ZN2al9OceanWave16setGridMeshParamEffffi","al::OceanWave::setGridMeshParam(float,float,float,float,int)",false
"_ZN2al9OceanWave20setOceanTextureParamEfff","al::OceanWave::setOceanTextureParam(float,float,float)",false
"_ZN2al9OceanWave26setOceanTextureTexLenScaleEf","al::OceanWave::setOceanTextureTexLenScale(float)",false
"_ZN2al9OceanWave24setOceanTextureInitParamEfffff","al::OceanWave::setOceanTextureInitParam(float,float,float,float,float)",false
"_ZN2al9OceanWave25setOceanTextureCoefSmallLEf","al::OceanWave::setOceanTextureCoefSmallL(float)",false
"_ZN2al9OceanWave20setCloudSeaParameterEv","al::OceanWave::setCloudSeaParameter(void)",false
"_ZNK2al9OceanWave16tryCalcDepthRateEPfRKN4sead7Vector3IfEE","al::OceanWave::tryCalcDepthRate(float *,sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave21tryCalcHeightDepthAddEPfRKN4sead7Vector3IfEE","al::OceanWave::tryCalcHeightDepthAdd(float *,sead::Vector3<float> const&)const",false
"_ZNK2al9OceanWave19tryCalcRippleHeightEPfRKN4sead7Vector3IfEE","al::OceanWave::tryCalcRippleHeight(float *,sead::Vector3<float> const&)const",false
"_ZN2al9OceanWave18initRippleGaussianEi","al::OceanWave::initRippleGaussian(int)",false
"_ZNK2al9OceanWave7getNameEv","al::OceanWave::getName(void)const",false
"_ZN2al9OceanWaveD2Ev","al::OceanWave::~OceanWave()",false
"_ZN2al9OceanWaveD0Ev","al::OceanWave::~OceanWave()",false
"_ZNK2al9OceanWave11getTypeNameEv","al::OceanWave::getTypeName(void)const",false
"_ZThn40_NK2al9OceanWave11getTypeNameEv","`non-virtual thunk to'al::OceanWave::getTypeName(void)const",false
