Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16OceanWaveTexture11setInitTimeEf","al::OceanWaveTexture::setInitTime(float)",false
"_ZN2al16OceanWaveTexture12setTimeScaleEf","al::OceanWaveTexture::setTimeScale(float)",false
"_ZN2al16OceanWaveTexture13setChoppinessEf","al::OceanWaveTexture::setChoppiness(float)",false
"_ZN2al16OceanWaveTexture14setHeightScaleEf","al::OceanWaveTexture::setHeightScale(float)",false
"_ZN2al16OceanWaveTexture16setTexelLenScaleEf","al::OceanWaveTexture::setTexelLenScale(float)",false
"_ZN2al16OceanWaveTexture13setWindDegreeEf","al::OceanWaveTexture::setWindDegree(float)",false
"_ZN2al16OceanWaveTexture15setWindStrengthEf","al::OceanWaveTexture::setWindStrength(float)",false
"_ZN2al16OceanWaveTexture13setWindDependEf","al::OceanWaveTexture::setWindDepend(float)",false
"_ZN2al16OceanWaveTexture12setOceanSizeEf","al::OceanWaveTexture::setOceanSize(float)",false
"_ZN2al16OceanWaveTexture12setAmplitudeEf","al::OceanWaveTexture::setAmplitude(float)",false
"_ZN2al16OceanWaveTexture13setCoefSmallLEf","al::OceanWaveTexture::setCoefSmallL(float)",false
"_ZNK2al16OceanWaveTexture26getDisplacementTextureDataEv","al::OceanWaveTexture::getDisplacementTextureData(void)const",false
"_ZN2al16OceanWaveTextureC1EPNS_18GraphicsSystemInfoEj","al::OceanWaveTexture::OceanWaveTexture(al::GraphicsSystemInfo *,unsigned int)",false
"_ZN2al16OceanWaveTexture8finalizeEv","al::OceanWaveTexture::finalize(void)",false
"_ZN2al16OceanWaveTexture6updateERKNS_18GraphicsUpdateInfoE","al::OceanWaveTexture::update(al::GraphicsUpdateInfo const&)",false
"_ZN2al16OceanWaveTexture7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::OceanWaveTexture::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al16OceanWaveTexture11calcWindDirEPN4sead7Vector2IfEE","al::OceanWaveTexture::calcWindDir(sead::Vector2<float> *)const",false
"_ZNK2al16OceanWaveTexture14calcTexelLenX2Ev","al::OceanWaveTexture::calcTexelLenX2(void)const",false
"_ZNK2al16OceanWaveTexture10drawSystemEPKNS_18GraphicsRenderInfoE","al::OceanWaveTexture::drawSystem(al::GraphicsRenderInfo const*)const",false
"_ZNK2al16OceanWaveTexture11drawTextureEPN3agl11DrawContextE","al::OceanWaveTexture::drawTexture(agl::DrawContext *)const",false
"_ZNK2al16OceanWaveTexture16drawInitSpectrumEPN3agl11DrawContextEPNS1_12RenderBufferE","al::OceanWaveTexture::drawInitSpectrum(agl::DrawContext *,agl::RenderBuffer *)const",false
"_ZNK2al16OceanWaveTexture18drawUpdateSpectrumEPN3agl11DrawContextEPNS1_12RenderBufferEPNS1_11TextureDataE","al::OceanWaveTexture::drawUpdateSpectrum(agl::DrawContext *,agl::RenderBuffer *,agl::TextureData *)const",false
"_ZNK2al16OceanWaveTexture17drawDispToNrmFoldEPN3agl11DrawContextEPNS1_12RenderBufferE","al::OceanWaveTexture::drawDispToNrmFold(agl::DrawContext *,agl::RenderBuffer *)const",false
"_ZNK2al16OceanWaveTexture7getNameEv","al::OceanWaveTexture::getName(void)const",false
"_ZN2al16OceanWaveTextureD2Ev","al::OceanWaveTexture::~OceanWaveTexture()",false
"_ZN2al16OceanWaveTextureD0Ev","al::OceanWaveTexture::~OceanWaveTexture()",false
"_ZN2al13OrthoRendererC2EPNS_18GraphicsSystemInfoE","al::OrthoRenderer::OrthoRenderer(al::GraphicsSystemInfo *)",false
"_ZN2al13OrthoRendererD2Ev","al::OrthoRenderer::~OrthoRenderer()",false
"_ZN2al13OrthoRenderer10updateViewEPKN4sead12LookAtCameraEPKNS1_15OrthoProjectionE","al::OrthoRenderer::updateView(sead::LookAtCamera const*,sead::OrthoProjection const*)",false
"_ZN2al17OrthoDepthTextureC1EPNS_18GraphicsSystemInfoEPNS_15ExecuteDirectorERKN4sead7Vector2IfEE","al::OrthoDepthTexture::OrthoDepthTexture(al::GraphicsSystemInfo *,al::ExecuteDirector *,sead::Vector2<float> const&)",false
"_ZN2al17OrthoDepthTexture8finalizeEv","al::OrthoDepthTexture::finalize(void)",false
"_ZN2al17OrthoDepthTexture6updateERKNS_18GraphicsUpdateInfoE","al::OrthoDepthTexture::update(al::GraphicsUpdateInfo const&)",false
"_ZNK2al17OrthoDepthTexture10drawSystemEPKNS_18GraphicsRenderInfoE","al::OrthoDepthTexture::drawSystem(al::GraphicsRenderInfo const*)const",false
"_ZN2al17OrthoDepthTexture11setCameraXZEff","al::OrthoDepthTexture::setCameraXZ(float,float)",false
"_ZN2al17OrthoDepthTexture18setCameraHeightFarEff","al::OrthoDepthTexture::setCameraHeightFar(float,float)",false
"_ZNK2al17OrthoDepthTexture12tryCalcDepthEPfRKN4sead7Vector3IfEE","al::OrthoDepthTexture::tryCalcDepth(float *,sead::Vector3<float> const&)const",false
"_ZN2al17OrthoDepthTexture7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::OrthoDepthTexture::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al17OrthoDepthTexture7getNameEv","al::OrthoDepthTexture::getName(void)const",false
"_ZN2al17OrthoDepthTextureD2Ev","al::OrthoDepthTexture::~OrthoDepthTexture()",false
"_ZN2al17OrthoDepthTextureD0Ev","al::OrthoDepthTexture::~OrthoDepthTexture()",false
