Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al23PointSpriteCursorHolder15setContextBlendEPN4sead18GraphicsContextMRTE","al::PointSpriteCursorHolder::setContextBlend(sead::GraphicsContextMRT *)",false
"_ZN2al23PointSpriteCursorHolder18setContextBlendAddEPN4sead18GraphicsContextMRTE","al::PointSpriteCursorHolder::setContextBlendAdd(sead::GraphicsContextMRT *)",false
"_ZN2al23PointSpriteCursorHolderC1EPNS_18GraphicsSystemInfoEm","al::PointSpriteCursorHolder::PointSpriteCursorHolder(al::GraphicsSystemInfo *,unsigned long)",false
"_ZN2al23PointSpriteCursorHolder8finalizeEv","al::PointSpriteCursorHolder::finalize(void)",false
"_ZN2al23PointSpriteCursorHolder12declareUsingEPKcmS2_NS_17PointSpriteCursor8DrawTypeEPKN4sead18GraphicsContextMRTE","al::PointSpriteCursorHolder::declareUsing(char const*,unsigned long,char const*,al::PointSpriteCursor::DrawType,sead::GraphicsContextMRT const*)",false
"_ZNK2al23PointSpriteCursorHolder20findExistPointSpriteEPKc","al::PointSpriteCursorHolder::findExistPointSprite(char const*)const",false
"_ZNK2al23PointSpriteCursorHolder11drawForwardERKNS_18GraphicsRenderInfoERKNS_15RenderVariablesE","al::PointSpriteCursorHolder::drawForward(al::GraphicsRenderInfo const&,al::RenderVariables const&)const",false
"_ZNK2al23PointSpriteCursorHolder7drawLdrERKNS_18GraphicsRenderInfoE","al::PointSpriteCursorHolder::drawLdr(al::GraphicsRenderInfo const&)const",false
"_ZN2al23PointSpriteCursorHolder6updateERKNS_18GraphicsUpdateInfoE","al::PointSpriteCursorHolder::update(al::GraphicsUpdateInfo const&)",false
"_ZN2al23PointSpriteCursorHolder7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::PointSpriteCursorHolder::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al23PointSpriteCursorHolder7getNameEv","al::PointSpriteCursorHolder::getName(void)const",false
"_ZN2al29isUsingPrepassTriangleCullingEv","al::isUsingPrepassTriangleCulling(void)",false
"_ZN2al41isUsingPrepassTriangleCullingWithZprepassEv","al::isUsingPrepassTriangleCullingWithZprepass(void)",false
"_ZN2al33isIgnoreNoDrawZprepassWhenCullingEv","al::isIgnoreNoDrawZprepassWhenCulling(void)",false
"_ZN2al35isUsingPrepassCullingModelCtrlClearEv","al::isUsingPrepassCullingModelCtrlClear(void)",false
"_ZN2al17isCullingCategoryEPKc","al::isCullingCategory(char const*)",false
