Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12VastGridMeshC2EPKcPKNS_24ViewVastGridCullingArrayEiPNS_12IUseGridMeshE","al::VastGridMesh::VastGridMesh(char const*,al::ViewVastGridCullingArray const*,int,al::IUseGridMesh *)",false
"_ZN2al12VastGridMeshD2Ev","al::VastGridMesh::~VastGridMesh()",false
"_ZN2al12VastGridMesh21updateVisibleMeshTreeEPKNS_15SceneCameraInfoE","al::VastGridMesh::updateVisibleMeshTree(al::SceneCameraInfo const*)",false
"_ZN2al12VastGridMesh13buildNodeListEiPNS_12MeshQuadtreeEPNS_8QuadNodeE","al::VastGridMesh::buildNodeList(int,al::MeshQuadtree *,al::QuadNode *)",false
"_ZNK2al12VastGridMesh20estimateNodeCoverageEiRKN4sead7Vector3IfEEf","al::VastGridMesh::estimateNodeCoverage(int,sead::Vector3<float> const&,float)const",false
"_ZNK2al12VastGridMesh16getCoverageCheckEv","al::VastGridMesh::getCoverageCheck(void)const",false
"_ZNK2al12VastGridMesh8drawMeshEPN3agl11DrawContextERKNS1_13ShaderProgramEib","al::VastGridMesh::drawMesh(agl::DrawContext *,agl::ShaderProgram const&,int,bool)const",false
"_ZN2al15VastGridCullingC2Ev","al::VastGridCulling::VastGridCulling(void)",false
"_ZNK2al15VastGridCulling7isReadyEv","al::VastGridCulling::isReady(void)const",false
"_ZN2al15VastGridCulling11setViewProjEPKN4sead6CameraEPKNS_10ProjectionES4_S7_S4_S7_","al::VastGridCulling::setViewProj(sead::Camera const*,al::Projection const*,sead::Camera const*,al::Projection const*,sead::Camera const*,al::Projection const*)",false
"_ZN2al15VastGridCulling16calcWorldFrustumEv","al::VastGridCulling::calcWorldFrustum(void)",false
"_ZNK2al15VastGridCulling9getCameraEv","al::VastGridCulling::getCamera(void)const",false
"_ZNK2al15VastGridCulling10getProjMtxEv","al::VastGridCulling::getProjMtx(void)const",false
"_ZNK2al15VastGridCulling11getViewMtxLEv","al::VastGridCulling::getViewMtxL(void)const",false
"_ZNK2al15VastGridCulling11getViewMtxREv","al::VastGridCulling::getViewMtxR(void)const",false
"_ZNK2al15VastGridCulling14getViewFrustumEv","al::VastGridCulling::getViewFrustum(void)const",false
"_ZN2al24ViewVastGridCullingArrayC2Ei","al::ViewVastGridCullingArray::ViewVastGridCullingArray(int)",false
"_ZN2al24ViewVastGridCullingArray18setCullingViewProjERKNS_8ViewInfoEPKN4sead6CameraEPKNS_10ProjectionES7_SA_S7_SA_","al::ViewVastGridCullingArray::setCullingViewProj(al::ViewInfo const&,sead::Camera const*,al::Projection const*,sead::Camera const*,al::Projection const*,sead::Camera const*,al::Projection const*)",false
"_ZN2al24ViewVastGridCullingArray13setStereoPairEii","al::ViewVastGridCullingArray::setStereoPair(int,int)",false
"_ZN2al20VastGridMeshDirectorC1EPKNS_15SceneCameraInfoE","al::VastGridMeshDirector::VastGridMeshDirector(al::SceneCameraInfo const*)",false
"_ZN2al20VastGridMeshDirectorD2Ev","al::VastGridMeshDirector::~VastGridMeshDirector()",false
"_ZN2al20VastGridMeshDirector18setCullingViewProjERKNS_8ViewInfoEPKN4sead6CameraEPKNS_10ProjectionES7_SA_S7_SA_","al::VastGridMeshDirector::setCullingViewProj(al::ViewInfo const&,sead::Camera const*,al::Projection const*,sead::Camera const*,al::Projection const*,sead::Camera const*,al::Projection const*)",false
"_ZN2al20VastGridMeshDirector13setStereoPairEii","al::VastGridMeshDirector::setStereoPair(int,int)",false
"_ZN2al20VastGridMeshDirector15tryCreateAndGetEPKciNS_12GridMeshTypeE","al::VastGridMeshDirector::tryCreateAndGet(char const*,int,al::GridMeshType)",false
"_ZNK2al20VastGridMeshDirector16findVastGridMeshEPKc","al::VastGridMeshDirector::findVastGridMesh(char const*)const",false
"_ZN2al20VastGridMeshDirector14tryGetGridMeshEPKc","al::VastGridMeshDirector::tryGetGridMesh(char const*)",false
"_ZN2al20VastGridMeshDirector23tryCreateAndGetApertureEPKciNS_12GridMeshTypeE","al::VastGridMeshDirector::tryCreateAndGetAperture(char const*,int,al::GridMeshType)",false
"_ZNK2al20VastGridMeshDirector16findApertureMeshEPKc","al::VastGridMeshDirector::findApertureMesh(char const*)const",false
"_ZN2al20VastGridMeshDirector15preDrawGraphicsEPKNS_15SceneCameraInfoE","al::VastGridMeshDirector::preDrawGraphics(al::SceneCameraInfo const*)",false
"_ZN2al12GridMeshType5text_Ei","al::GridMeshType::text_(int)",false
"_ZN2al23VastGridMeshViewFrustumC2Ev","al::VastGridMeshViewFrustum::VastGridMeshViewFrustum(void)",false
"_ZNK2al23VastGridMeshViewFrustum6getPosEi","al::VastGridMeshViewFrustum::getPos(int)const",false
