Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12VertexDrawer6VertexC1Emi","al::VertexDrawer::Vertex::Vertex(unsigned long,int)",false
"_ZN2al12VertexDrawer6VertexD2Ev","al::VertexDrawer::Vertex::~Vertex()",false
"_ZN2al12VertexDrawerC2Emi","al::VertexDrawer::VertexDrawer(unsigned long,int)",false
"_ZN2al12VertexDrawerD2Ev","al::VertexDrawer::~VertexDrawer()",false
"_ZN2al12VertexDrawer5clearEv","al::VertexDrawer::clear(void)",false
"_ZN2al12VertexDrawer10beginStoreEv","al::VertexDrawer::beginStore(void)",false
"_ZN2al12VertexDrawer12storeVtxAttrEiRKN4sead7Vector4IfEE","al::VertexDrawer::storeVtxAttr(int,sead::Vector4<float> const&)",false
"_ZN2al12VertexDrawer7nextVtxEv","al::VertexDrawer::nextVtx(void)",false
"_ZN2al12VertexDrawer8endStoreEv","al::VertexDrawer::endStore(void)",false
"_ZNK2al12VertexDrawer10drawPointsEPN3agl11DrawContextE","al::VertexDrawer::drawPoints(agl::DrawContext *)const",false
"_ZNK2al12VertexDrawer9drawLinesEPN3agl11DrawContextE","al::VertexDrawer::drawLines(agl::DrawContext *)const",false
"_ZNK2al12VertexDrawer9drawQuadsEPN3agl11DrawContextE","al::VertexDrawer::drawQuads(agl::DrawContext *)const",false
