Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al9RollPartsC2EPNS_11LayoutActorERKNS_14LayoutInitInfoEPKc","al::RollParts::RollParts(al::LayoutActor *,al::LayoutInitInfo const&,char const*)",false
"_ZN2al9RollPartsC1EPNS_11LayoutActorERKNS_14LayoutInitInfoEPKc","al::RollParts::RollParts(al::LayoutActor *,al::LayoutInitInfo const&,char const*)",false
"_ZN2al9RollParts15startLoopActionEPKcS2_","al::RollParts::startLoopAction(char const*,char const*)",false
"_ZN2al9RollParts7setDataEPPKDsibiPKc","al::RollParts::setData(char16_t const**,int,bool,int,char const*)",false
"_ZN2al9RollParts16updateHeaderTextEv","al::RollParts::updateHeaderText(void)",false
"_ZN2al9RollParts14setSelectedIdxEi","al::RollParts::setSelectedIdx(int)",false
"_ZN2al9RollParts8activateEv","al::RollParts::activate(void)",false
"_ZN2al9RollParts8activateEi","al::RollParts::activate(int)",false
"_ZN2al9RollParts10deactivateEv","al::RollParts::deactivate(void)",false
"_ZN2al9RollParts9rollRightEv","al::RollParts::rollRight(void)",false
"_ZN2al9RollParts8rollLeftEv","al::RollParts::rollLeft(void)",false
"_ZNK2al9RollParts15calcCursorTransEPN4sead7Vector2IfEE","al::RollParts::calcCursorTrans(sead::Vector2<float> *)const",false
"_ZNK2al9RollParts16isJustChangeRollEv","al::RollParts::isJustChangeRoll(void)const",false
"_ZNK2al9RollParts6isRollEv","al::RollParts::isRoll(void)const",false
"_ZN2al9RollParts11exeDeactiveEv","al::RollParts::exeDeactive(void)",false
"_ZN2al9RollParts9exeActiveEv","al::RollParts::exeActive(void)",false
"_ZN2al9RollParts10exeRollOutEv","al::RollParts::exeRollOut(void)",false
"_ZN2al9RollParts9exeRollInEv","al::RollParts::exeRollIn(void)",false
"sub_7100998A08","",false
"sub_7100998A4C","",false
"sub_7100998A90","",false
"sub_7100998A98","",false
