Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10WipeHolderC2Ei","al::WipeHolder::WipeHolder(int)",false
"_ZN2al10WipeHolder12registerWipeEPKcPNS_10WipeSimpleE","al::WipeHolder::registerWipe(char const*,al::WipeSimple *)",false
"_ZN2al10WipeHolder10startCloseEPKci","al::WipeHolder::startClose(char const*,int)",false
"_ZNK2al10WipeHolder8findWipeEPKc","al::WipeHolder::findWipe(char const*)const",false
"_ZN2al10WipeHolder16startCloseByInfoEPKc","al::WipeHolder::startCloseByInfo(char const*)",false
"_ZNK2al10WipeHolder8findInfoEPKc","al::WipeHolder::findInfo(char const*)const",false
"_ZN2al10WipeHolder13tryStartCloseEPKci","al::WipeHolder::tryStartClose(char const*,int)",false
"_ZN2al10WipeHolder19tryStartCloseByInfoEPKc","al::WipeHolder::tryStartCloseByInfo(char const*)",false
"_ZN2al10WipeHolder13startCloseEndEPKc","al::WipeHolder::startCloseEnd(char const*)",false
"_ZN2al10WipeHolder9startOpenEi","al::WipeHolder::startOpen(int)",false
"_ZNK2al10WipeHolder11isExistInfoEPKc","al::WipeHolder::isExistInfo(char const*)const",false
"_ZNK2al10WipeHolder11tryFindInfoEPKc","al::WipeHolder::tryFindInfo(char const*)const",false
"_ZNK2al10WipeHolder18getCloseTimeByInfoEPKc","al::WipeHolder::getCloseTimeByInfo(char const*)const",false
"_ZNK2al10WipeHolder10isCloseEndEv","al::WipeHolder::isCloseEnd(void)const",false
"_ZNK2al10WipeHolder9isOpenEndEv","al::WipeHolder::isOpenEnd(void)const",false
"_ZNK2al10WipeHolder11isCloseWipeEPKc","al::WipeHolder::isCloseWipe(char const*)const",false
