Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12PlayerHolderC2Ei","al::PlayerHolder::PlayerHolder(int)",false
"_ZN2al12PlayerHolder5clearEv","al::PlayerHolder::clear(void)",false
"_ZN2al12PlayerHolder14registerPlayerEPNS_9LiveActorEPNS_15PadRumbleKeeperE","al::PlayerHolder::registerPlayer(al::LiveActor *,al::PadRumbleKeeper *)",false
"_ZNK2al12PlayerHolder9getPlayerEi","al::PlayerHolder::getPlayer(int)const",false
"_ZNK2al12PlayerHolder12tryGetPlayerEi","al::PlayerHolder::tryGetPlayer(int)const",false
"_ZNK2al12PlayerHolder12getPlayerNumEv","al::PlayerHolder::getPlayerNum(void)const",false
"_ZNK2al12PlayerHolder13getBufferSizeEv","al::PlayerHolder::getBufferSize(void)const",false
"_ZNK2al12PlayerHolder6isFullEv","al::PlayerHolder::isFull(void)const",false
"_ZNK2al12PlayerHolder22isExistPadRumbleKeeperEi","al::PlayerHolder::isExistPadRumbleKeeper(int)const",false
"_ZNK2al12PlayerHolder18getPadRumbleKeeperEi","al::PlayerHolder::getPadRumbleKeeper(int)const",false
"_ZN2al15getPlayerNumMaxEPKNS_9LiveActorE","al::getPlayerNumMax(al::LiveActor const*)",false
"_ZN2al15getPlayerNumMaxEPKNS_12PlayerHolderE","al::getPlayerNumMax(al::PlayerHolder const*)",false
"_ZN2al17getAlivePlayerNumEPKNS_9LiveActorE","al::getAlivePlayerNum(al::LiveActor const*)",false
"_ZN2al17getAlivePlayerNumEPKNS_12PlayerHolderE","al::getAlivePlayerNum(al::PlayerHolder const*)",false
"_ZN2al14getPlayerActorEPKNS_9LiveActorEi","al::getPlayerActor(al::LiveActor const*,int)",false
"_ZN2al14getPlayerActorEPKNS_12PlayerHolderEi","al::getPlayerActor(al::PlayerHolder const*,int)",false
"_ZN2al12getPlayerPosEPKNS_9LiveActorEi","al::getPlayerPos(al::LiveActor const*,int)",false
"_ZN2al12getPlayerPosEPKNS_12PlayerHolderEi","al::getPlayerPos(al::PlayerHolder const*,int)",false
"_ZN2al17tryGetPlayerActorEPKNS_9LiveActorEi","al::tryGetPlayerActor(al::LiveActor const*,int)",false
"_ZN2al17tryGetPlayerActorEPKNS_12PlayerHolderEi","al::tryGetPlayerActor(al::PlayerHolder const*,int)",false
"_ZN2al12isPlayerDeadEPKNS_9LiveActorEi","al::isPlayerDead(al::LiveActor const*,int)",false
"_ZN2al12isPlayerDeadEPKNS_12PlayerHolderEi","al::isPlayerDead(al::PlayerHolder const*,int)",false
"_ZN2al18isPlayerAreaTargetEPKNS_9LiveActorEi","al::isPlayerAreaTarget(al::LiveActor const*,int)",false
"_ZN2al18isPlayerAreaTargetEPKNS_12PlayerHolderEi","al::isPlayerAreaTarget(al::PlayerHolder const*,int)",false
"_ZN2al28tryFindAlivePlayerActorFirstEPKNS_9LiveActorE","al::tryFindAlivePlayerActorFirst(al::LiveActor const*)",false
"_ZN2al28tryFindAlivePlayerActorFirstEPKNS_12PlayerHolderE","al::tryFindAlivePlayerActorFirst(al::PlayerHolder const*)",false
"_ZN2al25findAlivePlayerActorFirstEPKNS_9LiveActorE","al::findAlivePlayerActorFirst(al::LiveActor const*)",false
"_ZN2al25findAlivePlayerActorFirstEPKNS_12PlayerHolderE","al::findAlivePlayerActorFirst(al::PlayerHolder const*)",false
"_ZN2al24getPlayerPadRumbleKeeperEPKNS_9LiveActorEi","al::getPlayerPadRumbleKeeper(al::LiveActor const*,int)",false
"_ZN2al13getPlayerPortEPKNS_12PlayerHolderEi","al::getPlayerPort(al::PlayerHolder const*,int)",false
"_ZN2al13getPlayerPortEPKNS_9LiveActorEi","al::getPlayerPort(al::LiveActor const*,int)",false
"_ZN2al28findAlivePlayerActorFromPortEPKNS_12PlayerHolderEi","al::findAlivePlayerActorFromPort(al::PlayerHolder const*,int)",false
"_ZN2al31tryFindAlivePlayerActorFromPortEPKNS_12PlayerHolderEi","al::tryFindAlivePlayerActorFromPort(al::PlayerHolder const*,int)",false
"_ZN2al28findAlivePlayerActorFromPortEPKNS_9LiveActorEi","al::findAlivePlayerActorFromPort(al::LiveActor const*,int)",false
"_ZN2al31tryFindAlivePlayerActorFromPortEPKNS_9LiveActorEi","al::tryFindAlivePlayerActorFromPort(al::LiveActor const*,int)",false
"_ZN2al19findNearestPlayerIdEPKNS_9LiveActorEf","al::findNearestPlayerId(al::LiveActor const*,float)",false
"sub_71009A4484","",false
"_ZN2al22findNearestPlayerActorEPKNS_9LiveActorE","al::findNearestPlayerActor(al::LiveActor const*)",false
"_ZN2al25tryFindNearestPlayerActorEPKNS_9LiveActorE","al::tryFindNearestPlayerActor(al::LiveActor const*)",false
"_ZN2al20findNearestPlayerPosEPKNS_9LiveActorE","al::findNearestPlayerPos(al::LiveActor const*)",false
"_ZN2al23tryFindNearestPlayerPosEPN4sead7Vector3IfEEPKNS_9LiveActorE","al::tryFindNearestPlayerPos(sead::Vector3<float> *,al::LiveActor const*)",false
"_ZN2al39tryFindNearestPlayerDisatanceFromTargetEPfPKNS_9LiveActorERKN4sead7Vector3IfEE","al::tryFindNearestPlayerDisatanceFromTarget(float *,al::LiveActor const*,sead::Vector3<float> const&)",false
"_ZN2al12isNearPlayerEPKNS_9LiveActorEf","al::isNearPlayer(al::LiveActor const*,float)",false
"_ZN2al13isNearPlayerHEPKNS_9LiveActorEf","al::isNearPlayerH(al::LiveActor const*,float)",false
"_ZN2al22isNearPlayerHConditionEPKNS_9LiveActorEfPFbS2_E","al::isNearPlayerHCondition(al::LiveActor const*,float,bool (*)(al::LiveActor const*))",false
"_ZN2al19getFarPlayerPosMaxXEPKNS_9LiveActorE","al::getFarPlayerPosMaxX(al::LiveActor const*)",false
"_ZN2al19getFarPlayerPosMinXEPKNS_9LiveActorE","al::getFarPlayerPosMinX(al::LiveActor const*)",false
"_ZN2al29calcPlayerListOrderByDistanceEPKNS_9LiveActorEPS2_j","al::calcPlayerListOrderByDistance(al::LiveActor const*,al::LiveActor const**,unsigned int)",false
"_ZN2al20calcAlivePlayerActorEPKNS_9LiveActorEPS2_j","al::calcAlivePlayerActor(al::LiveActor const*,al::LiveActor const**,unsigned int)",false
"_ZN2al34tryFindNearestPlayerActorConditionEPKNS_9LiveActorEPFbS2_E","al::tryFindNearestPlayerActorCondition(al::LiveActor const*,bool (*)(al::LiveActor const*))",false
"_ZN2al32tryFindNearestPlayerPosConditionEPN4sead7Vector3IfEEPKNS_9LiveActorEPFbS6_E","al::tryFindNearestPlayerPosCondition(sead::Vector3<float> *,al::LiveActor const*,bool (*)(al::LiveActor const*))",false
"_ZN2al20isResetablePlayerPosEPKNS_9LiveActorERKN4sead7Vector3IfEEff","al::isResetablePlayerPos(al::LiveActor const*,sead::Vector3<float> const&,float,float)",false
"_ZN2al20isResetablePlayerPosEPKNS_9LiveActorEf","al::isResetablePlayerPos(al::LiveActor const*,float)",false
"_ZN2al12faceToPlayerEPNS_9LiveActorE","al::faceToPlayer(al::LiveActor *)",false
"_ZN16alPlayerFunction14registerPlayerEPN2al9LiveActorEPNS0_15PadRumbleKeeperE","alPlayerFunction::registerPlayer(al::LiveActor *,al::PadRumbleKeeper *)",false
"_ZN16alPlayerFunction18isFullPlayerHolderEPN2al9LiveActorE","alPlayerFunction::isFullPlayerHolder(al::LiveActor *)",false
"_ZN16alPlayerFunction21findPlayerHolderIndexEPKN2al9LiveActorE","alPlayerFunction::findPlayerHolderIndex(al::LiveActor const*)",false
"_ZN16alPlayerFunction21findPlayerHolderIndexEPKN2al9HitSensorE","alPlayerFunction::findPlayerHolderIndex(al::HitSensor const*)",false
"_ZN16alPlayerFunction13isPlayerActorEPKN2al9LiveActorE","alPlayerFunction::isPlayerActor(al::LiveActor const*)",false
"_ZN16alPlayerFunction13isPlayerActorEPKN2al9HitSensorE","alPlayerFunction::isPlayerActor(al::HitSensor const*)",false
