Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al20ActorCameraSubTargetC2EPKNS_9LiveActorE","al::ActorCameraSubTarget::ActorCameraSubTarget(al::LiveActor const*)",false
"_ZNK2al20ActorCameraSubTarget13getTargetNameEv","al::ActorCameraSubTarget::getTargetName(void)const",false
"_ZNK2al20ActorCameraSubTarget9calcTransEPN4sead7Vector3IfEE","al::ActorCameraSubTarget::calcTrans(sead::Vector3<float> *)const",false
"_ZNK2al20ActorCameraSubTarget8calcSideEPN4sead7Vector3IfEE","al::ActorCameraSubTarget::calcSide(sead::Vector3<float> *)const",false
"_ZNK2al20ActorCameraSubTarget6calcUpEPN4sead7Vector3IfEE","al::ActorCameraSubTarget::calcUp(sead::Vector3<float> *)const",false
"_ZNK2al20ActorCameraSubTarget9calcFrontEPN4sead7Vector3IfEE","al::ActorCameraSubTarget::calcFront(sead::Vector3<float> *)const",false
"_ZNK2al20ActorCameraSubTarget12calcVelocityEPN4sead7Vector3IfEE","al::ActorCameraSubTarget::calcVelocity(sead::Vector3<float> *)const",false
"_ZN2al30ActorBackAroundCameraSubTargetC2EPKNS_9LiveActorE","al::ActorBackAroundCameraSubTarget::ActorBackAroundCameraSubTarget(al::LiveActor const*)",false
"_ZNK2al30ActorBackAroundCameraSubTarget9calcTransEPN4sead7Vector3IfEE","al::ActorBackAroundCameraSubTarget::calcTrans(sead::Vector3<float> *)const",false
"_ZNK2al30ActorBackAroundCameraSubTarget13getTargetNameEv","al::ActorBackAroundCameraSubTarget::getTargetName(void)const",false
"_ZN2al17ActorCameraTargetC2EPKNS_9LiveActorEfPKN4sead7Vector3IfEE","al::ActorCameraTarget::ActorCameraTarget(al::LiveActor const*,float,sead::Vector3<float> const*)",false
"_ZNK2al17ActorCameraTarget13getTargetNameEv","al::ActorCameraTarget::getTargetName(void)const",false
"_ZNK2al17ActorCameraTarget9calcTransEPN4sead7Vector3IfEE","al::ActorCameraTarget::calcTrans(sead::Vector3<float> *)const",false
"_ZNK2al17ActorCameraTarget8calcSideEPN4sead7Vector3IfEE","al::ActorCameraTarget::calcSide(sead::Vector3<float> *)const",false
"_ZNK2al17ActorCameraTarget6calcUpEPN4sead7Vector3IfEE","al::ActorCameraTarget::calcUp(sead::Vector3<float> *)const",false
"_ZNK2al17ActorCameraTarget9calcFrontEPN4sead7Vector3IfEE","al::ActorCameraTarget::calcFront(sead::Vector3<float> *)const",false
"_ZNK2al17ActorCameraTarget11calcGravityEPN4sead7Vector3IfEE","al::ActorCameraTarget::calcGravity(sead::Vector3<float> *)const",false
"_ZNK2al17ActorCameraTarget12calcVelocityEPN4sead7Vector3IfEE","al::ActorCameraTarget::calcVelocity(sead::Vector3<float> *)const",false
"_ZNK2al17ActorCameraTarget15isCollideGroundEv","al::ActorCameraTarget::isCollideGround(void)const",false
"_ZNK2al17ActorCameraTarget9isInWaterEv","al::ActorCameraTarget::isInWater(void)const",false
"_ZN2al23ActorMatrixCameraTargetC1EPKNS_9LiveActorEPKN4sead8Matrix34IfEE","al::ActorMatrixCameraTarget::ActorMatrixCameraTarget(al::LiveActor const*,sead::Matrix34<float> const*)",false
