Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19CameraArrowColliderC2EPNS_17CollisionDirectorE","al::CameraArrowCollider::CameraArrowCollider(al::CollisionDirector *)",false
"_ZN2al19CameraArrowCollider5startEv","al::CameraArrowCollider::start(void)",false
"_ZN2al19CameraArrowCollider6updateERKN4sead7Vector3IfEES5_S5_","al::CameraArrowCollider::update(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al19CameraArrowCollider22pushBackCollisionPartsEPNS_14CollisionPartsE","al::CameraArrowCollider::pushBackCollisionParts(al::CollisionParts *)",false
"_ZNK2al19CameraArrowCollider16makeLookAtCameraEPN4sead12LookAtCameraE","al::CameraArrowCollider::makeLookAtCamera(sead::LookAtCamera *)const",false
"_ZNK2al19CameraArrowCollider13getPushLengthEv","al::CameraArrowCollider::getPushLength(void)const",false
"_ZN2al19CameraArrowCollider7exeKeepEv","al::CameraArrowCollider::exeKeep(void)",false
"sub_7100972F80","",false
"_ZN2al19CameraArrowCollider9exeShrinkEv","al::CameraArrowCollider::exeShrink(void)",false
"_ZNK2al19CameraArrowCollider8isShrinkEv","al::CameraArrowCollider::isShrink(void)const",false
"_ZN2al19CameraArrowColliderD0Ev","al::CameraArrowCollider::~CameraArrowCollider()",false
"_ZNK2al19CameraArrowCollider20getCollisionDirectorEv","al::CameraArrowCollider::getCollisionDirector(void)const",false
"_ZThn16_NK2al19CameraArrowCollider20getCollisionDirectorEv","`non-virtual thunk to'al::CameraArrowCollider::getCollisionDirector(void)const",false
"sub_71009739CC","",false
"sub_7100973A60","",false
"_ZN4sead9Delegate1IN2al19CameraArrowColliderEPNS1_14CollisionPartsEE6invokeES4_","sead::Delegate1<al::CameraArrowCollider,al::CollisionParts *>::invoke(al::CollisionParts *)",false
"_ZNK4sead9Delegate1IN2al19CameraArrowColliderEPNS1_14CollisionPartsEE5cloneEPNS_4HeapE","sead::Delegate1<al::CameraArrowCollider,al::CollisionParts *>::clone(sead::Heap *)const",false
"sub_7100973AF4","",false
