Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15CameraPoserAnimC2Ev","al::CameraPoserAnim::CameraPoserAnim(void)",false
"_ZN2al15CameraPoserAnim16initAnimResourceEPKNS_8ResourceEPKN4sead8Matrix34IfEE","al::CameraPoserAnim::initAnimResource(al::Resource const*,sead::Matrix34<float> const*)",false
"_ZN2al15CameraPoserAnim7setAnimEPKciii","al::CameraPoserAnim::setAnim(char const*,int,int,int)",false
"_ZNK2al15CameraPoserAnim11isExistAnimEPKc","al::CameraPoserAnim::isExistAnim(char const*)const",false
"_ZNK2nn3g3d7ResFile13FindSceneAnimEPKc","nn::g3d::ResFile::FindSceneAnim(char const*)const",false
"_ZN2al15CameraPoserAnim5startERKNS_15CameraStartInfoE","al::CameraPoserAnim::start(al::CameraStartInfo const&)",false
"_ZN2al15CameraPoserAnim6updateEv","al::CameraPoserAnim::update(void)",false
"_ZNK2al15CameraPoserAnim11calcStepMaxEPKc","al::CameraPoserAnim::calcStepMax(char const*)const",false
"_ZNK2al15CameraPoserAnim13isAnimPlayingEPKc","al::CameraPoserAnim::isAnimPlaying(char const*)const",false
"_ZNK2al15CameraPoserAnim9isAnimEndEv","al::CameraPoserAnim::isAnimEnd(void)const",false
