Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al21CameraPoserBossBattleC2EPKcPKN4sead7Vector3IfEE","al::CameraPoserBossBattle::CameraPoserBossBattle(char const*,sead::Vector3<float> const*)",false
"_ZN2al21CameraPoserBossBattle4initEv","al::CameraPoserBossBattle::init(void)",false
"_ZN2al21CameraPoserBossBattle9loadParamERKNS_9ByamlIterE","al::CameraPoserBossBattle::loadParam(al::ByamlIter const&)",false
"_ZN2al21CameraPoserBossBattle5startERKNS_15CameraStartInfoE","al::CameraPoserBossBattle::start(al::CameraStartInfo const&)",false
"_ZNK2al21CameraPoserBossBattle16makeLookAtCameraEPN4sead12LookAtCameraE","al::CameraPoserBossBattle::makeLookAtCamera(sead::LookAtCamera *)const",false
"_ZN2al21CameraPoserBossBattle6updateEv","al::CameraPoserBossBattle::update(void)",false
"_ZNK2al21CameraPoserBossBattle19isEnableRotateByPadEv","al::CameraPoserBossBattle::isEnableRotateByPad(void)const",false
"_ZN2al21CameraPoserBossBattle9setPosPtrEPKN4sead7Vector3IfEE","al::CameraPoserBossBattle::setPosPtr(sead::Vector3<float> const*)",false
"_ZN2al21CameraPoserBossBattle21tryChangeFollowCameraEv","al::CameraPoserBossBattle::tryChangeFollowCamera(void)",false
"_ZNK2al21CameraPoserBossBattle25isCameraTargetOutOfRangeYEv","al::CameraPoserBossBattle::isCameraTargetOutOfRangeY(void)const",false
"_ZN2al21CameraPoserBossBattle20tryChangeTowerCameraEv","al::CameraPoserBossBattle::tryChangeTowerCamera(void)",false
"_ZNK2al21CameraPoserBossBattle22calcOutOfRangeDistanceEv","al::CameraPoserBossBattle::calcOutOfRangeDistance(void)const",false
"_ZN2al21CameraPoserBossBattle8exeTowerEv","al::CameraPoserBossBattle::exeTower(void)",false
"_ZN2al21CameraPoserBossBattle9exeFollowEv","al::CameraPoserBossBattle::exeFollow(void)",false
"_ZN2al21CameraPoserBossBattle9endFollowEv","al::CameraPoserBossBattle::endFollow(void)",false
"_ZN2al21CameraPoserBossBattle13exeFollowNearEv","al::CameraPoserBossBattle::exeFollowNear(void)",false
"sub_7100975AF8","",false
"sub_7100975B0C","",false
"sub_7100975B20","",false
"sub_7100975B38","",false
