Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14CameraPoserFixC2EPKc","al::CameraPoserFix::CameraPoserFix(char const*)",false
"_ZN2al14CameraPoserFix4initEv","al::CameraPoserFix::init(void)",false
"_ZN2al14CameraPoserFix25initCameraPosAndLookAtPosERKN4sead7Vector3IfEES5_","al::CameraPoserFix::initCameraPosAndLookAtPos(sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al14CameraPoserFix9loadParamERKNS_9ByamlIterE","al::CameraPoserFix::loadParam(al::ByamlIter const&)",false
"_ZN2al14CameraPoserFix5startERKNS_15CameraStartInfoE","al::CameraPoserFix::start(al::CameraStartInfo const&)",false
"_ZN2al14CameraPoserFix6updateEv","al::CameraPoserFix::update(void)",false
"_ZN2al14CameraPoserFix24getFixAbsoluteCameraNameEv","al::CameraPoserFix::getFixAbsoluteCameraName(void)",false
"_ZN2al14CameraPoserFix23getFixDoorwayCameraNameEv","al::CameraPoserFix::getFixDoorwayCameraName(void)",false
"_ZN2al19CameraPoserFixActorC2EPKNS_9LiveActorE","al::CameraPoserFixActor::CameraPoserFixActor(al::LiveActor const*)",false
"_ZN2al19CameraPoserFixActor4initEv","al::CameraPoserFixActor::init(void)",false
"_ZN2al19CameraPoserFixActor5startERKNS_15CameraStartInfoE","al::CameraPoserFixActor::start(al::CameraStartInfo const&)",false
"sub_7100976D40","",false
"_ZN2al19CameraPoserFixActor6updateEv","al::CameraPoserFixActor::update(void)",false
"_ZN2al18CameraPoserFixTalkC2EPKNS_9LiveActorE","al::CameraPoserFixTalk::CameraPoserFixTalk(al::LiveActor const*)",false
"_ZN2al18CameraPoserFixTalk5startERKNS_15CameraStartInfoE","al::CameraPoserFixTalk::start(al::CameraStartInfo const&)",false
"_ZN2al21CameraPoserFixFishingC2EPKNS_9LiveActorE","al::CameraPoserFixFishing::CameraPoserFixFishing(al::LiveActor const*)",false
"_ZN2al21CameraPoserFixFishing9initParamEfRKN4sead7Vector3IfEES5_","al::CameraPoserFixFishing::initParam(float,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al21CameraPoserFixFishing5startERKNS_15CameraStartInfoE","al::CameraPoserFixFishing::start(al::CameraStartInfo const&)",false
"_ZN2al18CameraPoserFixLookC2Ev","al::CameraPoserFixLook::CameraPoserFixLook(void)",false
"_ZN2al18CameraPoserFixLook4initEv","al::CameraPoserFixLook::init(void)",false
"_ZN2al18CameraPoserFixLook5startERKNS_15CameraStartInfoE","al::CameraPoserFixLook::start(al::CameraStartInfo const&)",false
"_ZN2al19CameraPoserFixPointC2EPKc","al::CameraPoserFixPoint::CameraPoserFixPoint(char const*)",false
"_ZN2al19CameraPoserFixPoint4initEv","al::CameraPoserFixPoint::init(void)",false
"_ZN2al19CameraPoserFixPoint9loadParamERKNS_9ByamlIterE","al::CameraPoserFixPoint::loadParam(al::ByamlIter const&)",false
"_ZN2al19CameraPoserFixPoint5startERKNS_15CameraStartInfoE","al::CameraPoserFixPoint::start(al::CameraStartInfo const&)",false
"_ZN2al19CameraPoserFixPoint6updateEv","al::CameraPoserFixPoint::update(void)",false
"_ZNK2al19CameraPoserFixPoint16makeLookAtCameraEPN4sead12LookAtCameraE","al::CameraPoserFixPoint::makeLookAtCamera(sead::LookAtCamera *)const",false
