Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al25CameraPoserKinopioBrigadeC2EPKc","al::CameraPoserKinopioBrigade::CameraPoserKinopioBrigade(char const*)",false
"_ZN2al25CameraPoserKinopioBrigade5startERKNS_15CameraStartInfoE","al::CameraPoserKinopioBrigade::start(al::CameraStartInfo const&)",false
"_ZN2al25CameraPoserKinopioBrigade11resetValuesEff","al::CameraPoserKinopioBrigade::resetValues(float,float)",false
"_ZN2al25CameraPoserKinopioBrigade6updateEv","al::CameraPoserKinopioBrigade::update(void)",false
"_ZN2al25CameraPoserKinopioBrigade12calcDrcAngleEv","al::CameraPoserKinopioBrigade::calcDrcAngle(void)",false
"_ZN2al25CameraPoserKinopioBrigade13calcBaseAngleEv","al::CameraPoserKinopioBrigade::calcBaseAngle(void)",false
"_ZN2al25CameraPoserKinopioBrigade17convergeBaseAngleEv","al::CameraPoserKinopioBrigade::convergeBaseAngle(void)",false
"_ZN2al25CameraPoserKinopioBrigade12commitCameraEv","al::CameraPoserKinopioBrigade::commitCamera(void)",false
"_ZN2al25CameraPoserKinopioBrigade12followLookAtEfRKN4sead7Vector3IfEES5_RKNS0_6V3boolE","al::CameraPoserKinopioBrigade::followLookAt(float,sead::Vector3<float> const&,sead::Vector3<float> const&,al::CameraPoserKinopioBrigade::V3bool const&)",false
"_ZN2al25CameraPoserKinopioBrigade9loadParamERKNS_9ByamlIterE","al::CameraPoserKinopioBrigade::loadParam(al::ByamlIter const&)",false
"_ZN2al25CameraPoserKinopioBrigade13transferParamEPKS0_","al::CameraPoserKinopioBrigade::transferParam(al::CameraPoserKinopioBrigade const*)",false
"_ZNK2al25CameraPoserKinopioBrigade19isEnableRotateByPadEv","al::CameraPoserKinopioBrigade::isEnableRotateByPad(void)const",false
