Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al20CameraPoserQuickTurnC2EPKc","al::CameraPoserQuickTurn::CameraPoserQuickTurn(char const*)",false
"_ZN2al20CameraPoserQuickTurn4initEv","al::CameraPoserQuickTurn::init(void)",false
"_ZN2al20CameraPoserQuickTurn9loadParamERKNS_9ByamlIterE","al::CameraPoserQuickTurn::loadParam(al::ByamlIter const&)",false
"_ZNK2al20CameraPoserQuickTurn16makeLookAtCameraEPN4sead12LookAtCameraE","al::CameraPoserQuickTurn::makeLookAtCamera(sead::LookAtCamera *)const",false
"_ZN2al20CameraPoserQuickTurn9setFollowEv","al::CameraPoserQuickTurn::setFollow(void)",false
"_ZN2al20CameraPoserQuickTurn9exeFollowEv","al::CameraPoserQuickTurn::exeFollow(void)",false
"_ZN2al20CameraPoserQuickTurn5resetEv","al::CameraPoserQuickTurn::reset(void)",false
"_ZN2al20CameraPoserQuickTurn7exeRaceEv","al::CameraPoserQuickTurn::exeRace(void)",false
"_ZNK2al20CameraPoserQuickTurn20calcTargetFrontLocalEPN4sead7Vector3IfEEb","al::CameraPoserQuickTurn::calcTargetFrontLocal(sead::Vector3<float> *,bool)const",false
"_ZN2al20CameraPoserQuickTurn5startERKNS_15CameraStartInfoE","al::CameraPoserQuickTurn::start(al::CameraStartInfo const&)",false
"sub_710097ABA4","",false
"sub_710097ABB8","",false
