Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al16CameraPoserTowerC1EPKcPKN4sead7Vector3IfEE","al::CameraPoserTower::CameraPoserTower(char const*,sead::Vector3<float> const*)",false
"_ZN2al16CameraPoserTower4initEv","al::CameraPoserTower::init(void)",false
"_ZN2al16CameraPoserTower18initByPlacementObjERKNS_13PlacementInfoE","al::CameraPoserTower::initByPlacementObj(al::PlacementInfo const&)",false
"_ZN2al16CameraPoserTower9loadParamERKNS_9ByamlIterE","al::CameraPoserTower::loadParam(al::ByamlIter const&)",false
"_ZN2al16CameraPoserTower5startERKNS_15CameraStartInfoE","al::CameraPoserTower::start(al::CameraStartInfo const&)",false
"_ZN2al16CameraPoserTower8movementEv","al::CameraPoserTower::movement(void)",false
"_ZN2al16CameraPoserTower6updateEv","al::CameraPoserTower::update(void)",false
"_ZN2al16CameraPoserTower16resetInputRotateEfi","al::CameraPoserTower::resetInputRotate(float,int)",false
"_ZNK2al16CameraPoserTower16makeLookAtCameraEPN4sead12LookAtCameraE","al::CameraPoserTower::makeLookAtCamera(sead::LookAtCamera *)const",false
"_ZN2al16CameraPoserTower8exeTowerEv","al::CameraPoserTower::exeTower(void)",false
"_ZN2al16CameraPoserTower13exeTowerInputEv","al::CameraPoserTower::exeTowerInput(void)",false
"_ZN2al16CameraPoserTower9exeFollowEv","al::CameraPoserTower::exeFollow(void)",false
"sub_710097E968","",false
"sub_710097E97C","",false
"sub_710097E990","",false
"_ZN2al24CameraStateRailMoveMovieC1EPKcPNS_11CameraPoserE","al::CameraStateRailMoveMovie::CameraStateRailMoveMovie(char const*,al::CameraPoser *)",false
"_ZN2al24CameraStateRailMoveMovie18initByPlacementObjERKNS_13PlacementInfoE","al::CameraStateRailMoveMovie::initByPlacementObj(al::PlacementInfo const&)",false
"_ZN2al24CameraStateRailMoveMovie9loadParamERKNS_9ByamlIterE","al::CameraStateRailMoveMovie::loadParam(al::ByamlIter const&)",false
"_ZN2al24CameraStateRailMoveMovie6appearEv","al::CameraStateRailMoveMovie::appear(void)",false
"sub_710097EF18","",false
"sub_710097F1DC","",false
"_ZN2al24CameraStateRailMoveMovie6updateEv","al::CameraStateRailMoveMovie::update(void)",false
"_ZN2al24CameraStateRailMoveMovie12exeMoveStartEv","al::CameraStateRailMoveMovie::exeMoveStart(void)",false
"_ZN2al24CameraStateRailMoveMovie7exeMoveEv","al::CameraStateRailMoveMovie::exeMove(void)",false
"_ZN2al24CameraStateRailMoveMovie7exeWaitEv","al::CameraStateRailMoveMovie::exeWait(void)",false
"_ZN2al24CameraStateRailMoveMovie8exeAfterEv","al::CameraStateRailMoveMovie::exeAfter(void)",false
"_ZN2al24CameraStateRailMoveMovieD0Ev","al::CameraStateRailMoveMovie::~CameraStateRailMoveMovie()",false
"sub_710097FBD0","",false
"sub_710097FBD8","",false
"sub_710097FBEC","",false
