Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al22CameraVerticalAbsorberC1EPKNS_11CameraPoserEb","al::CameraVerticalAbsorber::CameraVerticalAbsorber(al::CameraPoser const*,bool)",false
"_ZN2al22CameraVerticalAbsorber4loadERKNS_9ByamlIterE","al::CameraVerticalAbsorber::load(al::ByamlIter const&)",false
"_ZN2al22CameraVerticalAbsorber5startERKN4sead7Vector3IfEERKNS_15CameraStartInfoE","al::CameraVerticalAbsorber::start(sead::Vector3<float> const&,al::CameraStartInfo const&)",false
"_ZNK2al22CameraVerticalAbsorber7isValidEv","al::CameraVerticalAbsorber::isValid(void)const",false
"_ZN2al22CameraVerticalAbsorber6updateEv","al::CameraVerticalAbsorber::update(void)",false
"_ZNK2al22CameraVerticalAbsorber16makeLookAtCameraEPN4sead12LookAtCameraE","al::CameraVerticalAbsorber::makeLookAtCamera(sead::LookAtCamera *)const",false
"_ZN2al22CameraVerticalAbsorber14liberateAbsorbEv","al::CameraVerticalAbsorber::liberateAbsorb(void)",false
"_ZN2al22CameraVerticalAbsorber9exeAbsorbEv","al::CameraVerticalAbsorber::exeAbsorb(void)",false
"_ZN2al22CameraVerticalAbsorber9exeFollowEv","al::CameraVerticalAbsorber::exeFollow(void)",false
"sub_7100980C5C","",false
"_ZN2al22CameraVerticalAbsorber15exeFollowGroundEv","al::CameraVerticalAbsorber::exeFollowGround(void)",false
"_ZN2al22CameraVerticalAbsorber18exeFollowClimbPoleEv","al::CameraVerticalAbsorber::exeFollowClimbPole(void)",false
"_ZN2al22CameraVerticalAbsorber17exeFollowAbsoluteEv","al::CameraVerticalAbsorber::exeFollowAbsolute(void)",false
"_ZNK2al22CameraVerticalAbsorber11isAbsorbingEv","al::CameraVerticalAbsorber::isAbsorbing(void)const",false
"_ZN2al22CameraVerticalAbsorber10invalidateEv","al::CameraVerticalAbsorber::invalidate(void)",false
"_ZN2al22CameraVerticalAbsorber30tryResetAbsorbVecIfInCollisionERKN4sead7Vector3IfEE","al::CameraVerticalAbsorber::tryResetAbsorbVecIfInCollision(sead::Vector3<float> const&)",false
"_ZN2al22CameraVerticalAbsorberD2Ev","al::CameraVerticalAbsorber::~CameraVerticalAbsorber()",false
"_ZN2al22CameraVerticalAbsorberD0Ev","al::CameraVerticalAbsorber::~CameraVerticalAbsorber()",false
"sub_710098137C","",false
"sub_7100981384","",false
"sub_71009813B8","",false
"sub_71009813C0","",false
"sub_71009813C8","",false
"sub_71009813D0","",false
"sub_71009813D8","",false
