Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al30CameraVerticalAbsorber2DGalaxyC2Ev","al::CameraVerticalAbsorber2DGalaxy::CameraVerticalAbsorber2DGalaxy(void)",false
"_ZN2al30CameraVerticalAbsorber2DGalaxy5startEPKNS_11CameraPoserE","al::CameraVerticalAbsorber2DGalaxy::start(al::CameraPoser const*)",false
"_ZN2al30CameraVerticalAbsorber2DGalaxy6updateEPKNS_11CameraPoserE","al::CameraVerticalAbsorber2DGalaxy::update(al::CameraPoser const*)",false
"_ZNK2al30CameraVerticalAbsorber2DGalaxy10applyLimitEPN4sead7Vector3IfEE","al::CameraVerticalAbsorber2DGalaxy::applyLimit(sead::Vector3<float> *)const",false
"_ZN2al30CameraVerticalAbsorber2DGalaxy7exeNoneEv","al::CameraVerticalAbsorber2DGalaxy::exeNone(void)",false
"_ZN2al30CameraVerticalAbsorber2DGalaxy9exeGroundEv","al::CameraVerticalAbsorber2DGalaxy::exeGround(void)",false
"_ZN2al30CameraVerticalAbsorber2DGalaxy8exeLimitEv","al::CameraVerticalAbsorber2DGalaxy::exeLimit(void)",false
"_ZN2al30CameraVerticalAbsorber2DGalaxy12exeLimitOverEv","al::CameraVerticalAbsorber2DGalaxy::exeLimitOver(void)",false
"_ZN2al30CameraVerticalAbsorber2DGalaxy13exeLimitAfterEv","al::CameraVerticalAbsorber2DGalaxy::exeLimitAfter(void)",false
"_ZN2al30CameraVerticalAbsorber2DGalaxyD0Ev","al::CameraVerticalAbsorber2DGalaxy::~CameraVerticalAbsorber2DGalaxy()",false
"sub_71009818C0","",false
"sub_7100981940","",false
"sub_7100981948","",false
"sub_7100981950","",false
"sub_71009819E0","",false
