Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al8HdrParamC2Ev","al::HdrParam::HdrParam(void)",false
"_ZNK2al8HdrParam7isEqualERKNS_16IUseRequestParamE","al::HdrParam::isEqual(al::IUseRequestParam const&)const",false
"_ZN2al8HdrParam4copyERKNS_16IUseRequestParamE","al::HdrParam::copy(al::IUseRequestParam const&)",false
"_ZN2al8HdrParam10copyInterpERKNS_16IUseRequestParamES3_f","al::HdrParam::copyInterp(al::IUseRequestParam const&,al::IUseRequestParam const&,float)",false
"_ZN2al10HdrComposeC1EiPNS_18GraphicsSystemInfoE","al::HdrCompose::HdrCompose(int,al::GraphicsSystemInfo *)",false
"_ZN2al10HdrCompose11ViewContextC2Ev","al::HdrCompose::ViewContext::ViewContext(void)",false
"_ZN2al10HdrComposeD2Ev","al::HdrCompose::~HdrCompose()",false
"_ZN2al10HdrComposeD0Ev","al::HdrCompose::~HdrCompose()",false
"_ZN2al10HdrCompose12clearRequestEv","al::HdrCompose::clearRequest(void)",false
"_ZN2al10HdrCompose6updateEv","al::HdrCompose::update(void)",false
"_ZN2al10HdrCompose15getCurrentParamEv","al::HdrCompose::getCurrentParam(void)",false
"_ZN2al10HdrCompose12requestParamEiiRKNS_8HdrParamE","al::HdrCompose::requestParam(int,int,al::HdrParam const&)",false
"_ZN2al10HdrCompose15preDrawGraphicsEv","al::HdrCompose::preDrawGraphics(void)",false
"_ZN2al10HdrCompose12initHdrParamEPNS_8HdrParamE","al::HdrCompose::initHdrParam(al::HdrParam *)",false
"_ZNK2al10HdrCompose21findCameraEffectIndexEPKc","al::HdrCompose::findCameraEffectIndex(char const*)const",false
"_ZN2al10HdrCompose12setupTextureEPNS_12CameraEffectE","al::HdrCompose::setupTexture(al::CameraEffect *)",false
"_ZN4sead10StrTreeMapILi64EPN3agl11TextureDataEE6insertERKNS_14SafeStringBaseIcEERKS3_","sead::StrTreeMap<64,agl::TextureData *>::insert(sead::SafeStringBase<char> const&,agl::TextureData * const&)",false
"_ZN2al10HdrCompose7endInitEv","al::HdrCompose::endInit(void)",false
"_ZNK2al10HdrCompose17isValidCameraMaskEPKNS_8HdrParamE","al::HdrCompose::isValidCameraMask(al::HdrParam const*)const",false
"_ZNK2al10HdrCompose15getCameraEffectEPKNS_8HdrParamE","al::HdrCompose::getCameraEffect(al::HdrParam const*)const",false
"_ZNK2al10HdrCompose21isValidCameraIndirectEPKNS_8HdrParamE","al::HdrCompose::isValidCameraIndirect(al::HdrParam const*)const",false
"_ZNK2al10HdrCompose22isValidCameraIndirect2EPKNS_8HdrParamE","al::HdrCompose::isValidCameraIndirect2(al::HdrParam const*)const",false
"_ZNK2al10HdrCompose24isCurrentValidCameraMaskEv","al::HdrCompose::isCurrentValidCameraMask(void)const",false
"_ZNK2al10HdrCompose28isCurrentValidCameraIndirectEv","al::HdrCompose::isCurrentValidCameraIndirect(void)const",false
"_ZNK2al10HdrCompose29isCurrentValidCameraIndirect2Ev","al::HdrCompose::isCurrentValidCameraIndirect2(void)const",false
"_ZNK2al10HdrCompose29isCurrentValidCameraMaskBloomEv","al::HdrCompose::isCurrentValidCameraMaskBloom(void)const",false
"_ZNK2al10HdrCompose35isCurrentValidCameraMaskLightStreakEv","al::HdrCompose::isCurrentValidCameraMaskLightStreak(void)const",false
"_ZNK2al10HdrCompose30isCurrentValidCameraMaskGodRayEv","al::HdrCompose::isCurrentValidCameraMaskGodRay(void)const",false
"_ZN2al10HdrCompose19initProjectResourceEPKNS_8ResourceEPKc","al::HdrCompose::initProjectResource(al::Resource const*,char const*)",false
"_ZN2al10HdrCompose18setupComposeBufferEPN3agl11DrawContextEiRKNS1_12RenderBufferE","al::HdrCompose::setupComposeBuffer(agl::DrawContext *,int,agl::RenderBuffer const&)",false
"_ZNK2al10HdrCompose19isAtLeastOneComposeEi","al::HdrCompose::isAtLeastOneCompose(int)const",false
"_ZNK2al10HdrCompose23isAtLeastOneComposeMaskEi","al::HdrCompose::isAtLeastOneComposeMask(int)const",false
"sub_71009AF174","",false
"_ZNK2al10HdrCompose26getRenderBufferFlareFilterEv","al::HdrCompose::getRenderBufferFlareFilter(void)const",false
"_ZNK2al10HdrCompose20getRenderBufferBloomEv","al::HdrCompose::getRenderBufferBloom(void)const",false
"_ZNK2al10HdrCompose21getRenderBufferGodRayEv","al::HdrCompose::getRenderBufferGodRay(void)const",false
"_ZNK2al10HdrCompose26getRenderBufferLightStreakEv","al::HdrCompose::getRenderBufferLightStreak(void)const",false
"_ZNK2al10HdrCompose29getAutoExposureTexrureSamplerEi","al::HdrCompose::getAutoExposureTexrureSampler(int)const",false
"_ZN2al10HdrCompose20releaseComposeBufferEv","al::HdrCompose::releaseComposeBuffer(void)",false
"_ZN2al10HdrCompose7calcGPUEi","al::HdrCompose::calcGPU(int)",false
"_ZNK2al10HdrCompose20activateAutoExposureEPN3agl11DrawContextEiRKNS1_15SamplerLocationE","al::HdrCompose::activateAutoExposure(agl::DrawContext *,int,agl::SamplerLocation const&)const",false
"_ZNK2al10HdrCompose4drawEPN3agl11DrawContextERKNS_8ViewInfoERKNS1_12RenderBufferERKN4sead8ViewportERKNS1_11TextureDataEPSF_SH_SH_ff","al::HdrCompose::draw(agl::DrawContext *,al::ViewInfo const&,agl::RenderBuffer const&,sead::Viewport const&,agl::TextureData const&,agl::TextureData const*,agl::TextureData const*,agl::TextureData const*,float,float)const",false
"_ZNK2al8HdrParam12getParamNameEv","al::HdrParam::getParamName(void)const",false
