Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19RetroColorDrawParamC2Ev","al::RetroColorDrawParam::RetroColorDrawParam(void)",false
"_ZNK2al19RetroColorDrawParam8isEnableEv","al::RetroColorDrawParam::isEnable(void)const",false
"_ZNK2al19RetroColorDrawParam22isCheckPaletteWithLumaEv","al::RetroColorDrawParam::isCheckPaletteWithLuma(void)const",false
"_ZNK2al19RetroColorDrawParam15isPointSamplingEv","al::RetroColorDrawParam::isPointSampling(void)const",false
"_ZNK2al19RetroColorDrawParam15isBaseColorModeEv","al::RetroColorDrawParam::isBaseColorMode(void)const",false
"_ZNK2al19RetroColorDrawParam16isDrawCRTDisplayEv","al::RetroColorDrawParam::isDrawCRTDisplay(void)const",false
"_ZNK2al19RetroColorDrawParam20isDrawCRTPixelSelectEv","al::RetroColorDrawParam::isDrawCRTPixelSelect(void)const",false
"_ZNK2al19RetroColorDrawParam16isDrawSTNDisplayEv","al::RetroColorDrawParam::isDrawSTNDisplay(void)const",false
"_ZNK2al19RetroColorDrawParam17getColorPaletteIdEv","al::RetroColorDrawParam::getColorPaletteId(void)const",false
"_ZNK2al19RetroColorDrawParam13getWidthScaleEv","al::RetroColorDrawParam::getWidthScale(void)const",false
"_ZNK2al19RetroColorDrawParam14getHeightScaleEv","al::RetroColorDrawParam::getHeightScale(void)const",false
"_ZNK2al19RetroColorDrawParam9getRedBitEv","al::RetroColorDrawParam::getRedBit(void)const",false
"_ZNK2al19RetroColorDrawParam11getGreenBitEv","al::RetroColorDrawParam::getGreenBit(void)const",false
"_ZNK2al19RetroColorDrawParam10getBlueBitEv","al::RetroColorDrawParam::getBlueBit(void)const",false
"_ZNK2al19RetroColorDrawParam16getCRTDistortionEv","al::RetroColorDrawParam::getCRTDistortion(void)const",false
"_ZNK2al19RetroColorDrawParam16getCRTVignetRateEv","al::RetroColorDrawParam::getCRTVignetRate(void)const",false
"_ZNK2al19RetroColorDrawParam19getCRTScanLineScaleEv","al::RetroColorDrawParam::getCRTScanLineScale(void)const",false
"_ZNK2al19RetroColorDrawParam19getCRTScanLineColorEv","al::RetroColorDrawParam::getCRTScanLineColor(void)const",false
"_ZNK2al19RetroColorDrawParam16getCRTNoiseParamEv","al::RetroColorDrawParam::getCRTNoiseParam(void)const",false
"_ZNK2al19RetroColorDrawParam15getSTNLineScaleEv","al::RetroColorDrawParam::getSTNLineScale(void)const",false
"_ZNK2al19RetroColorDrawParam15getSTNLineColorEv","al::RetroColorDrawParam::getSTNLineColor(void)const",false
"_ZN2al16RetroColorDrawerC1EPNS_12ShaderHolderE","al::RetroColorDrawer::RetroColorDrawer(al::ShaderHolder *)",false
"_ZN2al16RetroColorDrawerD2Ev","al::RetroColorDrawer::~RetroColorDrawer()",false
"_ZN2al16RetroColorDrawer7endInitEv","al::RetroColorDrawer::endInit(void)",false
"_ZN2al16RetroColorDrawer12clearRequestEv","al::RetroColorDrawer::clearRequest(void)",false
"_ZN2al16RetroColorDrawer6updateEv","al::RetroColorDrawer::update(void)",false
"_ZNK2al16RetroColorDrawer4drawEPN3agl11DrawContextERKNS1_12RenderBufferERKNS1_11TextureDataE","al::RetroColorDrawer::draw(agl::DrawContext *,agl::RenderBuffer const&,agl::TextureData const&)const",false
"_ZNK2al16RetroColorDrawer15getCurrentParamEv","al::RetroColorDrawer::getCurrentParam(void)const",false
"_ZN2al16RetroColorDrawer12requestParamEiiRKNS_19RetroColorDrawParamE","al::RetroColorDrawer::requestParam(int,int,al::RetroColorDrawParam const&)",false
"_ZNK2al19RetroColorDrawParam12getParamNameEv","al::RetroColorDrawParam::getParamName(void)const",false
"_ZN2al19RetroColorDrawParam11getParamObjEv","al::RetroColorDrawParam::getParamObj(void)",false
"_ZNK2al19RetroColorDrawParam11getParamObjEv","al::RetroColorDrawParam::getParamObj(void)const",false
