Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10ProjectionC2Ev","al::Projection::Projection(void)",false
"_ZN2al10Projection4initEv","al::Projection::init(void)",false
"_ZN2al10Projection7calcMtxEv","al::Projection::calcMtx(void)",false
"_ZN2al10ProjectionC1ERKS0_","al::Projection::Projection(al::Projection const&)",false
"_ZN2al10Projection8copyFromERKS0_","al::Projection::copyFrom(al::Projection const&)",false
"_ZNK2al10Projection6getTopEv","al::Projection::getTop(void)const",false
"_ZNK2al10Projection9getBottomEv","al::Projection::getBottom(void)const",false
"_ZNK2al10Projection7getLeftEv","al::Projection::getLeft(void)const",false
"_ZNK2al10Projection8getRightEv","al::Projection::getRight(void)const",false
"_ZNK2al10Projection7getNearEv","al::Projection::getNear(void)const",false
"_ZNK2al10Projection6getFarEv","al::Projection::getFar(void)const",false
"_ZN2al10Projection13setProjTBLRNFEffffff","al::Projection::setProjTBLRNF(float,float,float,float,float,float)",false
"_ZN2al10ProjectionC2Effff","al::Projection::Projection(float,float,float,float)",false
"_ZN2al10Projection7setProjEffff","al::Projection::setProj(float,float,float,float)",false
"_ZN2al10Projection7setFovyEf","al::Projection::setFovy(float)",false
"_ZN2al10Projection9setAspectEf","al::Projection::setAspect(float)",false
"_ZN2al10Projection7setNearEf","al::Projection::setNear(float)",false
"_ZN2al10Projection6setFarEf","al::Projection::setFar(float)",false
"_ZN2al10Projection18calcNearClipHeightEv","al::Projection::calcNearClipHeight(void)",false
"_ZN2al10Projection17calcNearClipWidthEv","al::Projection::calcNearClipWidth(void)",false
"_ZN2al10Projection6setTopEf","al::Projection::setTop(float)",false
"_ZN2al10Projection9setBottomEf","al::Projection::setBottom(float)",false
"_ZN2al10Projection7setLeftEf","al::Projection::setLeft(float)",false
"_ZN2al10Projection8setRightEf","al::Projection::setRight(float)",false
"_ZN2al10Projection9setOffsetERKN4sead7Vector2IfEE","al::Projection::setOffset(sead::Vector2<float> const&)",false
"_ZN2al10Projection5mergeERKS0_S2_","al::Projection::merge(al::Projection const&,al::Projection const&)",false
"_ZNK2al10Projection9getAspectEv","al::Projection::getAspect(void)const",false
"_ZN2al20isUsingViewportHalfZEv","al::isUsingViewportHalfZ(void)",false
"_ZN2al19isProjectionReverseEv","al::isProjectionReverse(void)",false
"_ZN2al36isMakeLinearDepthProjReverseInfiniteEv","al::isMakeLinearDepthProjReverseInfinite(void)",false
"_ZNK2al10Projection9getOffsetEv","al::Projection::getOffset(void)const",false
"_ZNK2al10Projection7getFovyEv","al::Projection::getFovy(void)const",false
"_ZNK2al10Projection10getProjMtxEv","al::Projection::getProjMtx(void)const",false
"_ZNK2al10Projection13getProjInvMtxEv","al::Projection::getProjInvMtx(void)const",false
"_ZN2al17setClipControlStdEv","al::setClipControlStd(void)",false
"_ZN2al14setClipControlEv","al::setClipControl(void)",false
"_ZN2al13applyViewportEPN3agl11DrawContextERKNS0_12RenderBufferE","al::applyViewport(agl::DrawContext *,agl::RenderBuffer const&)",false
"_ZN2al21applyViewportProjTypeEPN3agl11DrawContextERKNS0_12RenderBufferE","al::applyViewportProjType(agl::DrawContext *,agl::RenderBuffer const&)",false
"_ZN2al25calcPlanesByFrustumPointsEPNS_17ViewFrustumPlanesERKNS_17ViewFrustumPointsE","al::calcPlanesByFrustumPoints(al::ViewFrustumPlanes *,al::ViewFrustumPoints const&)",false
"_ZN2al28calcFrustumPointsAtViewSpaceEPNS_17ViewFrustumPointsERKN4sead8Matrix44IfEE","al::calcFrustumPointsAtViewSpace(al::ViewFrustumPoints *,sead::Matrix44<float> const&)",false
"_ZN2al20calcFrustumNearWidthERKN4sead8Matrix44IfEE","al::calcFrustumNearWidth(sead::Matrix44<float> const&)",false
"_ZN2al29calcFrustumPointsAtWorldSpaceEPNS_17ViewFrustumPointsERKN4sead8Matrix34IfEERKNS2_8Matrix44IfEE","al::calcFrustumPointsAtWorldSpace(al::ViewFrustumPoints *,sead::Matrix34<float> const&,sead::Matrix44<float> const&)",false
"_ZN2al27calcFrustumPlanesWorldSpaceEPNS_17ViewFrustumPlanesERKN4sead8Matrix34IfEERKNS2_8Matrix44IfEEPNS_17ViewFrustumPointsE","al::calcFrustumPlanesWorldSpace(al::ViewFrustumPlanes *,sead::Matrix34<float> const&,sead::Matrix44<float> const&,al::ViewFrustumPoints *)",false
"_ZN2al22calcFrustumPlanesMergeEPNS_17ViewFrustumPlanesEPNS_17ViewFrustumPointsERKS2_S5_RKN4sead7Vector3IfEESA_","al::calcFrustumPlanesMerge(al::ViewFrustumPlanes *,al::ViewFrustumPoints *,al::ViewFrustumPoints const&,al::ViewFrustumPoints const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZN2al17ViewFrustumPoints10calcPointsERKN4sead8Matrix44IfEE","al::ViewFrustumPoints::calcPoints(sead::Matrix44<float> const&)",false
