Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al4RailC2Ev","al::Rail::Rail(void)",false
"_ZN2al4Rail4initERKNS_13PlacementInfoE","al::Rail::init(al::PlacementInfo const&)",false
"_ZNK2al4Rail7calcPosEPN4sead7Vector3IfEEf","al::Rail::calcPos(sead::Vector3<float> *,float)const",false
"_ZNK2al4Rail18getIncludedSectionEPPKNS_8RailPartEPff","al::Rail::getIncludedSection(al::RailPart const**,float *,float)const",false
"_ZNK2al4Rail13calcDirectionEPN4sead7Vector3IfEEf","al::Rail::calcDirection(sead::Vector3<float> *,float)const",false
"_ZNK2al4Rail10calcPosDirEPN4sead7Vector3IfEES4_f","al::Rail::calcPosDir(sead::Vector3<float> *,sead::Vector3<float> *,float)const",false
"_ZNK2al4Rail14getTotalLengthEv","al::Rail::getTotalLength(void)const",false
"_ZNK2al4Rail13getPartLengthEi","al::Rail::getPartLength(int)const",false
"_ZNK2al4Rail16getLengthToPointEi","al::Rail::getLengthToPoint(int)const",false
"_ZNK2al4Rail16calcRailPointPosEPN4sead7Vector3IfEEi","al::Rail::calcRailPointPos(sead::Vector3<float> *,int)const",false
"_ZNK2al4Rail27calcNearestRailPointPosFastEPN4sead7Vector3IfEEPjRKS3_","al::Rail::calcNearestRailPointPosFast(sead::Vector3<float> *,unsigned int *,sead::Vector3<float> const&)const",false
"_ZNK2al4Rail22calcNearestRailPointNoEPiRKN4sead7Vector3IfEE","al::Rail::calcNearestRailPointNo(int *,sead::Vector3<float> const&)const",false
"_ZNK2al4Rail23calcNearestRailPointPosEPN4sead7Vector3IfEERKS3_","al::Rail::calcNearestRailPointPos(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZNK2al4Rail15normalizeLengthEf","al::Rail::normalizeLength(float)const",false
"_ZNK2al4Rail23calcNearestRailPosCoordERKN4sead7Vector3IfEEf","al::Rail::calcNearestRailPosCoord(sead::Vector3<float> const&,float)const",false
"_ZNK2al4Rail23calcNearestRailPosCoordERKN4sead7Vector3IfEEfPf","al::Rail::calcNearestRailPosCoord(sead::Vector3<float> const&,float,float *)const",false
"_ZNK2al4Rail18calcNearestRailPosEPN4sead7Vector3IfEERKS3_f","al::Rail::calcNearestRailPos(sead::Vector3<float> *,sead::Vector3<float> const&,float)const",false
"_ZNK2al4Rail15isNearRailPointEff","al::Rail::isNearRailPoint(float,float)const",false
"_ZNK2al4Rail16calcRailPointNumEff","al::Rail::calcRailPointNum(float,float)const",false
"_ZNK2al4Rail24getIncludedSectionLengthEPfS1_f","al::Rail::getIncludedSectionLength(float *,float *,float)const",false
"_ZNK2al4Rail23getIncludedSectionIndexEf","al::Rail::getIncludedSectionIndex(float)const",false
"_ZNK2al4Rail23isIncludeBezierRailPartEv","al::Rail::isIncludeBezierRailPart(void)const",false
"_ZNK2al4Rail16isBezierRailPartEi","al::Rail::isBezierRailPart(int)const",false
