Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10RailKeeperC1ERKNS_13PlacementInfoE","al::RailKeeper::RailKeeper(al::PlacementInfo const&)",false
"_ZN2al16createRailKeeperERKNS_13PlacementInfoEPKc","al::createRailKeeper(al::PlacementInfo const&,char const*)",false
"_ZN2al19tryCreateRailKeeperERKNS_13PlacementInfoEPKc","al::tryCreateRailKeeper(al::PlacementInfo const&,char const*)",false
"_ZN2al21createRailKeeperIndexERKNS_13PlacementInfoEiPKc","al::createRailKeeperIndex(al::PlacementInfo const&,int,char const*)",false
"_ZNK2al10RailKeeper12getRailRiderEv","al::RailKeeper::getRailRider(void)const",false
"_ZN2al8RailPartC2Ev","al::RailPart::RailPart(void)",false
"_ZN2al8RailPart4initERKN4sead7Vector3IfEES5_S5_S5_","al::RailPart::init(sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&)",false
"_ZNK2al8RailPart7calcPosEPN4sead7Vector3IfEEf","al::RailPart::calcPos(sead::Vector3<float> *,float)const",false
"_ZNK2al8RailPart12calcVelocityEPN4sead7Vector3IfEEf","al::RailPart::calcVelocity(sead::Vector3<float> *,float)const",false
"_ZNK2al8RailPart7calcDirEPN4sead7Vector3IfEEf","al::RailPart::calcDir(sead::Vector3<float> *,float)const",false
"_ZNK2al8RailPart12calcStartPosEPN4sead7Vector3IfEE","al::RailPart::calcStartPos(sead::Vector3<float> *)const",false
"_ZNK2al8RailPart10calcEndPosEPN4sead7Vector3IfEE","al::RailPart::calcEndPos(sead::Vector3<float> *)const",false
"_ZNK2al8RailPart10calcLengthEffi","al::RailPart::calcLength(float,float,int)const",false
"_ZNK2al8RailPart14calcCurveParamEf","al::RailPart::calcCurveParam(float)const",false
"_ZNK2al8RailPart16calcNearestParamERKN4sead7Vector3IfEEf","al::RailPart::calcNearestParam(sead::Vector3<float> const&,float)const",false
"_ZNK2al8RailPart14calcNearestPosEPN4sead7Vector3IfEERKS3_f","al::RailPart::calcNearestPos(sead::Vector3<float> *,sead::Vector3<float> const&,float)const",false
"_ZNK2al8RailPart17calcNearestLengthEPfRKN4sead7Vector3IfEEff","al::RailPart::calcNearestLength(float *,sead::Vector3<float> const&,float,float)const",false
"_ZNK2al8RailPart13getPartLengthEv","al::RailPart::getPartLength(void)const",false
"_ZN2al9RailRiderC1EPKNS_4RailE","al::RailRider::RailRider(al::Rail const*)",false
"_ZN2al9RailRider15moveToRailStartEv","al::RailRider::moveToRailStart(void)",false
"_ZN2al9RailRider4moveEv","al::RailRider::move(void)",false
"_ZN2al9RailRider10syncPosDirEv","al::RailRider::syncPosDir(void)",false
"_ZN2al9RailRider8setCoordEf","al::RailRider::setCoord(float)",false
"_ZN2al9RailRider15moveToRailPointEi","al::RailRider::moveToRailPoint(int)",false
"_ZN2al9RailRider13moveToRailEndEv","al::RailRider::moveToRailEnd(void)",false
"_ZN2al9RailRider11moveToBeginEv","al::RailRider::moveToBegin(void)",false
"_ZN2al9RailRider10moveToGoalEv","al::RailRider::moveToGoal(void)",false
"_ZN2al9RailRider17moveToNearestRailERKN4sead7Vector3IfEE","al::RailRider::moveToNearestRail(sead::Vector3<float> const&)",false
"_ZN2al9RailRider7reverseEv","al::RailRider::reverse(void)",false
"_ZN2al9RailRider17setMoveGoingStartEv","al::RailRider::setMoveGoingStart(void)",false
