Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15getDisplayWidthEv","al::getDisplayWidth(void)",false
"_ZN2al16getDisplayHeightEv","al::getDisplayHeight(void)",false
"_ZN2al18getSubDisplayWidthEv","al::getSubDisplayWidth(void)",false
"_ZN2al19getSubDisplayHeightEv","al::getSubDisplayHeight(void)",false
"_ZN2al21getLayoutDisplayWidthEv","al::getLayoutDisplayWidth(void)",false
"_ZN2al22getLayoutDisplayHeightEv","al::getLayoutDisplayHeight(void)",false
"_ZN2al22getVirtualDisplayWidthEv","al::getVirtualDisplayWidth(void)",false
"_ZN2al23getVirtualDisplayHeightEv","al::getVirtualDisplayHeight(void)",false
"_ZN2al10isInScreenERKN4sead7Vector2IfEEf","al::isInScreen(sead::Vector2<float> const&,float)",false
"_ZN2al26calcScreenPosFromLayoutPosEPN4sead7Vector2IfEERKS2_","al::calcScreenPosFromLayoutPos(sead::Vector2<float> *,sead::Vector2<float> const&)",false
"_ZN2al26calcLayoutPosFromScreenPosEPN4sead7Vector2IfEERKS2_","al::calcLayoutPosFromScreenPos(sead::Vector2<float> *,sead::Vector2<float> const&)",false
"_ZN2al22calcWorldPosFromScreenEPN4sead7Vector3IfEERKNS0_7Vector2IfEERKNS0_8Matrix34IfEEf","al::calcWorldPosFromScreen(sead::Vector3<float> *,sead::Vector2<float> const&,sead::Matrix34<float> const&,float)",false
"_ZN2al25calcWorldPosFromScreenPosEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEEf","al::calcWorldPosFromScreenPos(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float)",false
"_ZN2al25calcWorldPosFromLayoutPosEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEEf","al::calcWorldPosFromLayoutPos(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float)",false
"_ZN2al25calcWorldPosFromScreenPosEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEERKS2_","al::calcWorldPosFromScreenPos(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,sead::Vector3<float> const&)",false
"_ZN2al25calcWorldPosFromLayoutPosEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEERKS2_","al::calcWorldPosFromLayoutPos(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,sead::Vector3<float> const&)",false
"_ZN2al28calcWorldPosFromScreenPosSubEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEEf","al::calcWorldPosFromScreenPosSub(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float)",false
"_ZN2al28calcWorldPosFromLayoutPosSubEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEEf","al::calcWorldPosFromLayoutPosSub(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float)",false
"_ZN2al28calcWorldPosFromScreenPosSubEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEERKS2_","al::calcWorldPosFromScreenPosSub(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,sead::Vector3<float> const&)",false
"_ZN2al28calcWorldPosFromLayoutPosSubEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEERKS2_","al::calcWorldPosFromLayoutPosSub(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,sead::Vector3<float> const&)",false
"_ZN14ScreenFunction33calcWorldPositionFromCenterScreenEPN4sead7Vector3IfEERKNS0_7Vector2IfEERKS2_RKNS0_6CameraERKNS0_10ProjectionERKNS0_8ViewportE","ScreenFunction::calcWorldPositionFromCenterScreen(sead::Vector3<float> *,sead::Vector2<float> const&,sead::Vector3<float> const&,sead::Camera const&,sead::Projection const&,sead::Viewport const&)",false
"_ZN2al25calcScreenPosFromWorldPosEPN4sead7Vector2IfEEPKNS_10IUseCameraERKNS0_7Vector3IfEE","al::calcScreenPosFromWorldPos(sead::Vector2<float> *,al::IUseCamera const*,sead::Vector3<float> const&)",false
"_ZN2al25calcLayoutPosFromWorldPosEPN4sead7Vector2IfEEPKNS_10IUseCameraERKNS0_7Vector3IfEE","al::calcLayoutPosFromWorldPos(sead::Vector2<float> *,al::IUseCamera const*,sead::Vector3<float> const&)",false
"_ZN2al28calcScreenPosFromWorldPosSubEPN4sead7Vector2IfEEPKNS_10IUseCameraERKNS0_7Vector3IfEE","al::calcScreenPosFromWorldPosSub(sead::Vector2<float> *,al::IUseCamera const*,sead::Vector3<float> const&)",false
"_ZN2al28calcLayoutPosFromWorldPosSubEPN4sead7Vector2IfEEPKNS_10IUseCameraERKNS0_7Vector3IfEE","al::calcLayoutPosFromWorldPosSub(sead::Vector2<float> *,al::IUseCamera const*,sead::Vector3<float> const&)",false
"_ZN2al25calcLayoutPosFromWorldPosEPN4sead7Vector3IfEEPKNS_10IUseCameraERKS2_","al::calcLayoutPosFromWorldPos(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector3<float> const&)",false
"_ZN2al42calcLayoutPosFromWorldPosWithClampOutRangeEPN4sead7Vector3IfEEPKNS_10IUseCameraERKS2_fi","al::calcLayoutPosFromWorldPosWithClampOutRange(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector3<float> const&,float,int)",false
"_ZN2al42calcLayoutPosFromWorldPosWithClampOutRangeEPN4sead7Vector3IfEEPKNS_15SceneCameraInfoERKS2_fi","al::calcLayoutPosFromWorldPosWithClampOutRange(sead::Vector3<float> *,al::SceneCameraInfo const*,sead::Vector3<float> const&,float,int)",false
"_ZN2al42calcLayoutPosFromWorldPosWithClampByScreenEPN4sead7Vector3IfEEPKNS_10IUseCameraERKS2_","al::calcLayoutPosFromWorldPosWithClampByScreen(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector3<float> const&)",false
"_ZN2al25calcLayoutPosFromWorldPosEPN4sead7Vector3IfEEPKNS_15SceneCameraInfoERKS2_i","al::calcLayoutPosFromWorldPos(sead::Vector3<float> *,al::SceneCameraInfo const*,sead::Vector3<float> const&,int)",false
"_ZN2al31calcScreenRadiusFromWorldRadiusERKN4sead7Vector3IfEEPKNS_10IUseCameraEf","al::calcScreenRadiusFromWorldRadius(sead::Vector3<float> const&,al::IUseCamera const*,float)",false
"_ZN2al34calcScreenRadiusFromWorldRadiusSubERKN4sead7Vector3IfEEPKNS_10IUseCameraEf","al::calcScreenRadiusFromWorldRadiusSub(sead::Vector3<float> const&,al::IUseCamera const*,float)",false
"_ZN2al31calcLayoutRadiusFromWorldRadiusERKN4sead7Vector3IfEEPKNS_10IUseCameraEf","al::calcLayoutRadiusFromWorldRadius(sead::Vector3<float> const&,al::IUseCamera const*,float)",false
"_ZN2al39calcCameraPosToWorldPosDirFromScreenPosEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEEf","al::calcCameraPosToWorldPosDirFromScreenPos(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float)",false
"_ZN2al39calcCameraPosToWorldPosDirFromScreenPosEPN4sead7Vector3IfEEPKNS_15SceneCameraInfoERKNS0_7Vector2IfEEfi","al::calcCameraPosToWorldPosDirFromScreenPos(sead::Vector3<float> *,al::SceneCameraInfo const*,sead::Vector2<float> const&,float,int)",false
"_ZN2al39calcCameraPosToWorldPosDirFromScreenPosEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEERKS2_","al::calcCameraPosToWorldPosDirFromScreenPos(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,sead::Vector3<float> const&)",false
"_ZN2al39calcCameraPosToWorldPosDirFromScreenPosEPN4sead7Vector3IfEEPKNS_15SceneCameraInfoERKNS0_7Vector2IfEERKS2_i","al::calcCameraPosToWorldPosDirFromScreenPos(sead::Vector3<float> *,al::SceneCameraInfo const*,sead::Vector2<float> const&,sead::Vector3<float> const&,int)",false
"_ZN2al42calcCameraPosToWorldPosDirFromScreenPosSubEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEEf","al::calcCameraPosToWorldPosDirFromScreenPosSub(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float)",false
"_ZN2al42calcCameraPosToWorldPosDirFromScreenPosSubEPN4sead7Vector3IfEEPKNS_10IUseCameraERKNS0_7Vector2IfEERKS2_","al::calcCameraPosToWorldPosDirFromScreenPosSub(sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,sead::Vector3<float> const&)",false
"_ZN2al37calcLineCameraToWorldPosFromScreenPosEPN4sead7Vector3IfEES3_PKNS_10IUseCameraERKNS0_7Vector2IfEEff","al::calcLineCameraToWorldPosFromScreenPos(sead::Vector3<float> *,sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float,float)",false
"_ZN2al37calcLineCameraToWorldPosFromScreenPosEPN4sead7Vector3IfEES3_PKNS_10IUseCameraERKNS0_7Vector2IfEE","al::calcLineCameraToWorldPosFromScreenPos(sead::Vector3<float> *,sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&)",false
"_ZN2al40calcLineCameraToWorldPosFromScreenPosSubEPN4sead7Vector3IfEES3_PKNS_10IUseCameraERKNS0_7Vector2IfEEff","al::calcLineCameraToWorldPosFromScreenPosSub(sead::Vector3<float> *,sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&,float,float)",false
"_ZN2al40calcLineCameraToWorldPosFromScreenPosSubEPN4sead7Vector3IfEES3_PKNS_10IUseCameraERKNS0_7Vector2IfEE","al::calcLineCameraToWorldPosFromScreenPosSub(sead::Vector3<float> *,sead::Vector3<float> *,al::IUseCamera const*,sead::Vector2<float> const&)",false
"_ZN2al25calcWorldPosFromLayoutPosEPN4sead7Vector3IfEEPKNS_15SceneCameraInfoERKNS0_7Vector2IfEEfi","al::calcWorldPosFromLayoutPos(sead::Vector3<float> *,al::SceneCameraInfo const*,sead::Vector2<float> const&,float,int)",false
"_ZN2al25calcWorldPosFromLayoutPosEPN4sead7Vector3IfEEPKNS_15SceneCameraInfoERKNS0_7Vector2IfEERKS2_i","al::calcWorldPosFromLayoutPos(sead::Vector3<float> *,al::SceneCameraInfo const*,sead::Vector2<float> const&,sead::Vector3<float> const&,int)",false
