Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al10SeDataBase6createEPKcS2_PKNS_21AudioSoundArchiveInfoE","al::SeDataBase::create(char const*,char const*,al::AudioSoundArchiveInfo const*)",false
"_ZN2al10SeDataBaseC1EPNS_8ResourceES2_PKNS_21AudioSoundArchiveInfoE","al::SeDataBase::SeDataBase(al::Resource *,al::Resource *,al::AudioSoundArchiveInfo const*)",false
"_ZN2al10SeDataBase30createResourceCategoryInfoListEPKNS_8ResourceE","al::SeDataBase::createResourceCategoryInfoList(al::Resource const*)",false
"_ZN2al10SeDataBase30createResourceSpecificInfoListEPKNS_8ResourceERKN4sead13ConstPtrArrayIcEEPKNS_21AudioSoundArchiveInfoE","al::SeDataBase::createResourceSpecificInfoList(al::Resource const*,sead::ConstPtrArray<char> const&,al::AudioSoundArchiveInfo const*)",false
"_ZN2al10SeDataBase18createUserInfoListEPKNS_8ResourceERKN4sead13ConstPtrArrayIcEE","al::SeDataBase::createUserInfoList(al::Resource const*,sead::ConstPtrArray<char> const&)",false
"_ZN2al10SeDataBase30createStationedArchiveInfoListEPKNS_8ResourceE","al::SeDataBase::createStationedArchiveInfoList(al::Resource const*)",false
"_ZN2al10SeDataBase19createStageInfoListEPKNS_8ResourceE","al::SeDataBase::createStageInfoList(al::Resource const*)",false
"_ZN2al10SeDataBase28createDemoSyncedProcInfoListEPKNS_8ResourceE","al::SeDataBase::createDemoSyncedProcInfoList(al::Resource const*)",false
"_ZN2al10SeDataBase23createSituationInfoListEPKNS_8ResourceE","al::SeDataBase::createSituationInfoList(al::Resource const*)",false
"_ZN2al10SeDataBase33setResourceSpecInfoToResourceInfoEv","al::SeDataBase::setResourceSpecInfoToResourceInfo(void)",false
"_ZNK2al10SeDataBase15tryGetStageInfoEPKci","al::SeDataBase::tryGetStageInfo(char const*,int)const",false
"_ZN2al10SeDataBase21setResourceIdToMeInfoEv","al::SeDataBase::setResourceIdToMeInfo(void)",false
