Mangled Symbol, Demangled Symbol, Is Matched
"_ZN14alSeDbFunction23calcIsOneTimeInUserInfoEPKN2al10SeUserInfoE","alSeDbFunction::calcIsOneTimeInUserInfo(al::SeUserInfo const*)",false
"_ZN14alSeDbFunction26convertInterpolateTypeToIdEPKc","alSeDbFunction::convertInterpolateTypeToId(char const*)",false
"_ZN14alSeDbFunction30convertInterpolateTypeIdToNameEN2al19SeInterpolateTypeIdE","alSeDbFunction::convertInterpolateTypeIdToName(al::SeInterpolateTypeId)",false
"_ZN14alSeDbFunction33applyResMainInfoSettingInPlayInfoEPKN2al10SePlayInfoEPKc","alSeDbFunction::applyResMainInfoSettingInPlayInfo(al::SePlayInfo const*,char const*)",false
"_ZN14alSeDbFunction13calcRtpcParamEPKN2al13SeRtpcSettingEf","alSeDbFunction::calcRtpcParam(al::SeRtpcSetting const*,float)",false
"_ZN14alSeDbFunction17calcRtpcVolumeModEPKN2al18SeResourceRtpcInfoEfb","alSeDbFunction::calcRtpcVolumeMod(al::SeResourceRtpcInfo const*,float,bool)",false
"_ZN14alSeDbFunction24createDefaultEmitterInfoEPKc","alSeDbFunction::createDefaultEmitterInfo(char const*)",false
"_ZN14alSeDbFunction28createDefaultEmitterInfoListEv","alSeDbFunction::createDefaultEmitterInfoList(void)",false
"_ZN14alSeDbFunction16setPartsUserListEPKN2al10SeUserInfoEPKNS0_22AudioInfoListWithPartsIS1_EE","alSeDbFunction::setPartsUserList(al::SeUserInfo const*,al::AudioInfoListWithParts<al::SeUserInfo> const*)",false
"_ZN14alSeDbFunction17setDefaultEmitterEPKN2al10SeUserInfoEbb","alSeDbFunction::setDefaultEmitter(al::SeUserInfo const*,bool,bool)",false
"_ZN14alSeDbFunction33setResourceSpecInfoToResourceInfoEPKN2al10SeUserInfoEPKNS0_22AudioInfoListWithPartsINS0_22SeResourceSpecificInfoEEEb","alSeDbFunction::setResourceSpecInfoToResourceInfo(al::SeUserInfo const*,al::AudioInfoListWithParts<al::SeResourceSpecificInfo> const*,bool)",false
"_ZN14alSeDbFunction22tryFindSceneSeUserNameEPKN2al15AudioSystemInfoEPKci","alSeDbFunction::tryFindSceneSeUserName(al::AudioSystemInfo const*,char const*,int)",false
"_ZN14alSeDbFunction23findRtpcInputTypeByNameEPKc","alSeDbFunction::findRtpcInputTypeByName(char const*)",false
"_ZN14alSeDbFunction27findSeFluctuationTypeByNameEPKc","alSeDbFunction::findSeFluctuationTypeByName(char const*)",false
"_ZN14alSeDbFunction21createNameAreaAndCopyEPKc","alSeDbFunction::createNameAreaAndCopy(char const*)",false
"_ZN2al15SeRtpcInputType5text_Ei","al::SeRtpcInputType::text_(int)",false
"_ZN4sead15FixedSafeStringILi172EED0Ev","sead::FixedSafeString<172>::~FixedSafeString()",false
"_ZN4sead15FixedSafeStringILi172EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeString<172>::operator=(sead::SafeStringBase<char> const&)",false
"_ZN4sead19FixedSafeStringBaseIcLi172EED0Ev","sead::FixedSafeStringBase<char,172>::~FixedSafeStringBase()",false
"_ZN4sead19FixedSafeStringBaseIcLi172EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeStringBase<char,172>::operator=(sead::SafeStringBase<char> const&)",false
"_ZN2al17SeFluctuationType5text_Ei","al::SeFluctuationType::text_(int)",false
"_ZN4sead15FixedSafeStringILi35EED0Ev","sead::FixedSafeString<35>::~FixedSafeString()",false
"_ZN4sead15FixedSafeStringILi35EEaSERKNS_14SafeStringBaseIcEE","sead::FixedSafeString<35>::operator=(sead::SafeStringBase<char> const&)",false
"_ZN4sead19FixedSafeStringBaseIcLi35EED0Ev","sead::FixedSafeStringBase<char,35>::~FixedSafeStringBase()",false
