Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al8SequenceC2EPKc","al::Sequence::Sequence(char const*)",false
"_ZN2al8SequenceD2Ev","al::Sequence::~Sequence()",false
"_ZThn24_N2al8SequenceD1Ev","`non-virtual thunk to'al::Sequence::~Sequence()",false
"_ZN2al8SequenceD0Ev","al::Sequence::~Sequence()",false
"_ZThn24_N2al8SequenceD0Ev","`non-virtual thunk to'al::Sequence::~Sequence()",false
"_ZN2al8Sequence6updateEv","al::Sequence::update(void)",false
"_ZN2al8Sequence4killEv","al::Sequence::kill(void)",false
"_ZN2al8Sequence9initAudioERKNS_14GameSystemInfoEPKciiiS5_","al::Sequence::initAudio(al::GameSystemInfo const&,char const*,int,int,int,char const*)",false
"_ZN2al8Sequence15initAudioKeeperEPKc","al::Sequence::initAudioKeeper(char const*)",false
"_ZN2al8Sequence18initDrawSystemInfoERKNS_16SequenceInitInfoE","al::Sequence::initDrawSystemInfo(al::SequenceInitInfo const&)",false
"_ZNK2al8Sequence18getAudioSystemInfoEv","al::Sequence::getAudioSystemInfo(void)const",false
"_ZNK2al8Sequence8drawMainEv","al::Sequence::drawMain(void)const",false
"_ZNK2al8Sequence7drawSubEv","al::Sequence::drawSub(void)const",false
"_ZN2al8Sequence4initERKNS_16SequenceInitInfoE","al::Sequence::init(al::SequenceInitInfo const&)",false
"_ZNK2al8Sequence12isDisposableEv","al::Sequence::isDisposable(void)const",false
"_ZNK2al8Sequence15getCurrentSceneEv","al::Sequence::getCurrentScene(void)const",false
"_ZN2al16IUseSceneCreatorD2Ev","al::IUseSceneCreator::~IUseSceneCreator()",false
"_ZN2al16IUseSceneCreatorD0Ev","al::IUseSceneCreator::~IUseSceneCreator()",false
"_ZN2al16SequenceInitInfoC1EPKNS_14GameSystemInfoE","al::SequenceInitInfo::SequenceInitInfo(al::GameSystemInfo const*)",false
"_ZN2al16initSceneCreatorEPNS_16IUseSceneCreatorERKNS_16SequenceInitInfoEPNS_18GameDataHolderBaseEPNS_13AudioDirectorEPNS_21ScreenCaptureExecutorEPN15alSceneFunction12SceneFactoryE","al::initSceneCreator(al::IUseSceneCreator *,al::SequenceInitInfo const&,al::GameDataHolderBase *,al::AudioDirector *,al::ScreenCaptureExecutor *,alSceneFunction::SceneFactory *)",false
"_ZN2al18createSceneAndInitEPNS_16IUseSceneCreatorEPKcS3_iS3_","al::createSceneAndInit(al::IUseSceneCreator *,char const*,char const*,int,char const*)",false
"_ZN2al27createSceneAndUseInitThreadEPNS_16IUseSceneCreatorEPKciS3_iS3_","al::createSceneAndUseInitThread(al::IUseSceneCreator *,char const*,int,char const*,int,char const*)",false
"_ZN2al15setSceneAndInitEPNS_16IUseSceneCreatorEPNS_5SceneEPKciS5_","al::setSceneAndInit(al::IUseSceneCreator *,al::Scene *,char const*,int,char const*)",false
"_ZN2al24setSceneAndUseInitThreadEPNS_16IUseSceneCreatorEPNS_5SceneEiPKciS5_PN4sead4HeapE","al::setSceneAndUseInitThread(al::IUseSceneCreator *,al::Scene *,int,char const*,int,char const*,sead::Heap *)",false
"_ZN2al21tryEndSceneInitThreadEPNS_16IUseSceneCreatorE","al::tryEndSceneInitThread(al::IUseSceneCreator *)",false
"_ZN2al22isExistSceneInitThreadEPKNS_16IUseSceneCreatorE","al::isExistSceneInitThread(al::IUseSceneCreator const*)",false
"_ZN2al17initAudioDirectorEPNS_8SequenceEPNS_15AudioSystemInfoERNS_21AudioDirectorInitInfoE","al::initAudioDirector(al::Sequence *,al::AudioSystemInfo *,al::AudioDirectorInitInfo &)",false
"_ZN2al39setSequenceAudioKeeperToSceneSeDirectorEPNS_8SequenceEPNS_5SceneE","al::setSequenceAudioKeeperToSceneSeDirector(al::Sequence *,al::Scene *)",false
"_ZN2al31setSequenceNameForActorPickToolEPNS_8SequenceEPNS_5SceneE","al::setSequenceNameForActorPickTool(al::Sequence *,al::Scene *)",false
