Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al20ActorOcclusionKeeper11isExistFileEPKNS_8ResourceEPKc","al::ActorOcclusionKeeper::isExistFile(al::Resource const*,char const*)",false
"_ZN2al9OccSphereC2Ev","al::OccSphere::OccSphere(void)",false
"_ZN3agl3utl9ParameterIN4sead15FixedSafeStringILi32EEEEC2ERKS4_RKNS2_14SafeStringBaseIcEESB_PNS0_13IParameterObjE","agl::utl::Parameter<sead::FixedSafeString<32>>::Parameter(sead::FixedSafeString<32> const&,sead::SafeStringBase<char> const&,sead::SafeStringBase<char> const&,agl::utl::IParameterObj *)",false
"_ZN2al9OccSphere18connectToHostJointEPKNS_9LiveActorE","al::OccSphere::connectToHostJoint(al::LiveActor const*)",false
"_ZNK2al9OccSphere14calcConnectPosEPN4sead7Vector3IfEE","al::OccSphere::calcConnectPos(sead::Vector3<float> *)const",false
"_ZNK2al9OccSphere18tryCalcLightPosDirEPN4sead7Vector3IfEERKS3_","al::OccSphere::tryCalcLightPosDir(sead::Vector3<float> *,sead::Vector3<float> const&)const",false
"_ZN2al30createAndConvertOcclusionDummyEPNS_9LiveActorE","al::createAndConvertOcclusionDummy(al::LiveActor *)",false
"_ZN2al20ActorOcclusionKeeperC2EPKNS_18GraphicsSystemInfoEPKNS_8ResourceEPKNS_9LiveActorEPKc","al::ActorOcclusionKeeper::ActorOcclusionKeeper(al::GraphicsSystemInfo const*,al::Resource const*,al::LiveActor const*,char const*)",false
"_ZN2al20ActorOcclusionKeeper6appearEb","al::ActorOcclusionKeeper::appear(bool)",false
"_ZN2al20ActorOcclusionKeeper11requestKillEv","al::ActorOcclusionKeeper::requestKill(void)",false
"_ZN2al20ActorOcclusionKeeper9hideModelEv","al::ActorOcclusionKeeper::hideModel(void)",false
"_ZNK2al20ActorOcclusionKeeper20calcDirectionalLightEPN4sead7Vector3IfEE","al::ActorOcclusionKeeper::calcDirectionalLight(sead::Vector3<float> *)const",false
"_ZNK2al20ActorOcclusionKeeper20calcSystemConeDegreeEv","al::ActorOcclusionKeeper::calcSystemConeDegree(void)const",false
"_ZN2al9OccSphere9setEnableEb","al::OccSphere::setEnable(bool)",false
"_ZN2al9OccSphere10postUpdateEv","al::OccSphere::postUpdate(void)",false
"_ZN2al20ActorOcclusionKeeper16updateAndRequestEv","al::ActorOcclusionKeeper::updateAndRequest(void)",false
"_ZN2al20ActorOcclusionKeeper12getOccSphereEPKc","al::ActorOcclusionKeeper::getOccSphere(char const*)",false
