Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12UniformBlockC2Ev","al::UniformBlock::UniformBlock(void)",false
"_ZN2al12UniformBlock4swapEv","al::UniformBlock::swap(void)",false
"_ZN2al18UniformBlockSetterC1EPNS_12UniformBlockEi","al::UniformBlockSetter::UniformBlockSetter(al::UniformBlock *,int)",false
"_ZN2al18UniformBlockSetterD2Ev","al::UniformBlockSetter::~UniformBlockSetter()",false
"_ZN2al12UniformBlockD0Ev","al::UniformBlock::~UniformBlock()",false
"_ZN2al18createUniformBlockEPKNS_18UniformBlockLayoutEiPN4sead4HeapEi","al::createUniformBlock(al::UniformBlockLayout const*,int,sead::Heap *,int)",false
"_ZN2al19declareUniformBlockEPN3agl12UniformBlockEPKNS_18UniformBlockLayoutEiPN4sead4HeapE","al::declareUniformBlock(agl::UniformBlock *,al::UniformBlockLayout const*,int,sead::Heap *)",false
"_ZN2al29createUniformBlockInstanceNumEPKNS_18UniformBlockLayoutEiiPN4sead4HeapEi","al::createUniformBlockInstanceNum(al::UniformBlockLayout const*,int,int,sead::Heap *,int)",false
"_ZN2al17allocUniformBlockEPKNS_18UniformBlockLayoutEiPNS_15GpuMemAllocatorEi","al::allocUniformBlock(al::UniformBlockLayout const*,int,al::GpuMemAllocator *,int)",false
"_ZN2al23setUniformBlockToShaderEPNS_12UniformBlockEPN3agl11DrawContextERKNS2_13ShaderProgramEPKci","al::setUniformBlockToShader(al::UniformBlock *,agl::DrawContext *,agl::ShaderProgram const&,char const*,int)",false
