Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12AtmosScatterC1EPNS_18GraphicsSystemInfoEi","al::AtmosScatter::AtmosScatter(al::GraphicsSystemInfo *,int)",false
"_ZN2al12AtmosScatterD2Ev","al::AtmosScatter::~AtmosScatter()",false
"_ZN2al12AtmosScatterD0Ev","al::AtmosScatter::~AtmosScatter()",false
"_ZNK2al12AtmosScatter7getRgKmEv","al::AtmosScatter::getRgKm(void)const",false
"_ZNK2al12AtmosScatter7getRtKmEv","al::AtmosScatter::getRtKm(void)const",false
"_ZNK2al12AtmosScatter15getSunIntensityEv","al::AtmosScatter::getSunIntensity(void)const",false
"_ZNK2al12AtmosScatter23getSamplerTransmittanceEv","al::AtmosScatter::getSamplerTransmittance(void)const",false
"_ZNK2al12AtmosScatter18getSamplerCloudTexEv","al::AtmosScatter::getSamplerCloudTex(void)const",false
"_ZN2al12AtmosScatter17initStageResourceEPKNS_8ResourceEPKcS5_","al::AtmosScatter::initStageResource(al::Resource const*,char const*,char const*)",false
"_ZN2al12AtmosScatter19initProjectResourceEv","al::AtmosScatter::initProjectResource(void)",false
"_ZN2al12AtmosScatter12clearRequestEv","al::AtmosScatter::clearRequest(void)",false
"_ZN2al12AtmosScatter16requestSunDegreeEff","al::AtmosScatter::requestSunDegree(float,float)",false
"_ZN2al12AtmosScatter19requestSunDirectionERKN4sead7Vector3IfEEf","al::AtmosScatter::requestSunDirection(sead::Vector3<float> const&,float)",false
"_ZN2al12AtmosScatter19requestSunDirDirectERKN4sead7Vector3IfEE","al::AtmosScatter::requestSunDirDirect(sead::Vector3<float> const&)",false
"_ZN2al12AtmosScatter20requestMoonDirectionERKN4sead7Vector3IfEEf","al::AtmosScatter::requestMoonDirection(sead::Vector3<float> const&,float)",false
"_ZN2al12AtmosScatter20requestMoonDirDirectERKN4sead7Vector3IfEE","al::AtmosScatter::requestMoonDirDirect(sead::Vector3<float> const&)",false
"_ZN2al12AtmosScatter18updateAtmosScatterEv","al::AtmosScatter::updateAtmosScatter(void)",false
"_ZN2al12AtmosScatter18updateSunDirDegreeEv","al::AtmosScatter::updateSunDirDegree(void)",false
"_ZN2al12AtmosScatter15preDrawGraphicsEv","al::AtmosScatter::preDrawGraphics(void)",false
"_ZNK2al12AtmosScatter8calcInfoEPN4sead7Vector3IfEES4_S4_S4_","al::AtmosScatter::calcInfo(sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> *,sead::Vector3<float> *)const",false
"_ZNK2al12AtmosScatter14drawPrecomputeEPN3agl11DrawContextE","al::AtmosScatter::drawPrecompute(agl::DrawContext *)const",false
"_ZNK2al12AtmosScatter14drawFarForwardEPN3agl11DrawContextEiPNS_14SimpleModelEnvE","al::AtmosScatter::drawFarForward(agl::DrawContext *,int,al::SimpleModelEnv *)const",false
"_ZNK2al12AtmosScatter7drawFarEPN3agl11DrawContextEiPNS_14SimpleModelEnvENS_10RenderTypeE","al::AtmosScatter::drawFar(agl::DrawContext *,int,al::SimpleModelEnv *,al::RenderType)const",false
"_ZNK2al12AtmosScatter16drawFarToCubeMapEPN3agl11DrawContextEiPNS_14SimpleModelEnvE","al::AtmosScatter::drawFarToCubeMap(agl::DrawContext *,int,al::SimpleModelEnv *)const",false
"_ZNK2al12AtmosScatter15drawFarDeferredEPN3agl11DrawContextEiPNS_12GBufferArrayEPNS_14SimpleModelEnvE","al::AtmosScatter::drawFarDeferred(agl::DrawContext *,int,al::GBufferArray *,al::SimpleModelEnv *)const",false
"_ZN20AtmosScatterFunction15searchVariationEPKN3agl13ShaderProgramEibb","AtmosScatterFunction::searchVariation(agl::ShaderProgram const*,int,bool,bool)",false
"_ZNK2al12AtmosScatter17drawDirLightColorEPN3agl11DrawContextERKN4sead7Color4fEPKNS1_11TextureDataE","al::AtmosScatter::drawDirLightColor(agl::DrawContext *,sead::Color4f const&,agl::TextureData const*)const",false
"_ZN20AtmosScatterFunction15getAtmosScatterEPKN2al9LiveActorE","AtmosScatterFunction::getAtmosScatter(al::LiveActor const*)",false
"_ZNK2al12AtmosScatter12onApplyParamEv","al::AtmosScatter::onApplyParam(void)const",false
