Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13CloudRendererC1EPNS_18GraphicsSystemInfoEPN4sead6RandomE","al::CloudRenderer::CloudRenderer(al::GraphicsSystemInfo *,sead::Random *)",false
"_ZN2al13CloudRendererD2Ev","al::CloudRenderer::~CloudRenderer()",false
"_ZN2al13CloudRendererD0Ev","al::CloudRenderer::~CloudRenderer()",false
"_ZN2al13CloudRenderer7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::CloudRenderer::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al13CloudRenderer4drawEPN3agl11DrawContextEiPKNS_9HdrEncodeEPKNS_14SimpleModelEnvEi","al::CloudRenderer::draw(agl::DrawContext *,int,al::HdrEncode const*,al::SimpleModelEnv const*,int)const",false
"_ZNK2al13CloudRenderer11drawEtmDistEPN3agl11DrawContextE","al::CloudRenderer::drawEtmDist(agl::DrawContext *)const",false
"_ZNK2al13CloudRenderer7drawEtmEPN3agl11DrawContextE","al::CloudRenderer::drawEtm(agl::DrawContext *)const",false
"_ZN2al17CloudRenderKeeperC2EPNS_18GraphicsSystemInfoE","al::CloudRenderKeeper::CloudRenderKeeper(al::GraphicsSystemInfo *)",false
"_ZN2al17CloudRenderKeeper7endInitEv","al::CloudRenderKeeper::endInit(void)",false
"_ZNK2al17CloudRenderKeeper21activateVtxAttrSphereEPN3agl11DrawContextE","al::CloudRenderKeeper::activateVtxAttrSphere(agl::DrawContext *)const",false
"_ZNK2al17CloudRenderKeeper23getCloudVolume3DSamplerEv","al::CloudRenderKeeper::getCloudVolume3DSampler(void)const",false
"_ZN2al17CloudRenderKeeperD2Ev","al::CloudRenderKeeper::~CloudRenderKeeper()",false
"_ZN2al17CloudRenderKeeper8finalizeEv","al::CloudRenderKeeper::finalize(void)",false
"_ZN2al17CloudRenderKeeper6updateERKNS_18GraphicsUpdateInfoE","al::CloudRenderKeeper::update(al::GraphicsUpdateInfo const&)",false
"_ZN2al17CloudRenderKeeper7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::CloudRenderKeeper::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZN2al17CloudRenderKeeper11registCloudEPNS_13CloudRendererE","al::CloudRenderKeeper::registCloud(al::CloudRenderer *)",false
"_ZN2al17CloudRenderKeeper19registCloudRayMarchEPNS_21CloudRendererRayMarchE","al::CloudRenderKeeper::registCloudRayMarch(al::CloudRendererRayMarch *)",false
"_ZNK2al17CloudRenderKeeper11drawForwardERKNS_18GraphicsRenderInfoERKNS_15RenderVariablesE","al::CloudRenderKeeper::drawForward(al::GraphicsRenderInfo const&,al::RenderVariables const&)const",false
"_ZNK2al17CloudRenderKeeper10drawSystemEPKNS_18GraphicsRenderInfoE","al::CloudRenderKeeper::drawSystem(al::GraphicsRenderInfo const*)const",false
"_ZNK2al17CloudRenderKeeper7getNameEv","al::CloudRenderKeeper::getName(void)const",false
"_ZN2al21CloudRendererRayMarchC1EPKcPNS_18GraphicsSystemInfoE","al::CloudRendererRayMarch::CloudRendererRayMarch(char const*,al::GraphicsSystemInfo *)",false
"_ZN2al21CloudRendererRayMarch9storePoseERKN4sead7Vector3IfEERKNS1_4QuatIfEES5_","al::CloudRendererRayMarch::storePose(sead::Vector3<float> const&,sead::Quat<float> const&,sead::Vector3<float> const&)",false
"_ZN2al21CloudRendererRayMarchD2Ev","al::CloudRendererRayMarch::~CloudRendererRayMarch()",false
"_ZN2al21CloudRendererRayMarchD0Ev","al::CloudRendererRayMarch::~CloudRendererRayMarch()",false
"_ZN2al21CloudRendererRayMarch8finalizeEv","al::CloudRendererRayMarch::finalize(void)",false
"_ZN2al21CloudRendererRayMarch7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::CloudRendererRayMarch::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZN2al21CloudRendererRayMarch13calcSceneViewEiRKNS_8ViewInfoE","al::CloudRendererRayMarch::calcSceneView(int,al::ViewInfo const&)",false
"_ZN2al21CloudRendererRayMarch13storeSceneUboEPNS_12UniformBlockERKN4sead8Matrix34IfEES7_RKNS3_8Matrix44IfEESB_","al::CloudRendererRayMarch::storeSceneUbo(al::UniformBlock *,sead::Matrix34<float> const&,sead::Matrix34<float> const&,sead::Matrix44<float> const&,sead::Matrix44<float> const&)",false
"_ZNK2al21CloudRendererRayMarch10drawSphereEPN3agl11DrawContextEiPKNS_14SimpleModelEnvE","al::CloudRendererRayMarch::drawSphere(agl::DrawContext *,int,al::SimpleModelEnv const*)const",false
"_ZNK2al21CloudRendererRayMarch13drawSphereEtmEPN3agl11DrawContextE","al::CloudRendererRayMarch::drawSphereEtm(agl::DrawContext *)const",false
