Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al17DeferredRenderingC2EPNS_18GraphicsSystemInfoEi","al::DeferredRendering::DeferredRendering(al::GraphicsSystemInfo *,int)",false
"_ZN2al17DeferredRenderingD2Ev","al::DeferredRendering::~DeferredRendering()",false
"_ZN2al17DeferredRendering20prepareRenderGBufferEPN3agl11DrawContextEPNS_12GBufferArrayEiRKN4sead8Matrix34IfEERKNS6_8Matrix44IfEEffffRKNS6_7Vector2IfEE","al::DeferredRendering::prepareRenderGBuffer(agl::DrawContext *,al::GBufferArray *,int,sead::Matrix34<float> const&,sead::Matrix44<float> const&,float,float,float,float,sead::Vector2<float> const&)",false
"_ZN2al17DeferredRendering16endRenderGBufferEPN3agl11DrawContextE","al::DeferredRendering::endRenderGBuffer(agl::DrawContext *)",false
"_ZN2al17DeferredRendering16drawLightPrePassEPN3agl11DrawContextEPNS_12GBufferArrayEiRKNS1_17RenderTargetDepthE","al::DeferredRendering::drawLightPrePass(agl::DrawContext *,al::GBufferArray *,int,agl::RenderTargetDepth const&)",false
"_ZN2al17DeferredRendering29drawLightPrePassReducedBufferEPN3agl11DrawContextEPNS_12GBufferArrayEiRKNS1_17RenderTargetDepthEPKNS1_11TextureDataE","al::DeferredRendering::drawLightPrePassReducedBuffer(agl::DrawContext *,al::GBufferArray *,int,agl::RenderTargetDepth const&,agl::TextureData const*)",false
"_ZN2al17DeferredRendering8drawSSAOEPN3agl11DrawContextEiPKNS1_11TextureDataERKN4sead8Matrix34IfEERKNS7_8Matrix44IfEE","al::DeferredRendering::drawSSAO(agl::DrawContext *,int,agl::TextureData const*,sead::Matrix34<float> const&,sead::Matrix44<float> const&)",false
"_ZN2al17DeferredRendering19drawDeferredShadingEPN3agl11DrawContextERKNS1_12RenderBufferERKN4sead8ViewportEPNS_14ShadowDirectorERKNS7_8Matrix34IfEERKNS7_8Matrix44IfEEPNS_12GBufferArrayEiNS_11SkyFillTypeEPKNS_14SimpleModelEnvEPKNS1_11TextureDataE","al::DeferredRendering::drawDeferredShading(agl::DrawContext *,agl::RenderBuffer const&,sead::Viewport const&,al::ShadowDirector *,sead::Matrix34<float> const&,sead::Matrix44<float> const&,al::GBufferArray *,int,al::SkyFillType,al::SimpleModelEnv const*,agl::TextureData const*)",false
"_ZN2al17DeferredRendering22prepareDeferredShadingEPN3agl11DrawContextERKN4sead8Matrix34IfEERKNS4_8Matrix44IfEEPNS_12GBufferArrayEiPNS_14ShadowDirectorEPKNS_14SimpleModelEnvEPKNS1_11TextureDataE","al::DeferredRendering::prepareDeferredShading(agl::DrawContext *,sead::Matrix34<float> const&,sead::Matrix44<float> const&,al::GBufferArray *,int,al::ShadowDirector *,al::SimpleModelEnv const*,agl::TextureData const*)",false
"_ZN2al17DeferredRendering15preDrawGraphicsEv","al::DeferredRendering::preDrawGraphics(void)",false
"_ZNK2al18EtmTextureRenderer15createEtmMtxUboEv","al::EtmTextureRenderer::createEtmMtxUbo(void)const",false
"_ZN2al18EtmTextureRendererC2EPNS_18GraphicsSystemInfoE","al::EtmTextureRenderer::EtmTextureRenderer(al::GraphicsSystemInfo *)",false
"_ZN2al18EtmTextureRendererD2Ev","al::EtmTextureRenderer::~EtmTextureRenderer()",false
"_ZN2al18EtmTextureRenderer8finalizeEv","al::EtmTextureRenderer::finalize(void)",false
"_ZN2al18EtmTextureRenderer16prepareModelDrawEv","al::EtmTextureRenderer::prepareModelDraw(void)",false
"_ZNK2al18EtmTextureRenderer10setUniformEPN3agl11DrawContextEPKNS1_13ShaderProgramE","al::EtmTextureRenderer::setUniform(agl::DrawContext *,agl::ShaderProgram const*)const",false
"_ZNK2al18EtmTextureRenderer13trySetSamplerEPN3agl11DrawContextEPKNS1_13ShaderProgramE","al::EtmTextureRenderer::trySetSampler(agl::DrawContext *,agl::ShaderProgram const*)const",false
"_ZN2al18EtmTextureRenderer7calcGpuERKN4sead7Vector3IfEE","al::EtmTextureRenderer::calcGpu(sead::Vector3<float> const&)",false
"_ZNK2al18EtmTextureRenderer12setEtmMtxUboEPNS_12UniformBlockERKN4sead8Matrix34IfEES7_","al::EtmTextureRenderer::setEtmMtxUbo(al::UniformBlock *,sead::Matrix34<float> const&,sead::Matrix34<float> const&)const",false
"_ZNK2al18EtmTextureRenderer12getShadowMtxEv","al::EtmTextureRenderer::getShadowMtx(void)const",false
"_ZNK2al18EtmTextureRenderer17getFetchShadowMtxEv","al::EtmTextureRenderer::getFetchShadowMtx(void)const",false
"_ZN2al18EtmTextureRenderer9undefAABBEv","al::EtmTextureRenderer::undefAABB(void)",false
"_ZN2al18EtmTextureRenderer14extendWithAABBERKN4sead9BoundBox3IfEE","al::EtmTextureRenderer::extendWithAABB(sead::BoundBox3<float> const&)",false
"_ZN2al18EtmTextureRenderer15extendWithPointERKN4sead7Vector3IfEE","al::EtmTextureRenderer::extendWithPoint(sead::Vector3<float> const&)",false
"_ZNK2al18EtmTextureRenderer16getShadowViewMtxEv","al::EtmTextureRenderer::getShadowViewMtx(void)const",false
"_ZNK2al18EtmTextureRenderer16getShadowProjMtxEv","al::EtmTextureRenderer::getShadowProjMtx(void)const",false
"_ZN2al8FarClearC2Ev","al::FarClear::FarClear(void)",false
"_ZN2al8FarClearD2Ev","al::FarClear::~FarClear()",false
"_ZNK2al8FarClear12drawFarClearEPN3agl11DrawContextEbRKN4sead7Color4fE","al::FarClear::drawFarClear(agl::DrawContext *,bool,sead::Color4f const&)const",false
"_ZNK2al8FarClear19drawFarClearGBufferEPN3agl11DrawContextEPNS_12GBufferArrayE","al::FarClear::drawFarClearGBuffer(agl::DrawContext *,al::GBufferArray *)const",false
"_ZN2al19FullScreenQuadModelC2Ev","al::FullScreenQuadModel::FullScreenQuadModel(void)",false
"_ZN2al19FullScreenQuadModelD2Ev","al::FullScreenQuadModel::~FullScreenQuadModel()",false
"_ZN3agl11GPUMemBlockIfED2Ev","agl::GPUMemBlock<float>::~GPUMemBlock()",false
"_ZNK2al19FullScreenQuadModel8drawQuadEPN3agl11DrawContextE","al::FullScreenQuadModel::drawQuad(agl::DrawContext *)const",false
"_ZN3agl11GPUMemBlockIfED0Ev","agl::GPUMemBlock<float>::~GPUMemBlock()",false
"_ZN3agl12GPUMemBlockTIfED2Ev","agl::GPUMemBlockT<float>::~GPUMemBlockT()",false
