Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18PeripheryRenderingC2EPNS_18GraphicsSystemInfoE","al::PeripheryRendering::PeripheryRendering(al::GraphicsSystemInfo *)",false
"_ZN2al18PeripheryRenderingD2Ev","al::PeripheryRendering::~PeripheryRendering()",false
"_ZNK2al18PeripheryRendering25drawReducedPeripheryZOnlyEPN3agl11DrawContextEPKNS_15RenderVariablesE","al::PeripheryRendering::drawReducedPeripheryZOnly(agl::DrawContext *,al::RenderVariables const*)const",false
"_ZNK2al18PeripheryRendering24drawReconstructPeripheryEPN3agl11DrawContextEPKNS_15RenderVariablesE","al::PeripheryRendering::drawReconstructPeriphery(agl::DrawContext *,al::RenderVariables const*)const",false
"_ZN16ShaderSearchImpl10isEqualStrEPKcS1_","ShaderSearchImpl::isEqualStr(char const*,char const*)",false
"_ZN2al26activateUniformBlockAssignEPN3agl11DrawContextERKNS_18UniformBlockAssignEi","al::activateUniformBlockAssign(agl::DrawContext *,al::UniformBlockAssign const&,int)",false
"_ZN2al31activateUniformBlockAssignArrayEPN3agl11DrawContextERKNS_23UniformBlockAssignArrayEi","al::activateUniformBlockAssignArray(agl::DrawContext *,al::UniformBlockAssignArray const&,int)",false
"_ZN2al43createModelAdditionalInfoUniformBlockAssignEPNS_9ModelCtrlEPKNS_18UniformBlockLayoutEiiPNS_15GpuMemAllocatorE","al::createModelAdditionalInfoUniformBlockAssign(al::ModelCtrl *,al::UniformBlockLayout const*,int,int,al::GpuMemAllocator *)",false
"_ZN2al33getUniformBlockLocationMdlAddInfoEv","al::getUniformBlockLocationMdlAddInfo(void)",false
"_ZN2al22findUniformBlockAssignEPKNS_23UniformBlockAssignArrayEPKc","al::findUniformBlockAssign(al::UniformBlockAssignArray const*,char const*)",false
"_ZN2al27swapUniformBlockAssignArrayEPKNS_23UniformBlockAssignArrayE","al::swapUniformBlockAssignArray(al::UniformBlockAssignArray const*)",false
"_ZN2al14activateShaderEPN3agl11DrawContextEPKN2nn3g3d16ResShaderProgramE","al::activateShader(agl::DrawContext *,nn::g3d::ResShaderProgram const*)",false
"_ZN2al19tryBindShaderAssignEPNS_17ModelShaderAssignEPKN2nn3g3d11MaterialObjEPKNS3_8ShapeObjEPNS_11ModelShaderEPKc","al::tryBindShaderAssign(al::ModelShaderAssign *,nn::g3d::MaterialObj const*,nn::g3d::ShapeObj const*,al::ModelShader *,char const*)",false
"_ZN2al19initShaderKeyStaticEPN2nn3g3d15ShadingModelObjEPKNS1_15ResShaderAssignEPKNS1_8ModelObjEPKNS1_8ShapeObjEPNS_22ModelShaderOptionCacheE","al::initShaderKeyStatic(nn::g3d::ShadingModelObj *,nn::g3d::ResShaderAssign const*,nn::g3d::ModelObj const*,nn::g3d::ShapeObj const*,al::ModelShaderOptionCache *)",false
"_ZNK2nn3g3d15ShadingModelObj21FindStaticOptionIndexEPKc","nn::g3d::ShadingModelObj::FindStaticOptionIndex(char const*)const",false
"_ZNK2nn3g3d15ResShaderOption15FindChoiceIndexEPKc","nn::g3d::ResShaderOption::FindChoiceIndex(char const*)const",false
"_ZN2al20initShaderKeyDynamicEPN2nn3g3d14ShaderSelectorEPKNS1_15ResShaderAssignEPKNS1_8ModelObjEPKNS1_8ShapeObjE","al::initShaderKeyDynamic(nn::g3d::ShaderSelector *,nn::g3d::ResShaderAssign const*,nn::g3d::ModelObj const*,nn::g3d::ShapeObj const*)",false
"_ZN2al15searchVariationEPKN2nn3g3d15ResShadingModelEiPKPKcS8_","al::searchVariation(nn::g3d::ResShadingModel const*,int,char const* const*,char const* const*)",false
"_ZN2al18trySearchVariationEPKN2nn3g3d15ResShadingModelEiPKPKcS8_","al::trySearchVariation(nn::g3d::ResShadingModel const*,int,char const* const*,char const* const*)",false
"_ZN2al25searchVariationMacroValueEPKN2nn3g3d15ShadingModelObjEPKc","al::searchVariationMacroValue(nn::g3d::ShadingModelObj const*,char const*)",false
"_ZN2al25searchVariationMacroValueEPKN2nn3g3d14ShaderSelectorEPKc","al::searchVariationMacroValue(nn::g3d::ShaderSelector const*,char const*)",false
"_ZN2al20getShaderProgramNameEPKN2nn3g3d15ShadingModelObjE","al::getShaderProgramName(nn::g3d::ShadingModelObj const*)",false
