Mangled Symbol, Demangled Symbol, Is Matched
"_ZN3agl20UniformBlockLocationD2Ev","agl::UniformBlockLocation::~UniformBlockLocation()",false
"_ZN3agl15SamplerLocationD2Ev","agl::SamplerLocation::~SamplerLocation()",false
"_ZN2al33getUniformBlockLocationMdlEnvViewEv","al::getUniformBlockLocationMdlEnvView(void)",false
"_ZN2al29getUniformBlockLocationMdlMtxEv","al::getUniformBlockLocationMdlMtx(void)",false
"_ZN2al26getUniformBlockLocationShpEv","al::getUniformBlockLocationShp(void)",false
"_ZN2al32getUniformBlockLocationRenderSkyEv","al::getUniformBlockLocationRenderSky(void)",false
"_ZN2al32getUniformBlockLocationEchoBlockEv","al::getUniformBlockLocationEchoBlock(void)",false
"_ZN2al35getUniformBlockLocationHdrTranslateEv","al::getUniformBlockLocationHdrTranslate(void)",false
"_ZN2al31getUniformBlockLocationLightEnvEv","al::getUniformBlockLocationLightEnv(void)",false
"_ZN2al32getUniformBlockLocationShadowMapEv","al::getUniformBlockLocationShadowMap(void)",false
"_ZN2al33getUniformBlockLocationOtherFirstEv","al::getUniformBlockLocationOtherFirst(void)",false
"_ZN2al34getUniformBlockLocationOtherSecondEv","al::getUniformBlockLocationOtherSecond(void)",false
"_ZN2al33getUniformBlockLocationOtherThirdEv","al::getUniformBlockLocationOtherThird(void)",false
"_ZN2al26getSamplerLocationUniform0Ev","al::getSamplerLocationUniform0(void)",false
"_ZN2al26getSamplerLocationUniform1Ev","al::getSamplerLocationUniform1(void)",false
"_ZN2al26getSamplerLocationUniform2Ev","al::getSamplerLocationUniform2(void)",false
"_ZN2al26getSamplerLocationUniform3Ev","al::getSamplerLocationUniform3(void)",false
"_ZN2al29getSamplerLocationLinearDepthEv","al::getSamplerLocationLinearDepth(void)",false
"_ZN2al34getSamplerLocationGBufferBaseColorEv","al::getSamplerLocationGBufferBaseColor(void)",false
"_ZN2al31getSamplerLocationGBufferNormalEv","al::getSamplerLocationGBufferNormal(void)",false
"_ZN2al34getSamplerLocationCubeMapRoughnessEv","al::getSamplerLocationCubeMapRoughness(void)",false
"_ZN2al27getSamplerLocationMirrorTexEv","al::getSamplerLocationMirrorTex(void)",false
"_ZN2al29getSamplerLocationIndirectTexEv","al::getSamplerLocationIndirectTex(void)",false
"_ZN2al27getSamplerLocationDirLitTexEv","al::getSamplerLocationDirLitTex(void)",false
"_ZN2al31getSamplerLocationMaterialLightEv","al::getSamplerLocationMaterialLight(void)",false
"_ZN2al30getSamplerLocationShadowBufferEv","al::getSamplerLocationShadowBuffer(void)",false
"_ZN2al37getSamplerLocationMaterialLightSphereEv","al::getSamplerLocationMaterialLightSphere(void)",false
"_ZN2al27getSamplerLocationShadowMapEv","al::getSamplerLocationShadowMap(void)",false
"_ZN2al41getSamplerLocationCubeMapRoughnessRefractEv","al::getSamplerLocationCubeMapRoughnessRefract(void)",false
"_ZN2al30getSamplerLocationProgTexture0Ev","al::getSamplerLocationProgTexture0(void)",false
"_ZN2al26getSamplerLocationExposureEv","al::getSamplerLocationExposure(void)",false
"_ZN2al40getSamplerLocationProgTextureCubemapGem0Ev","al::getSamplerLocationProgTextureCubemapGem0(void)",false
"_ZN2al41getSamplerLocationProgTextureProcedural2DEv","al::getSamplerLocationProgTextureProcedural2D(void)",false
"_ZN2al41getSamplerLocationProgTextureProcedural3DEv","al::getSamplerLocationProgTextureProcedural3D(void)",false
"_ZN2al33getSamplerLocationFootPrintNormalEv","al::getSamplerLocationFootPrintNormal(void)",false
"_ZN2al36getSamplerLocationFootPrintBaseColorEv","al::getSamplerLocationFootPrintBaseColor(void)",false
"_ZN2al27getSamplerLocationHackStartEv","al::getSamplerLocationHackStart(void)",false
"_ZN2al19tryChangeShaderModeEPN3agl11DrawContextENS0_10ShaderModeE","al::tryChangeShaderMode(agl::DrawContext *,agl::ShaderMode)",false
"_ZN2al21forceChangeShaderModeEPN3agl11DrawContextENS0_10ShaderModeE","al::forceChangeShaderMode(agl::DrawContext *,agl::ShaderMode)",false
"sub_7100A00A50","",false
"_ZN2al24createMakeHalfTextureUboEv","al::createMakeHalfTextureUbo(void)",false
"_ZN2al15calcTanFovyHalfEPN4sead7Vector2IfEES3_ffRKS2_","al::calcTanFovyHalf(sead::Vector2<float> *,sead::Vector2<float> *,float,float,sead::Vector2<float> const&)",false
