Mangled Symbol, Demangled Symbol, Is Matched
"_ZNK2al15CubeMapUnitInfo7isEmptyEv","al::CubeMapUnitInfo::isEmpty(void)const",false
"_ZNK2al19ShaderCubeMapKeeper30findCubeMapUnitInfoIndexByNameEPKc","al::ShaderCubeMapKeeper::findCubeMapUnitInfoIndexByName(char const*)const",false
"_ZNK2al19ShaderCubeMapKeeper19findCubeMapUnitInfoEi","al::ShaderCubeMapKeeper::findCubeMapUnitInfo(int)const",false
"_ZNK2al13UnitInfoArray11getUnitInfoEPKc","al::UnitInfoArray::getUnitInfo(char const*)const",false
"_ZN2al19ShaderCubeMapKeeper33registerPresetCubeMapRelationInfoEPNS_14GraphicsPresetEPKcS4_","al::ShaderCubeMapKeeper::registerPresetCubeMapRelationInfo(al::GraphicsPreset *,char const*,char const*)",false
"_ZN2al19ShaderCubeMapKeeper25PresetCubeMapRelationInfoC2EPKNS_14GraphicsPresetEPKcS6_","al::ShaderCubeMapKeeper::PresetCubeMapRelationInfo::PresetCubeMapRelationInfo(al::GraphicsPreset const*,char const*,char const*)",false
"_ZNK2al19ShaderCubeMapKeeper13getIrradianceEv","al::ShaderCubeMapKeeper::getIrradiance(void)const",false
"_ZNK2al19ShaderCubeMapKeeper19getRoughnessCubeMapEi","al::ShaderCubeMapKeeper::getRoughnessCubeMap(int)const",false
"_ZN2al11CubeMapInfoC2EPKN3agl11TextureDataE","al::CubeMapInfo::CubeMapInfo(agl::TextureData const*)",false
"_ZN2al15CubeMapUnitInfoC1EPNS_19ShaderCubeMapKeeperEPN3agl3utl13ParameterListEPKc","al::CubeMapUnitInfo::CubeMapUnitInfo(al::ShaderCubeMapKeeper *,agl::utl::ParameterList *,char const*)",false
"_ZN3agl3utl9ParameterIN4sead15FixedSafeStringILi64EEEEC2ERKS4_RKNS2_14SafeStringBaseIcEESB_PNS0_13IParameterObjE","agl::utl::Parameter<sead::FixedSafeString<64>>::Parameter(sead::FixedSafeString<64> const&,sead::SafeStringBase<char> const&,sead::SafeStringBase<char> const&,agl::utl::IParameterObj *)",false
"_ZN2al15CubeMapUnitInfoD2Ev","al::CubeMapUnitInfo::~CubeMapUnitInfo()",false
"_ZN2al15CubeMapUnitInfoD0Ev","al::CubeMapUnitInfo::~CubeMapUnitInfo()",false
"_ZN3agl3utl13ParameterListD0Ev","agl::utl::ParameterList::~ParameterList()",false
