Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al8EnvTexIdC2Ev","al::EnvTexId::EnvTexId(void)",false
"_ZN2al8EnvTexId13invalidateAllEv","al::EnvTexId::invalidateAll(void)",false
"_ZN2al8EnvTexId12initForCacheEv","al::EnvTexId::initForCache(void)",false
"_ZN2al8EnvTexId13isEnableTexIdEi","al::EnvTexId::isEnableTexId(int)",false
"_ZN2al8EnvTexId6changeERKS0_","al::EnvTexId::change(al::EnvTexId const&)",false
"_ZN2al8EnvTexId31checkAndSetReflectCubeMapChangeERKNS_10EnvTexInfoE","al::EnvTexId::checkAndSetReflectCubeMapChange(al::EnvTexInfo const&)",false
"_ZNK2al10EnvTexInfo12getCubeMapIdEv","al::EnvTexInfo::getCubeMapId(void)const",false
"_ZN2al8EnvTexId26checkAndSetMirrorTexChangeERKNS_10EnvTexInfoE","al::EnvTexId::checkAndSetMirrorTexChange(al::EnvTexInfo const&)",false
"_ZNK2al10EnvTexInfo14getMirrorTexIdEv","al::EnvTexInfo::getMirrorTexId(void)const",false
"_ZN2al8EnvTexId25checkAndSetLightMapChangeERKNS_10EnvTexInfoE","al::EnvTexId::checkAndSetLightMapChange(al::EnvTexInfo const&)",false
"_ZNK2al10EnvTexInfo13getLightMapIdEv","al::EnvTexInfo::getLightMapId(void)const",false
"_ZN2al8EnvTexId31checkAndSetSphereLightMapChangeERKNS_10EnvTexInfoE","al::EnvTexId::checkAndSetSphereLightMapChange(al::EnvTexInfo const&)",false
"_ZNK2al10EnvTexInfo19getSphereLightMapIdEv","al::EnvTexInfo::getSphereLightMapId(void)const",false
"_ZN2al8EnvTexId26checkAndSetProcTex2DChangeERKNS_10EnvTexInfoE","al::EnvTexId::checkAndSetProcTex2DChange(al::EnvTexInfo const&)",false
"_ZNK2al10EnvTexInfo14getProcTex2DIdEv","al::EnvTexInfo::getProcTex2DId(void)const",false
"_ZN2al8EnvTexId26checkAndSetProcTex3DChangeERKNS_10EnvTexInfoE","al::EnvTexId::checkAndSetProcTex3DChange(al::EnvTexInfo const&)",false
"_ZNK2al10EnvTexInfo14getProcTex3DIdEv","al::EnvTexInfo::getProcTex3DId(void)const",false
"_ZN2al8EnvTexId26checkAndSetRippleTexChangeERKNS_10EnvTexInfoE","al::EnvTexId::checkAndSetRippleTexChange(al::EnvTexInfo const&)",false
"_ZNK2al10EnvTexInfo14getRippleTexIdEv","al::EnvTexInfo::getRippleTexId(void)const",false
"_ZN2al10EnvTexInfoC2Ev","al::EnvTexInfo::EnvTexInfo(void)",false
"_ZN2al10EnvTexInfoC1ERKN2nn3g3d11ResMaterialE","al::EnvTexInfo::EnvTexInfo(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction21calcMaterialLightTypeERKN2nn3g3d11ResMaterialE","alEnvTexFunction::calcMaterialLightType(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction27calcSphereMaterialLightTypeERKN2nn3g3d11ResMaterialE","alEnvTexFunction::calcSphereMaterialLightType(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction21calcProcTexture2DTypeERKN2nn3g3d11ResMaterialE","alEnvTexFunction::calcProcTexture2DType(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction21calcProcTexture3DTypeERKN2nn3g3d11ResMaterialE","alEnvTexFunction::calcProcTexture3DType(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction18isUseMaterialLightERKN2nn3g3d11ResMaterialE","alEnvTexFunction::isUseMaterialLight(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction24isUseSphereMaterialLightERKN2nn3g3d11ResMaterialE","alEnvTexFunction::isUseSphereMaterialLight(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction15isUseCubeMapTexERKN2nn3g3d11ResMaterialE","alEnvTexFunction::isUseCubeMapTex(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction16isUseExposureTexERKN2nn3g3d11ResMaterialE","alEnvTexFunction::isUseExposureTex(nn::g3d::ResMaterial const&)",false
"_ZN16alEnvTexFunction14isUseMirrorTexERKN2nn3g3d11ResMaterialE","alEnvTexFunction::isUseMirrorTex(nn::g3d::ResMaterial const&)",false
"_ZN2al10EnvTexInfoC2ERKNS_8EnvTexIdE","al::EnvTexInfo::EnvTexInfo(al::EnvTexId const&)",false
"_ZN2al10EnvTexInfo8clearAllEv","al::EnvTexInfo::clearAll(void)",false
"_ZN2al22ShaderEnvTextureKeeperC2EPNS_18GraphicsSystemInfoE","al::ShaderEnvTextureKeeper::ShaderEnvTextureKeeper(al::GraphicsSystemInfo *)",false
"_ZN2al22ShaderEnvTextureKeeperD2Ev","al::ShaderEnvTextureKeeper::~ShaderEnvTextureKeeper()",false
"_ZNK2al22ShaderEnvTextureKeeper18activateEnvTextureEPN3agl11DrawContextERKNS_10EnvTexInfoEPNS_19ModelAdditionalInfoEbb","al::ShaderEnvTextureKeeper::activateEnvTexture(agl::DrawContext *,al::EnvTexInfo const&,al::ModelAdditionalInfo *,bool,bool)const",false
"_ZN2al22ShaderEnvTextureKeeper15preDrawGraphicsEv","al::ShaderEnvTextureKeeper::preDrawGraphics(void)",false
"_ZN2al22ShaderEnvTextureKeeper26tryActivateIndirectTextureEPN3agl11DrawContextERKNS1_15SamplerLocationE","al::ShaderEnvTextureKeeper::tryActivateIndirectTexture(agl::DrawContext *,agl::SamplerLocation const&)",false
