Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al12ShaderHolder18SingletonDisposer_D2Ev","al::ShaderHolder::SingletonDisposer_::~SingletonDisposer_()",false
"_ZN2al12ShaderHolder18SingletonDisposer_D0Ev","al::ShaderHolder::SingletonDisposer_::~SingletonDisposer_()",false
"_ZN2al12ShaderHolder14createInstanceEPN4sead4HeapE","al::ShaderHolder::createInstance(sead::Heap *)",false
"_ZN2al12ShaderHolder14deleteInstanceEv","al::ShaderHolder::deleteInstance(void)",false
"_ZN2al12ShaderHolderC2Ev","al::ShaderHolder::ShaderHolder(void)",false
"_ZN2al12ShaderHolder19ShaderArchiveSuffixC2EPKcS3_","al::ShaderHolder::ShaderArchiveSuffix::ShaderArchiveSuffix(char const*,char const*)",false
"_ZN2al12ShaderHolder4initEv","al::ShaderHolder::init(void)",false
"_ZN2al12ShaderHolder21initAndLoadAllFromDirEPKcPN4sead4HeapES5_","al::ShaderHolder::initAndLoadAllFromDir(char const*,sead::Heap *,sead::Heap *)",false
"_ZN2al12ShaderHolder7loadAllEPKcPN4sead4HeapES2_","al::ShaderHolder::loadAll(char const*,sead::Heap *,char const*)",false
"_ZN2al12ShaderHolder4loadEPKcS2_PN4sead4HeapEj","al::ShaderHolder::load(char const*,char const*,sead::Heap *,unsigned int)",false
"_ZNK2al12ShaderHolder19tryGetShaderProgramEPKc","al::ShaderHolder::tryGetShaderProgram(char const*)const",false
"_ZNK2al12ShaderHolder16getShaderProgramEPKc","al::ShaderHolder::getShaderProgram(char const*)const",false
"_ZNK2al12ShaderHolder15getShadingModelEPKcS2_","al::ShaderHolder::getShadingModel(char const*,char const*)const",false
"_ZN2nn3g3d16ResShaderArchive16FindShadingModelEPKc","nn::g3d::ResShaderArchive::FindShadingModel(char const*)",false
"_ZN2al12ShaderHolderD2Ev","al::ShaderHolder::~ShaderHolder()",false
"_ZN2al12ShaderHolderD0Ev","al::ShaderHolder::~ShaderHolder()",false
