Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al11MirrorParamC2Ev","al::MirrorParam::MirrorParam(void)",false
"_ZNK2al11MirrorParam12calcTexWidthEv","al::MirrorParam::calcTexWidth(void)const",false
"_ZNK2al11MirrorParam13calcTexHeightEv","al::MirrorParam::calcTexHeight(void)const",false
"_ZNK2al11MirrorParam19getMirror1ActorNameEv","al::MirrorParam::getMirror1ActorName(void)const",false
"_ZNK2al11MirrorParam19getMirror2ActorNameEv","al::MirrorParam::getMirror2ActorName(void)const",false
"_ZNK2al11MirrorParam17getMirror1OffsetYEv","al::MirrorParam::getMirror1OffsetY(void)const",false
"_ZNK2al11MirrorParam17getMirror2OffsetYEv","al::MirrorParam::getMirror2OffsetY(void)const",false
"_ZNK2al11MirrorParam17getMirrorBlurTypeEv","al::MirrorParam::getMirrorBlurType(void)const",false
"_ZNK2al11MirrorParam18getMirrorBlurCountEv","al::MirrorParam::getMirrorBlurCount(void)const",false
"_ZNK2al11MirrorParam20getMirror1NearOffsetEv","al::MirrorParam::getMirror1NearOffset(void)const",false
"_ZNK2al11MirrorParam20getMirror2NearOffsetEv","al::MirrorParam::getMirror2NearOffset(void)const",false
"_ZNK2al11MirrorParam12isPortalModeEv","al::MirrorParam::isPortalMode(void)const",false
"_ZN2al20ShaderMirrorDirectorC2Ev","al::ShaderMirrorDirector::ShaderMirrorDirector(void)",false
"_ZN2al20ShaderMirrorDirectorD2Ev","al::ShaderMirrorDirector::~ShaderMirrorDirector()",false
"_ZN2al20ShaderMirrorDirectorD0Ev","al::ShaderMirrorDirector::~ShaderMirrorDirector()",false
"_ZN2al20ShaderMirrorDirector7endInitEv","al::ShaderMirrorDirector::endInit(void)",false
"_ZN2al20ShaderMirrorDirector12clearRequestEv","al::ShaderMirrorDirector::clearRequest(void)",false
"_ZN2al20ShaderMirrorDirector6updateEv","al::ShaderMirrorDirector::update(void)",false
"_ZN2al20ShaderMirrorDirector15getCurrentParamEv","al::ShaderMirrorDirector::getCurrentParam(void)",false
"sub_7100A07BAC","",false
"_ZNK2al20ShaderMirrorDirector15findMirrorActorEPKc","al::ShaderMirrorDirector::findMirrorActor(char const*)const",false
"_ZN2al20ShaderMirrorDirector12requestParamEiiRKNS_11MirrorParamE","al::ShaderMirrorDirector::requestParam(int,int,al::MirrorParam const&)",false
"_ZN2al20ShaderMirrorDirector14startRenderingEv","al::ShaderMirrorDirector::startRendering(void)",false
"_ZN2al20ShaderMirrorDirector12endRenderingEPN3agl11DrawContextEPKNS1_11TextureDataE","al::ShaderMirrorDirector::endRendering(agl::DrawContext *,agl::TextureData const*)",false
"_ZN2al20ShaderMirrorDirector7releaseEPN3agl11DrawContextE","al::ShaderMirrorDirector::release(agl::DrawContext *)",false
"_ZNK2al20ShaderMirrorDirector21activateMirrorTextureEPN3agl11DrawContextEi","al::ShaderMirrorDirector::activateMirrorTexture(agl::DrawContext *,int)const",false
"_ZNK2al20ShaderMirrorDirector20getMirrorTextureDataEi","al::ShaderMirrorDirector::getMirrorTextureData(int)const",false
"_ZNK2al20ShaderMirrorDirector8isEnableEv","al::ShaderMirrorDirector::isEnable(void)const",false
"_ZN2al20ShaderMirrorDirector19pushBackMirrorActorEPNS_9LiveActorERKNS_13ActorInitInfoE","al::ShaderMirrorDirector::pushBackMirrorActor(al::LiveActor *,al::ActorInitInfo const&)",false
"_ZNK2al20ShaderMirrorDirector26calcMirrorRenderBufferSizeEPN4sead7Vector2IiEE","al::ShaderMirrorDirector::calcMirrorRenderBufferSize(sead::Vector2<int> *)const",false
"_ZNK2al20ShaderMirrorDirector15getCurrentParamEv","al::ShaderMirrorDirector::getCurrentParam(void)const",false
"_ZNK2al20ShaderMirrorDirector28getRenderingCameraNearOffsetEv","al::ShaderMirrorDirector::getRenderingCameraNearOffset(void)const",false
"_ZNK2al20ShaderMirrorDirector18getRenderingCameraEv","al::ShaderMirrorDirector::getRenderingCamera(void)const",false
"_ZNK2al20ShaderMirrorDirector15getMirrorCameraEPKNS_9LiveActorE","al::ShaderMirrorDirector::getMirrorCamera(al::LiveActor const*)const",false
"_ZNK2al20ShaderMirrorDirector22tryFindMirrorTextureIdEPKNS_9LiveActorE","al::ShaderMirrorDirector::tryFindMirrorTextureId(al::LiveActor const*)const",false
"_ZNK2al20ShaderMirrorDirector18getMirrorActorNameEi","al::ShaderMirrorDirector::getMirrorActorName(int)const",false
"_ZNK2al20ShaderMirrorDirector20findMirrorActorIndexEPKc","al::ShaderMirrorDirector::findMirrorActorIndex(char const*)const",false
"_ZN2al15MirrorActorBaseC2EPKc","al::MirrorActorBase::MirrorActorBase(char const*)",false
"_ZN2al15MirrorActorBaseC1EPKc","al::MirrorActorBase::MirrorActorBase(char const*)",false
"_ZN2al15MirrorActorBase9initByArgERKNS_13ActorInitInfoE","al::MirrorActorBase::initByArg(al::ActorInitInfo const&)",false
"_ZN2al15MirrorActorBase18initAfterPlacementEv","al::MirrorActorBase::initAfterPlacement(void)",false
"_ZN2al15MirrorActorBase7controlEv","al::MirrorActorBase::control(void)",false
"_ZN14MirrorFunction23getShaderMirrorDirectorEPKN2al9LiveActorE","MirrorFunction::getShaderMirrorDirector(al::LiveActor const*)",false
"_ZNK2al11MirrorParam12getParamNameEv","al::MirrorParam::getParamName(void)const",false
"_ZN2al11MirrorParam11getParamObjEv","al::MirrorParam::getParamObj(void)",false
"_ZNK2al11MirrorParam11getParamObjEv","al::MirrorParam::getParamObj(void)const",false
"sub_7100A09010","",false
"sub_7100A09204","",false
