Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15DynamicTexAllocC2Eb","al::DynamicTexAlloc::DynamicTexAlloc(bool)",false
"_ZN2al15DynamicTexAllocD2Ev","al::DynamicTexAlloc::~DynamicTexAlloc()",false
"_ZNK2al15DynamicTexAlloc8getAllocEv","al::DynamicTexAlloc::getAlloc(void)const",false
"_ZN2al15DynamicTexAlloc7freeTexEPN3agl11TextureDataE","al::DynamicTexAlloc::freeTex(agl::TextureData *)",false
"_ZN2al18calcMaxMipLevelNumEi","al::calcMaxMipLevelNum(int)",false
"_ZN2al17getWhite2DSamplerEv","al::getWhite2DSampler(void)",false
"_ZN2al17getBlack2DSamplerEv","al::getBlack2DSampler(void)",false
"_ZN2al15getRed2DSamplerEv","al::getRed2DSampler(void)",false
"_ZN2al17getGreen2DSamplerEv","al::getGreen2DSampler(void)",false
"_ZN2al16getBlue2DSamplerEv","al::getBlue2DSampler(void)",false
"_ZN2al19getBlackCubeSamplerEv","al::getBlackCubeSampler(void)",false
"_ZN2al17getWhite2DTextureEv","al::getWhite2DTexture(void)",false
"_ZN2al17getBlack2DTextureEv","al::getBlack2DTexture(void)",false
"_ZN2al15getRed2DTextureEv","al::getRed2DTexture(void)",false
"_ZN2al17getGreen2DTextureEv","al::getGreen2DTexture(void)",false
"_ZN2al16getBlue2DTextureEv","al::getBlue2DTexture(void)",false
"_ZN2al19getBlackCubeTextureEv","al::getBlackCubeTexture(void)",false
"_ZNK2al16TextureInfoArray11findTextureEPKc","al::TextureInfoArray::findTexture(char const*)const",false
"_ZNK2al16TextureInfoArray16findTextureIndexEPKc","al::TextureInfoArray::findTextureIndex(char const*)const",false
"_ZN2al14makeSamplerLocERKN3agl13ShaderProgramEPKc","al::makeSamplerLoc(agl::ShaderProgram const&,char const*)",false
"_ZN2al20loadTextureInfoArrayEPNS_16TextureInfoArrayEPKcS3_S3_b","al::loadTextureInfoArray(al::TextureInfoArray *,char const*,char const*,char const*,bool)",false
"_ZN2al23tryLoadTextureInfoArrayEPNS_16TextureInfoArrayEPKcS3_S3_b","al::tryLoadTextureInfoArray(al::TextureInfoArray *,char const*,char const*,char const*,bool)",false
"_ZN2al10LutTextureC2EN3agl13TextureFormatEjjj","al::LutTexture::LutTexture(agl::TextureFormat,unsigned int,unsigned int,unsigned int)",false
"_ZN2al10LutTexture6createEv","al::LutTexture::create(void)",false
"_ZN2al10LutTextureD2Ev","al::LutTexture::~LutTexture()",false
"_ZN2al10LutTexture17createDisplayListEPN3agl11DrawContextERKNS1_15SamplerLocationEPN4sead4HeapE","al::LutTexture::createDisplayList(agl::DrawContext *,agl::SamplerLocation const&,sead::Heap *)",false
"_ZN2al10LutTexture11initTexDataEv","al::LutTexture::initTexData(void)",false
"_ZN2al10LutTexture8initCoreEv","al::LutTexture::initCore(void)",false
"_ZN2al10LutTexture8storeU16Eti","al::LutTexture::storeU16(unsigned short,int)",false
"_ZN2al10LutTexture6reinitEv","al::LutTexture::reinit(void)",false
"_ZN2al8LutCurve13updateTexDataEv","al::LutCurve::updateTexData(void)",false
"_ZN2al7CurveIoC1EPKcS2_S2_S2_S2_","al::CurveIo::CurveIo(char const*,char const*,char const*,char const*,char const*)",false
"_ZN2al7CurveIo12loadResourceEv","al::CurveIo::loadResource(void)",false
"_ZN2al19ShaderSamplerSetterC2EPN3agl11DrawContextEPKNS1_13ShaderProgramEPKNS1_14TextureSamplerEPKcb","al::ShaderSamplerSetter::ShaderSamplerSetter(agl::DrawContext *,agl::ShaderProgram const*,agl::TextureSampler const*,char const*,bool)",false
"_ZN4sead8PtrArrayIN2al11TextureInfoEE8compareTEPKS2_S5_","sead::PtrArray<al::TextureInfo>::compareT(al::TextureInfo const*,al::TextureInfo const*)",false
