Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al15ThunderRendererC2EPNS_18GraphicsSystemInfoEPN4sead6RandomE","al::ThunderRenderer::ThunderRenderer(al::GraphicsSystemInfo *,sead::Random *)",false
"_ZN2al15ThunderRendererD2Ev","al::ThunderRenderer::~ThunderRenderer()",false
"_ZN2al15ThunderRendererD0Ev","al::ThunderRenderer::~ThunderRenderer()",false
"_ZN2al15ThunderRenderer7calcGpuEv","al::ThunderRenderer::calcGpu(void)",false
"_ZN2al15ThunderRenderer14updateAddIndexEb","al::ThunderRenderer::updateAddIndex(bool)",false
"_ZN2al15ThunderRenderer10requestPosEifRKN4sead7Vector3IfEES5_iRKNS1_7Color4fE","al::ThunderRenderer::requestPos(int,float,sead::Vector3<float> const&,sead::Vector3<float> const&,int,sead::Color4f const&)",false
"_ZN2al15ThunderRenderer10requestDirEifRKN4sead7Vector3IfEEiRKNS1_7Color4fE","al::ThunderRenderer::requestDir(int,float,sead::Vector3<float> const&,int,sead::Color4f const&)",false
"_ZN2al15ThunderRenderer14requestKeepArcEifPvRKN4sead7Vector3IfEES6_RKNS2_7Color4fE","al::ThunderRenderer::requestKeepArc(int,float,void *,sead::Vector3<float> const&,sead::Vector3<float> const&,sead::Color4f const&)",false
"_ZNK2al15ThunderRenderer16requestLineLightEv","al::ThunderRenderer::requestLineLight(void)const",false
"_ZN2al15ThunderRenderer7exeWaitEv","al::ThunderRenderer::exeWait(void)",false
"_ZN2al15ThunderRenderer11exeFlushPosEv","al::ThunderRenderer::exeFlushPos(void)",false
"_ZN2al15ThunderRenderer16exeFlushPosAfterEv","al::ThunderRenderer::exeFlushPosAfter(void)",false
"_ZN2al15ThunderRenderer11exeFlushDirEv","al::ThunderRenderer::exeFlushDir(void)",false
"_ZN2al15ThunderRenderer11exeArcBeginEv","al::ThunderRenderer::exeArcBegin(void)",false
"_ZN2al15ThunderRenderer10exeArcKeepEv","al::ThunderRenderer::exeArcKeep(void)",false
"_ZNK2al15ThunderRenderer6isDrawEv","al::ThunderRenderer::isDraw(void)const",false
"_ZNK2al15ThunderRenderer9isDrawFarEv","al::ThunderRenderer::isDrawFar(void)const",false
"_ZNK2al15ThunderRenderer16isRequestableArcEPv","al::ThunderRenderer::isRequestableArc(void *)const",false
"_ZNK2al15ThunderRenderer4drawEPN3agl11DrawContextEiPKNS_9HdrEncodeEPKNS_14SimpleModelEnvEi","al::ThunderRenderer::draw(agl::DrawContext *,int,al::HdrEncode const*,al::SimpleModelEnv const*,int)const",false
"_ZN2al19ThunderRenderKeeperC2EPNS_18GraphicsSystemInfoE","al::ThunderRenderKeeper::ThunderRenderKeeper(al::GraphicsSystemInfo *)",false
"_ZN2al19ThunderRenderKeeperD2Ev","al::ThunderRenderKeeper::~ThunderRenderKeeper()",false
"_ZN2al19ThunderRenderKeeper8finalizeEv","al::ThunderRenderKeeper::finalize(void)",false
"_ZN2al19ThunderRenderKeeper6updateERKNS_18GraphicsUpdateInfoE","al::ThunderRenderKeeper::update(al::GraphicsUpdateInfo const&)",false
"_ZN2al19ThunderRenderKeeper7calcGpuERKNS_19GraphicsCalcGpuInfoE","al::ThunderRenderKeeper::calcGpu(al::GraphicsCalcGpuInfo const&)",false
"_ZNK2al19ThunderRenderKeeper11drawForwardERKNS_18GraphicsRenderInfoERKNS_15RenderVariablesE","al::ThunderRenderKeeper::drawForward(al::GraphicsRenderInfo const&,al::RenderVariables const&)const",false
"_ZNK2al19ThunderRenderKeeper11drawCubemapERKNS_18GraphicsRenderInfoE","al::ThunderRenderKeeper::drawCubemap(al::GraphicsRenderInfo const&)const",false
"_ZNK2al19ThunderRenderKeeper22findRequestableThunderEPv","al::ThunderRenderKeeper::findRequestableThunder(void *)const",false
"_ZN2al19ThunderRenderKeeper10requestPosEifRKN4sead7Vector3IfEES5_iRKNS1_7Color4fE","al::ThunderRenderKeeper::requestPos(int,float,sead::Vector3<float> const&,sead::Vector3<float> const&,int,sead::Color4f const&)",false
"_ZN2al19ThunderRenderKeeper10requestDirEifRKN4sead7Vector3IfEEiRKNS1_7Color4fE","al::ThunderRenderKeeper::requestDir(int,float,sead::Vector3<float> const&,int,sead::Color4f const&)",false
