Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al13isExistShadowEPNS_9LiveActorE","al::isExistShadow(al::LiveActor *)",false
"_ZN2al21isExistShadowMaskCtrlEPNS_9LiveActorE","al::isExistShadowMaskCtrl(al::LiveActor *)",false
"_ZN2al17isExistShadowMaskEPNS_9LiveActorEPKc","al::isExistShadowMask(al::LiveActor *,char const*)",false
"_ZN2al18isExistDepthShadowEPNS_9LiveActorE","al::isExistDepthShadow(al::LiveActor *)",false
"_ZN2al25isExistDepthShadowMapCtrlEPNS_9LiveActorE","al::isExistDepthShadowMapCtrl(al::LiveActor *)",false
"_ZN2al20isExistAnyShadowCtrlEPNS_9LiveActorE","al::isExistAnyShadowCtrl(al::LiveActor *)",false
"_ZN2al16isHideShadowMaskEPKNS_9LiveActorE","al::isHideShadowMask(al::LiveActor const*)",false
"_ZN2al10hideShadowEPNS_9LiveActorE","al::hideShadow(al::LiveActor *)",false
"_ZN2al10showShadowEPNS_9LiveActorE","al::showShadow(al::LiveActor *)",false
"_ZN2al14showShadowMaskEPNS_9LiveActorE","al::showShadowMask(al::LiveActor *)",false
"_ZN2al14showShadowMaskEPNS_9LiveActorEPNS_14ShadowMaskBaseE","al::showShadowMask(al::LiveActor *,al::ShadowMaskBase *)",false
"_ZN2al14showShadowMaskEPNS_9LiveActorEPKc","al::showShadowMask(al::LiveActor *,char const*)",false
"_ZN2al14showShadowMaskEPNS_9LiveActorENS_22ShadowMaskDrawCategoryE","al::showShadowMask(al::LiveActor *,al::ShadowMaskDrawCategory)",false
"_ZN2al14hideShadowMaskEPNS_9LiveActorE","al::hideShadowMask(al::LiveActor *)",false
"_ZN2al14hideShadowMaskEPNS_9LiveActorEPNS_14ShadowMaskBaseE","al::hideShadowMask(al::LiveActor *,al::ShadowMaskBase *)",false
"_ZN2al14hideShadowMaskEPNS_9LiveActorEPKc","al::hideShadowMask(al::LiveActor *,char const*)",false
"_ZN2al14hideShadowMaskEPNS_9LiveActorENS_22ShadowMaskDrawCategoryE","al::hideShadowMask(al::LiveActor *,al::ShadowMaskDrawCategory)",false
"_ZN2al16isHideShadowMaskEPNS_9LiveActorEPKc","al::isHideShadowMask(al::LiveActor *,char const*)",false
"_ZN2al18showDepthShadowMapEPNS_9LiveActorEi","al::showDepthShadowMap(al::LiveActor *,int)",false
"_ZN2al18showDepthShadowMapEPKNS_9LiveActorEPNS_18DepthShadowMapInfoE","al::showDepthShadowMap(al::LiveActor const*,al::DepthShadowMapInfo *)",false
"_ZN2al18showDepthShadowMapEPNS_9LiveActorEPKc","al::showDepthShadowMap(al::LiveActor *,char const*)",false
"_ZN2al18hideDepthShadowMapEPNS_9LiveActorEi","al::hideDepthShadowMap(al::LiveActor *,int)",false
"_ZN2al18hideDepthShadowMapEPKNS_9LiveActorEPNS_18DepthShadowMapInfoE","al::hideDepthShadowMap(al::LiveActor const*,al::DepthShadowMapInfo *)",false
"_ZN2al18hideDepthShadowMapEPNS_9LiveActorEPKc","al::hideDepthShadowMap(al::LiveActor *,char const*)",false
"_ZN2al20isHideDepthShadowMapEPNS_9LiveActorEPKc","al::isHideDepthShadowMap(al::LiveActor *,char const*)",false
"_ZN2al20isHideDepthShadowMapEPNS_9LiveActorEi","al::isHideDepthShadowMap(al::LiveActor *,int)",false
"_ZN2al20getDepthShadowMapNumEPNS_9LiveActorE","al::getDepthShadowMapNum(al::LiveActor *)",false
"_ZN2al18validateShadowMaskEPNS_9LiveActorE","al::validateShadowMask(al::LiveActor *)",false
"_ZN2al18validateShadowMaskEPNS_9LiveActorEPNS_14ShadowMaskBaseE","al::validateShadowMask(al::LiveActor *,al::ShadowMaskBase *)",false
"_ZN2al18validateShadowMaskEPNS_9LiveActorEPKc","al::validateShadowMask(al::LiveActor *,char const*)",false
"_ZN2al20invalidateShadowMaskEPNS_9LiveActorE","al::invalidateShadowMask(al::LiveActor *)",false
"_ZN2al20invalidateShadowMaskEPNS_9LiveActorEPNS_14ShadowMaskBaseE","al::invalidateShadowMask(al::LiveActor *,al::ShadowMaskBase *)",false
"_ZN2al20invalidateShadowMaskEPNS_9LiveActorEPKc","al::invalidateShadowMask(al::LiveActor *,char const*)",false
"_ZN2al22validateDepthShadowMapEPNS_9LiveActorE","al::validateDepthShadowMap(al::LiveActor *)",false
"_ZN2al22validateDepthShadowMapEPNS_9LiveActorEPNS_18DepthShadowMapInfoE","al::validateDepthShadowMap(al::LiveActor *,al::DepthShadowMapInfo *)",false
"_ZN2al22validateDepthShadowMapEPNS_9LiveActorEPKc","al::validateDepthShadowMap(al::LiveActor *,char const*)",false
"_ZN2al24invalidateDepthShadowMapEPNS_9LiveActorE","al::invalidateDepthShadowMap(al::LiveActor *)",false
"_ZN2al24invalidateDepthShadowMapEPNS_9LiveActorEPNS_18DepthShadowMapInfoE","al::invalidateDepthShadowMap(al::LiveActor *,al::DepthShadowMapInfo *)",false
"_ZN2al24invalidateDepthShadowMapEPNS_9LiveActorEPKc","al::invalidateDepthShadowMap(al::LiveActor *,char const*)",false
"_ZN2al20invalidateShadowMaskEPNS_9LiveActorENS_22ShadowMaskDrawCategoryE","al::invalidateShadowMask(al::LiveActor *,al::ShadowMaskDrawCategory)",false
"_ZN2al32invalidateShadowMaskIntensityAllEPNS_9LiveActorE","al::invalidateShadowMaskIntensityAll(al::LiveActor *)",false
"_ZN2al18setShadowMaskFixedEPNS_9LiveActorEb","al::setShadowMaskFixed(al::LiveActor *,bool)",false
"_ZN2al20setShadowMaskDropDirEPNS_9LiveActorERKN4sead7Vector3IfEE","al::setShadowMaskDropDir(al::LiveActor *,sead::Vector3<float> const&)",false
"_ZN2al20setShadowMaskDropDirEPNS_9LiveActorERKN4sead7Vector3IfEEPKc","al::setShadowMaskDropDir(al::LiveActor *,sead::Vector3<float> const&,char const*)",false
"_ZN2al29setShadowMaskDropDirActorDownEPNS_9LiveActorE","al::setShadowMaskDropDirActorDown(al::LiveActor *)",false
"_ZN2al17setShadowMaskSizeEPNS_9LiveActorEPKcRKN4sead7Vector3IfEE","al::setShadowMaskSize(al::LiveActor *,char const*,sead::Vector3<float> const&)",false
"_ZN2al17setShadowMaskSizeEPNS_9LiveActorEPKcfff","al::setShadowMaskSize(al::LiveActor *,char const*,float,float,float)",false
"_ZN2al22setShadowTextureOffsetEPNS_9LiveActorEPKcff","al::setShadowTextureOffset(al::LiveActor *,char const*,float,float)",false
"_ZN2al21onShadowTextureScrollEPNS_9LiveActorEPKc","al::onShadowTextureScroll(al::LiveActor *,char const*)",false
"_ZN2al22offShadowTextureScrollEPNS_9LiveActorEPKc","al::offShadowTextureScroll(al::LiveActor *,char const*)",false
"_ZN2al18calcShadowMaskSizeEPN4sead7Vector3IfEEPNS_9LiveActorEPKc","al::calcShadowMaskSize(sead::Vector3<float> *,al::LiveActor *,char const*)",false
"_ZN2al23getShadowMaskDropLengthEPKNS_9LiveActorEPKc","al::getShadowMaskDropLength(al::LiveActor const*,char const*)",false
"_ZN2al23setShadowMaskDropLengthEPNS_9LiveActorEf","al::setShadowMaskDropLength(al::LiveActor *,float)",false
"_ZN2al23setShadowMaskDropLengthEPNS_9LiveActorEfPKc","al::setShadowMaskDropLength(al::LiveActor *,float,char const*)",false
"_ZN2al44setShadowMaskDropLengthScaleWithDrawCategoryEPNS_9LiveActorEfNS_22ShadowMaskDrawCategoryE","al::setShadowMaskDropLengthScaleWithDrawCategory(al::LiveActor *,float,al::ShadowMaskDrawCategory)",false
"_ZN2al39setShadowMaskDropLengthWithDrawCategoryEPNS_9LiveActorEfNS_22ShadowMaskDrawCategoryE","al::setShadowMaskDropLengthWithDrawCategory(al::LiveActor *,float,al::ShadowMaskDrawCategory)",false
"_ZN2al37setShadowMaskDropLengthEvenWithTargetEPNS_14ShadowMaskBaseEPKcRKN4sead7Vector3IfEE","al::setShadowMaskDropLengthEvenWithTarget(al::ShadowMaskBase *,char const*,sead::Vector3<float> const&)",false
"_ZN2al37setShadowMaskDropLengthEvenWithTargetEPNS_14ShadowMaskBaseEPKS0_RKN4sead7Vector3IfEE","al::setShadowMaskDropLengthEvenWithTarget(al::ShadowMaskBase *,al::ShadowMaskBase const*,sead::Vector3<float> const&)",false
"_ZN2al43setShadowMaskDropLengthEvenWithDrawCategoryEPNS_9LiveActorENS_22ShadowMaskDrawCategoryEPKS0_PKc","al::setShadowMaskDropLengthEvenWithDrawCategory(al::LiveActor *,al::ShadowMaskDrawCategory,al::LiveActor const*,char const*)",false
"_ZN2al38setShadowMaskDropLengthEvenPlaneNormalEPKNS_9LiveActorERKN4sead7Vector3IfEE","al::setShadowMaskDropLengthEvenPlaneNormal(al::LiveActor const*,sead::Vector3<float> const&)",false
"_ZN2al22getDepthShadowMapWidthEPKNS_9LiveActorEPKc","al::getDepthShadowMapWidth(al::LiveActor const*,char const*)",false
"_ZN2al23getDepthShadowMapHeightEPKNS_9LiveActorEPKc","al::getDepthShadowMapHeight(al::LiveActor const*,char const*)",false
"_ZN2al21setDepthShadowMapSizeEPKNS_9LiveActorEiiPKc","al::setDepthShadowMapSize(al::LiveActor const*,int,int,char const*)",false
"_ZN2al23getDepthShadowMapLengthEPKNS_9LiveActorEPKc","al::getDepthShadowMapLength(al::LiveActor const*,char const*)",false
"_ZN2al23setDepthShadowMapLengthEPKNS_9LiveActorEfPKc","al::setDepthShadowMapLength(al::LiveActor const*,float,char const*)",false
"_ZN2al41setDepthShadowMapLengthFromActorTransFlagEPKNS_9LiveActorEbPKc","al::setDepthShadowMapLengthFromActorTransFlag(al::LiveActor const*,bool,char const*)",false
"_ZN2al28setDepthShadowMapBoundingBoxEPKNS_9LiveActorERKN4sead7Vector3IfEES7_PKc","al::setDepthShadowMapBoundingBox(al::LiveActor const*,sead::Vector3<float> const&,sead::Vector3<float> const&,char const*)",false
"_ZN2al29setDepthShadowMapMaskTypeNoneEPKNS_9LiveActorEPKc","al::setDepthShadowMapMaskTypeNone(al::LiveActor const*,char const*)",false
"_ZN2al29setDepthShadowMapMaskTypeSelfEPKNS_9LiveActorEPKc","al::setDepthShadowMapMaskTypeSelf(al::LiveActor const*,char const*)",false
"_ZN2al38setEnableDepthShadowMapBottomGradationEPKNS_9LiveActorEPKcb","al::setEnableDepthShadowMapBottomGradation(al::LiveActor const*,char const*,bool)",false
"_ZN2al37isEnableDepthShadowMapBottomGradationEPKNS_9LiveActorEPKc","al::isEnableDepthShadowMapBottomGradation(al::LiveActor const*,char const*)",false
"_ZN2al38setDepthShadowMapBottomGradationLengthEPKNS_9LiveActorEPKcf","al::setDepthShadowMapBottomGradationLength(al::LiveActor const*,char const*,float)",false
"_ZN2al38getDepthShadowMapBottomGradationLengthEPKNS_9LiveActorEPKc","al::getDepthShadowMapBottomGradationLength(al::LiveActor const*,char const*)",false
