Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al18DepthShadowMapInfoC2EPKc","al::DepthShadowMapInfo::DepthShadowMapInfo(char const*)",false
"_ZN2al18DepthShadowMapInfo20setShadowTextureSizeEii","al::DepthShadowMapInfo::setShadowTextureSize(int,int)",false
"_ZN2al18DepthShadowMapInfo21getDepthShadowMapCtrlEv","al::DepthShadowMapInfo::getDepthShadowMapCtrl(void)",false
"_ZN2al18DepthShadowMapCtrlC1EPKNS_8ResourceE","al::DepthShadowMapCtrl::DepthShadowMapCtrl(al::Resource const*)",false
"_ZN2al18DepthShadowMapCtrlD2Ev","al::DepthShadowMapCtrl::~DepthShadowMapCtrl()",false
"_ZN2al18DepthShadowMapCtrlD0Ev","al::DepthShadowMapCtrl::~DepthShadowMapCtrl()",false
"_ZN2al18DepthShadowMapCtrl4initEPNS_9LiveActorERKNS_9ByamlIterE","al::DepthShadowMapCtrl::init(al::LiveActor *,al::ByamlIter const&)",false
"_ZN2al18DepthShadowMapCtrl24appendDepthShadowMapInfoEPKciiifbRKN4sead7Vector3IfEEbS7_S7_bS2_ibfffbbfibbf","al::DepthShadowMapCtrl::appendDepthShadowMapInfo(char const*,int,int,int,float,bool,sead::Vector3<float> const&,bool,sead::Vector3<float> const&,sead::Vector3<float> const&,bool,char const*,int,bool,float,float,float,bool,bool,float,int,bool,bool,float)",false
"_ZN2al18DepthShadowMapCtrl15initWithoutIterEPNS_9LiveActorEi","al::DepthShadowMapCtrl::initWithoutIter(al::LiveActor *,int)",false
"_ZN2al18DepthShadowMapCtrl18initAfterPlacementEPNS_18GraphicsSystemInfoE","al::DepthShadowMapCtrl::initAfterPlacement(al::GraphicsSystemInfo *)",false
"sub_7100A16FC8","",false
"sub_7100A17064","",false
"_ZN2al18DepthShadowMapCtrl6updateEv","al::DepthShadowMapCtrl::update(void)",false
"_ZN2al18DepthShadowMapCtrl18updateShapeVisibleEPKNS_9LiveActorE","al::DepthShadowMapCtrl::updateShapeVisible(al::LiveActor const*)",false
"_ZNK2al18DepthShadowMapCtrl19actorModelDrawDepthEv","al::DepthShadowMapCtrl::actorModelDrawDepth(void)const",false
"_ZNK2al18DepthShadowMapCtrl18actorModelDrawMaskEv","al::DepthShadowMapCtrl::actorModelDrawMask(void)const",false
"_ZN2al18DepthShadowMapCtrl4showEv","al::DepthShadowMapCtrl::show(void)",false
"_ZN2al18DepthShadowMapCtrl4hideEv","al::DepthShadowMapCtrl::hide(void)",false
"_ZNK2al18DepthShadowMapCtrl25tryFindDepthShadowMapInfoEPKc","al::DepthShadowMapCtrl::tryFindDepthShadowMapInfo(char const*)const",false
"_ZNK2al18DepthShadowMapCtrl21getDepthShadowMapInfoEi","al::DepthShadowMapCtrl::getDepthShadowMapInfo(int)const",false
"_ZNK2al18DepthShadowMapCtrl20getDepthShadowMapNumEv","al::DepthShadowMapCtrl::getDepthShadowMapNum(void)const",false
"_ZN2al30StaticDepthShadowMatrixUpdatorC2Ev","al::StaticDepthShadowMatrixUpdator::StaticDepthShadowMatrixUpdator(void)",false
"_ZN2al30StaticDepthShadowMatrixUpdator18updateShadowMatrixEf","al::StaticDepthShadowMatrixUpdator::updateShadowMatrix(float)",false
"_ZN2al22DepthShadowMapDirectorC2EPNS_18GraphicsSystemInfoEPNS_15ExecuteDirectorEPNS_15AreaObjDirectorE","al::DepthShadowMapDirector::DepthShadowMapDirector(al::GraphicsSystemInfo *,al::ExecuteDirector *,al::AreaObjDirector *)",false
"_ZN2al22DepthShadowMapDirectorD2Ev","al::DepthShadowMapDirector::~DepthShadowMapDirector()",false
"_ZN2al22DepthShadowMapDirectorD0Ev","al::DepthShadowMapDirector::~DepthShadowMapDirector()",false
"_ZN2al22DepthShadowMapDirector4initEv","al::DepthShadowMapDirector::init(void)",false
"_ZN2al22DepthShadowMapDirector7endInitEv","al::DepthShadowMapDirector::endInit(void)",false
"_ZN2al22DepthShadowMapDirector18createDepthTextureEPNS0_10ShadowInfoEb","al::DepthShadowMapDirector::createDepthTexture(al::DepthShadowMapDirector::ShadowInfo *,bool)",false
"_ZN2al22DepthShadowMapDirector18initAfterPlacementEv","al::DepthShadowMapDirector::initAfterPlacement(void)",false
"_ZN2al22DepthShadowMapDirector28registerUpdateDepthShadowMapEPNS_18DepthShadowMapInfoE","al::DepthShadowMapDirector::registerUpdateDepthShadowMap(al::DepthShadowMapInfo *)",false
"_ZN2al22DepthShadowMapDirector26removeUpdateDepthShadowMapEPNS_18DepthShadowMapInfoE","al::DepthShadowMapDirector::removeUpdateDepthShadowMap(al::DepthShadowMapInfo *)",false
"_ZN2al22DepthShadowMapDirector8movementEv","al::DepthShadowMapDirector::movement(void)",false
"_ZN2al22DepthShadowMapDirector15preDrawGraphicsEv","al::DepthShadowMapDirector::preDrawGraphics(void)",false
