Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al14ShadowDirectorC2EiPNS_18GraphicsSystemInfoEPNS_15AreaObjDirectorEPNS_15ExecuteDirectorEPNS_12EffectSystemEPNS_15SceneCameraInfoEPKNS_12PlayerHolderE","al::ShadowDirector::ShadowDirector(int,al::GraphicsSystemInfo *,al::AreaObjDirector *,al::ExecuteDirector *,al::EffectSystem *,al::SceneCameraInfo *,al::PlayerHolder const*)",false
"_ZN2al14ShadowDirectorD2Ev","al::ShadowDirector::~ShadowDirector()",false
"_ZN2al14ShadowDirector10initShaderEPNS_12ShaderHolderE","al::ShadowDirector::initShader(al::ShaderHolder *)",false
"_ZN2al14ShadowDirector7endInitEv","al::ShadowDirector::endInit(void)",false
"_ZN2al14ShadowDirector18initAfterPlacementEv","al::ShadowDirector::initAfterPlacement(void)",false
"_ZN2al14ShadowDirector12clearRequestEv","al::ShadowDirector::clearRequest(void)",false
"_ZN2al14ShadowDirector6updateEv","al::ShadowDirector::update(void)",false
"_ZN2al14ShadowDirector21getCurrentShadowParamEv","al::ShadowDirector::getCurrentShadowParam(void)",false
"_ZN2al14ShadowDirector19getCurrentClipParamEv","al::ShadowDirector::getCurrentClipParam(void)",false
"_ZNK2al14ShadowDirector19isUsingShadowCameraEv","al::ShadowDirector::isUsingShadowCamera(void)const",false
"_ZN2al14ShadowDirector15preDrawGraphicsEv","al::ShadowDirector::preDrawGraphics(void)",false
"_ZNK2al14ShadowDirector21isEnableShadowPrePassEv","al::ShadowDirector::isEnableShadowPrePass(void)const",false
"_ZN2al14ShadowDirector13updateViewGpuEiPKN4sead6CameraEPKNS_10ProjectionE","al::ShadowDirector::updateViewGpu(int,sead::Camera const*,al::Projection const*)",false
"_ZN2al14ShadowDirector14getDepthShadowEv","al::ShadowDirector::getDepthShadow(void)",false
"_ZN2al14ShadowDirector17drawShadowPrePassEPN3agl11DrawContextEiPKNS1_17RenderTargetDepthES6_PKNS1_11TextureDataE","al::ShadowDirector::drawShadowPrePass(agl::DrawContext *,int,agl::RenderTargetDepth const*,agl::RenderTargetDepth const*,agl::TextureData const*)",false
"_ZNK2al14ShadowDirector23getShadowPrePassSamplerEi","al::ShadowDirector::getShadowPrePassSampler(int)const",false
"_ZNK2al14ShadowDirector23getShadowPrePassTextureEi","al::ShadowDirector::getShadowPrePassTexture(int)const",false
"_ZNK2al14ShadowDirector19isEnableDepthShadowEv","al::ShadowDirector::isEnableDepthShadow(void)const",false
"_ZNK2al14ShadowDirector21getCurrentShadowParamEv","al::ShadowDirector::getCurrentShadowParam(void)const",false
"_ZNK2al14ShadowDirector19getCurrentClipParamEv","al::ShadowDirector::getCurrentClipParam(void)const",false
"_ZNK2al14ShadowDirector14getCurrentNearEv","al::ShadowDirector::getCurrentNear(void)const",false
"_ZNK2al14ShadowDirector13getCurrentFarEv","al::ShadowDirector::getCurrentFar(void)const",false
"_ZN2al14ShadowDirector12requestParamEiiRKNS_16DepthShadowParamE","al::ShadowDirector::requestParam(int,int,al::DepthShadowParam const&)",false
"_ZN2al14ShadowDirector12requestParamEiiRKNS_20DepthShadowClipParamE","al::ShadowDirector::requestParam(int,int,al::DepthShadowClipParam const&)",false
"_ZN14ShadowFunction17getShadowDirectorEPKN2al9LiveActorE","ShadowFunction::getShadowDirector(al::LiveActor const*)",false
"_ZNK2al16DepthShadowParam12getParamNameEv","al::DepthShadowParam::getParamName(void)const",false
"_ZN2al16DepthShadowParam11getParamObjEv","al::DepthShadowParam::getParamObj(void)",false
"_ZNK2al16DepthShadowParam11getParamObjEv","al::DepthShadowParam::getParamObj(void)const",false
"_ZNK2al20DepthShadowClipParam12getParamNameEv","al::DepthShadowClipParam::getParamName(void)const",false
"_ZN2al20DepthShadowClipParam11getParamObjEv","al::DepthShadowClipParam::getParamObj(void)",false
"_ZNK2al20DepthShadowClipParam11getParamObjEv","al::DepthShadowClipParam::getParamObj(void)const",false
