Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al19isShadowMaskLbufAddEi","al::isShadowMaskLbufAdd(int)",false
"_ZN2al21isShadowMaskLbufScaleEi","al::isShadowMaskLbufScale(int)",false
"_ZN2al14isShadowMaskAOEi","al::isShadowMaskAO(int)",false
"_ZN2al18isShadowMaskShadowEi","al::isShadowMaskShadow(int)",false
"_ZN2al14ShadowMaskBaseC2EPKc","al::ShadowMaskBase::ShadowMaskBase(char const*)",false
"_ZN2al14ShadowMaskBase18initAfterPlacementEv","al::ShadowMaskBase::initAfterPlacement(void)",false
"_ZN2al14ShadowMaskBase18createMtxConnectorEv","al::ShadowMaskBase::createMtxConnector(void)",false
"_ZN2al14ShadowMaskBase7setHostEPKNS_9LiveActorE","al::ShadowMaskBase::setHost(al::LiveActor const*)",false
"_ZN2al14ShadowMaskBase15setDrawCategoryEPKc","al::ShadowMaskBase::setDrawCategory(char const*)",false
"_ZN2al14ShadowMaskBase9readParamERKNS_9ByamlIterE","al::ShadowMaskBase::readParam(al::ByamlIter const&)",false
"_ZN2al14ShadowMaskBaseD2Ev","al::ShadowMaskBase::~ShadowMaskBase()",false
"_ZN2al14ShadowMaskBaseD0Ev","al::ShadowMaskBase::~ShadowMaskBase()",false
"_ZN2al22ShadowMaskDrawCategory5text_Ei","al::ShadowMaskDrawCategory::text_(int)",false
"_ZN2al26ShadowMaskCastOvalCylinderC2EPKc","al::ShadowMaskCastOvalCylinder::ShadowMaskCastOvalCylinder(char const*)",false
"_ZN2al26ShadowMaskCastOvalCylinder7declareENS_22ShadowMaskDrawCategoryE","al::ShadowMaskCastOvalCylinder::declare(al::ShadowMaskDrawCategory)",false
"_ZN2al26ShadowMaskCastOvalCylinder16calcShadowMatrixEPN4sead8Matrix34IfEE","al::ShadowMaskCastOvalCylinder::calcShadowMatrix(sead::Matrix34<float> *)",false
"_ZNK2al26ShadowMaskCastOvalCylinder23calcOvalWrapMtxCylinderEPN4sead8Matrix34IfEES3_RKNS1_7Vector3IfEEf","al::ShadowMaskCastOvalCylinder::calcOvalWrapMtxCylinder(sead::Matrix34<float> *,sead::Matrix34<float>,sead::Vector3<float> const&,float)const",false
"_ZN2al26ShadowMaskCastOvalCylinder6updateEv","al::ShadowMaskCastOvalCylinder::update(void)",false
"_ZN2al26ShadowMaskCastOvalCylinder11updateMultiEv","al::ShadowMaskCastOvalCylinder::updateMulti(void)",false
"_ZN2al26ShadowMaskCastOvalCylinder8addMultiEv","al::ShadowMaskCastOvalCylinder::addMulti(void)",false
"_ZN2al26ShadowMaskCastOvalCylinderD0Ev","al::ShadowMaskCastOvalCylinder::~ShadowMaskCastOvalCylinder()",false
"_ZNK2al26ShadowMaskCastOvalCylinder17getShadowMaskTypeEv","al::ShadowMaskCastOvalCylinder::getShadowMaskType(void)const",false
"_ZN2al12ShadowKeeperC2Ev","al::ShadowKeeper::ShadowKeeper(void)",false
"_ZN2al12ShadowKeeper18initAfterPlacementEPNS_18GraphicsSystemInfoE","al::ShadowKeeper::initAfterPlacement(al::GraphicsSystemInfo *)",false
"_ZN2al12ShadowKeeper6updateEv","al::ShadowKeeper::update(void)",false
"_ZNK2al12ShadowKeeper6isHideEv","al::ShadowKeeper::isHide(void)const",false
"_ZN2al12ShadowKeeper4hideEv","al::ShadowKeeper::hide(void)",false
"_ZN2al12ShadowKeeper4showEv","al::ShadowKeeper::show(void)",false
"_ZNK2al14ShadowMaskCtrl26setupShadowMaskSphereParamEPNS_16ShadowMaskSphereE","al::ShadowMaskCtrl::setupShadowMaskSphereParam(al::ShadowMaskSphere *)const",false
"_ZN15alYamlMacroUtil14YamlParamGroup11setParamPtrIfEEvPKcPT_","void alYamlMacroUtil::YamlParamGroup::setParamPtr<float>(char const*,float *)",false
"_ZN15alYamlMacroUtil14YamlParamGroup11setParamPtrIbEEvPKcPT_","void alYamlMacroUtil::YamlParamGroup::setParamPtr<bool>(char const*,bool *)",false
"_ZNK2al14ShadowMaskCtrl28setupShadowMaskCylinderParamEPNS_18ShadowMaskCylinderE","al::ShadowMaskCtrl::setupShadowMaskCylinderParam(al::ShadowMaskCylinder *)const",false
"_ZNK2al14ShadowMaskCtrl24setupShadowMaskCubeParamEPNS_14ShadowMaskCubeE","al::ShadowMaskCtrl::setupShadowMaskCubeParam(al::ShadowMaskCube *)const",false
"_ZN15alYamlMacroUtil14YamlParamGroup11setParamPtrIN4sead7Vector3IfEEEEvPKcPT_","void alYamlMacroUtil::YamlParamGroup::setParamPtr<sead::Vector3<float>>(char const*,sead::Vector3<float> *)",false
"_ZN15alYamlMacroUtil14YamlParamGroup11setParamPtrIPKcEEvS3_PT_","void alYamlMacroUtil::YamlParamGroup::setParamPtr<char const*>(char const*,char const* *)",false
"_ZN15alYamlMacroUtil14YamlParamGroup11setParamPtrIN4sead7Vector2IfEEEEvPKcPT_","void alYamlMacroUtil::YamlParamGroup::setParamPtr<sead::Vector2<float>>(char const*,sead::Vector2<float> *)",false
"_ZNK2al14ShadowMaskCtrl36setupShadowMaskCastOvalCylinderParamEPNS_26ShadowMaskCastOvalCylinderE","al::ShadowMaskCtrl::setupShadowMaskCastOvalCylinderParam(al::ShadowMaskCastOvalCylinder *)const",false
"_ZN2al14ShadowMaskCtrl18ShadowMaskBaseInfo6setPtrEv","al::ShadowMaskCtrl::ShadowMaskBaseInfo::setPtr(void)",false
"_ZN15alYamlMacroUtil14YamlParamGroup11setParamPtrIN4sead7Color4fEEEvPKcPT_","void alYamlMacroUtil::YamlParamGroup::setParamPtr<sead::Color4f>(char const*,sead::Color4f *)",false
"_ZN15alYamlMacroUtil14YamlParamGroup11setParamPtrIhEEvPKcPT_","void alYamlMacroUtil::YamlParamGroup::setParamPtr<unsigned char>(char const*,unsigned char *)",false
"_ZN2al14ShadowMaskCtrl18ShadowMaskBaseInfo8readIterERKNS_9ByamlIterE","al::ShadowMaskCtrl::ShadowMaskBaseInfo::readIter(al::ByamlIter const&)",false
"_ZN2al14ShadowMaskCtrlC2Eb","al::ShadowMaskCtrl::ShadowMaskCtrl(bool)",false
"_ZN2al14ShadowMaskCtrl17initShadowMaskNumEi","al::ShadowMaskCtrl::initShadowMaskNum(int)",false
"_ZN2al14ShadowMaskCtrl4initEPNS_9LiveActorERKNS_13ActorInitInfoERKNS_9ByamlIterE","al::ShadowMaskCtrl::init(al::LiveActor *,al::ActorInitInfo const&,al::ByamlIter const&)",false
"_ZNK2al14ShadowMaskCtrl14findShadowMaskEPKc","al::ShadowMaskCtrl::findShadowMask(char const*)const",false
"_ZN2al14ShadowMaskCtrl4showEv","al::ShadowMaskCtrl::show(void)",false
"_ZN2al14ShadowMaskCtrl4initEPNS_9LiveActorEi","al::ShadowMaskCtrl::init(al::LiveActor *,int)",false
"_ZN2al14ShadowMaskCtrl18initAfterPlacementEv","al::ShadowMaskCtrl::initAfterPlacement(void)",false
"_ZN2al14ShadowMaskCtrl4hideEv","al::ShadowMaskCtrl::hide(void)",false
"_ZN2al14ShadowMaskCtrl8validateEv","al::ShadowMaskCtrl::validate(void)",false
"_ZN2al14ShadowMaskCtrl10invalidateEv","al::ShadowMaskCtrl::invalidate(void)",false
"_ZNK2al14ShadowMaskCtrl6isHideEv","al::ShadowMaskCtrl::isHide(void)const",false
"_ZN2al14ShadowMaskCtrl16appendShadowMaskEPNS_14ShadowMaskBaseE","al::ShadowMaskCtrl::appendShadowMask(al::ShadowMaskBase *)",false
"_ZN15alYamlMacroUtil13YamlParamBaseIPKcE8clearPtrEv","alYamlMacroUtil::YamlParamBase<char const*>::clearPtr(void)",false
"_ZNK15alYamlMacroUtil20YamlParam_YamlString10getClassIdEv","alYamlMacroUtil::YamlParam_YamlString::getClassId(void)const",false
"_ZNK15alYamlMacroUtil13YamlParamBaseIPKcE10isValidPtrEv","alYamlMacroUtil::YamlParamBase<char const*>::isValidPtr(void)const",false
"_ZN15alYamlMacroUtil13IUseYamlParam9setPtr_u8EPh","alYamlMacroUtil::IUseYamlParam::setPtr_u8(unsigned char *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam10setPtr_u16EPt","alYamlMacroUtil::IUseYamlParam::setPtr_u16(unsigned short *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam10setPtr_s16EPs","alYamlMacroUtil::IUseYamlParam::setPtr_s16(short *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam10setPtr_V2fEPN4sead7Vector2IfEE","alYamlMacroUtil::IUseYamlParam::setPtr_V2f(sead::Vector2<float> *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam10setPtr_V3fEPN4sead7Vector3IfEE","alYamlMacroUtil::IUseYamlParam::setPtr_V3f(sead::Vector3<float> *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam16setPtr_YamlColorEPN4sead7Color4fE","alYamlMacroUtil::IUseYamlParam::setPtr_YamlColor(sead::Color4f *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam10setPtr_s32EPi","alYamlMacroUtil::IUseYamlParam::setPtr_s32(int *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam10setPtr_f32EPf","alYamlMacroUtil::IUseYamlParam::setPtr_f32(float *)",false
"_ZN15alYamlMacroUtil13IUseYamlParam11setPtr_boolEPb","alYamlMacroUtil::IUseYamlParam::setPtr_bool(bool *)",false
"_ZN15alYamlMacroUtil20YamlParam_YamlString17setPtr_YamlStringEPPKc","alYamlMacroUtil::YamlParam_YamlString::setPtr_YamlString(char const**)",false
"_ZN15alYamlMacroUtil13IUseYamlParam17setPtr_YamlStringEPPKc","alYamlMacroUtil::IUseYamlParam::setPtr_YamlString(char const**)",false
