Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al11TextureUnitC2EPKc","al::TextureUnit::TextureUnit(char const*)",false
"_ZN2al11TextureUnit8finalizeEv","al::TextureUnit::finalize(void)",false
"_ZNK2al11TextureUnit8getWidthEv","al::TextureUnit::getWidth(void)const",false
"_ZNK2al11TextureUnit9getHeightEv","al::TextureUnit::getHeight(void)const",false
"_ZNK2al11TextureUnit8getDepthEv","al::TextureUnit::getDepth(void)const",false
"_ZNK2al11TextureUnit4is1DEv","al::TextureUnit::is1D(void)const",false
"_ZNK2al11TextureUnit4is2DEv","al::TextureUnit::is2D(void)const",false
"_ZNK2al11TextureUnit4is3DEv","al::TextureUnit::is3D(void)const",false
"_ZNK2al11TextureUnit9isCubemapEv","al::TextureUnit::isCubemap(void)const",false
"_ZN2al11TextureUnit22invalidateGpuCacheReadEPN3agl11DrawContextE","al::TextureUnit::invalidateGpuCacheRead(agl::DrawContext *)",false
"_ZN2al11TextureUnit23invalidateGpuCacheWriteEPN3agl11DrawContextE","al::TextureUnit::invalidateGpuCacheWrite(agl::DrawContext *)",false
"_ZN2al11TextureUnit16tryCreateTextureERKNS_14TextureInitArgE","al::TextureUnit::tryCreateTexture(al::TextureInitArg const&)",false
"_ZN2al11TextureUnit12applyCompSelERKNS_11CompSelTypeE","al::TextureUnit::applyCompSel(al::CompSelType const&)",false
"_ZN2al15TextureReplacerC1EPKN3agl11TextureDataE","al::TextureReplacer::TextureReplacer(agl::TextureData const*)",false
"_ZN2al15TextureReplacerC2Ev","al::TextureReplacer::TextureReplacer(void)",false
"_ZN2al15TextureReplacer5setupEPKN3agl11TextureDataE","al::TextureReplacer::setup(agl::TextureData const*)",false
"_ZN2al15TextureReplacer7replaceEPNS_9LiveActorEPKcS4_","al::TextureReplacer::replace(al::LiveActor *,char const*,char const*)",false
"_ZN2al15TextureReplacer6updateEv","al::TextureReplacer::update(void)",false
"_ZN2al13createTextureEiiPPh","al::createTexture(int,int,unsigned char **)",false
"_ZN2al26calcOrthoProjectedTexCoordEPN4sead7Vector2IfEERKNS0_8Matrix34IfEERKNS0_7Vector3IfEESB_ff","al::calcOrthoProjectedTexCoord(sead::Vector2<float> *,sead::Matrix34<float> const&,sead::Vector3<float> const&,sead::Vector3<float> const&,float,float)",false
"_ZN2al15isInsideTextureERKN4sead7Vector2IiEEPKN3agl11TextureDataE","al::isInsideTexture(sead::Vector2<int> const&,agl::TextureData const*)",false
"_ZN2al20createAglTextureDataEN3agl13TextureFormatEiiiNS0_16TextureAttributeE","al::createAglTextureData(agl::TextureFormat,int,int,int,agl::TextureAttribute)",false
"_ZN2al18initAglTextureDataEPN3agl11TextureDataENS0_13TextureFormatEiiiNS0_16TextureAttributeE","al::initAglTextureData(agl::TextureData *,agl::TextureFormat,int,int,int,agl::TextureAttribute)",false
"_ZN2al26createAglTextureDataLinearEN3agl13TextureFormatEiii","al::createAglTextureDataLinear(agl::TextureFormat,int,int,int)",false
"_ZN2al24initAglTextureDataLinearEPN3agl11TextureDataENS0_13TextureFormatEiii","al::initAglTextureDataLinear(agl::TextureData *,agl::TextureFormat,int,int,int)",false
"_ZN2al25destroyAglTextureAndImageEPPN3agl11TextureDataE","al::destroyAglTextureAndImage(agl::TextureData **)",false
"_ZN2al15drawColorCircleEPN3agl11DrawContextERKN4sead7Color4fERKNS3_8Matrix34IfEERKNS3_8Matrix44IfEE","al::drawColorCircle(agl::DrawContext *,sead::Color4f const&,sead::Matrix34<float> const&,sead::Matrix44<float> const&)",false
"_ZN2al26makeTextureDataFromArchiveEPN3agl11TextureDataEPKcS4_S4_","al::makeTextureDataFromArchive(agl::TextureData *,char const*,char const*,char const*)",false
"_ZN2al29tryMakeTextureDataFromArchiveEPN3agl11TextureDataEPKcS4_S4_","al::tryMakeTextureDataFromArchive(agl::TextureData *,char const*,char const*,char const*)",false
"_ZN2al8getColorEPKN3agl11TextureDataEii","al::getColor(agl::TextureData const*,int,int)",false
"_ZN2al25getColorFromLinearTextureEPKN3agl11TextureDataEii","al::getColorFromLinearTexture(agl::TextureData const*,int,int)",false
"_ZN2al26getF32FromLinearTextureF16EPKN3agl11TextureDataEiiii","al::getF32FromLinearTextureF16(agl::TextureData const*,int,int,int,int)",false
"_ZN2al26getF32FromLinearTextureF32EPKN3agl11TextureDataEiiii","al::getF32FromLinearTextureF32(agl::TextureData const*,int,int,int,int)",false
"_ZN2al27calcNormalFromLinearTextureEPN4sead7Vector3IfEEPKN3agl11TextureDataEii","al::calcNormalFromLinearTexture(sead::Vector3<float> *,agl::TextureData const*,int,int)",false
"_ZN2al15activateSamplerEPN3agl11DrawContextEPKNS0_14TextureSamplerEPKNS0_13ShaderProgramEPKc","al::activateSampler(agl::DrawContext *,agl::TextureSampler const*,agl::ShaderProgram const*,char const*)",false
