Mangled Symbol, Demangled Symbol, Is Matched
"_ZN2al22ActionPadAndCameraDataC2Ev","al::ActionPadAndCameraData::ActionPadAndCameraData(void)",false
"_ZN2al26ActionPadAndCameraCtrlInfoC2Ev","al::ActionPadAndCameraCtrlInfo::ActionPadAndCameraCtrlInfo(void)",false
"_ZN2al22ActionPadAndCameraCtrl9tryCreateEPKNS_9LiveActorEPKNS_13ActorResourceEPKN4sead7Vector3IfEEPKc","al::ActionPadAndCameraCtrl::tryCreate(al::LiveActor const*,al::ActorResource const*,sead::Vector3<float> const*,char const*)",false
"_ZN2al22ActionPadAndCameraCtrl11startActionEPKc","al::ActionPadAndCameraCtrl::startAction(char const*)",false
"_ZN2al22ActionPadAndCameraCtrl13stopPadRumbleEPKNS_26ActionPadAndCameraCtrlInfoE","al::ActionPadAndCameraCtrl::stopPadRumble(al::ActionPadAndCameraCtrlInfo const*)",false
"_ZN2al22ActionPadAndCameraCtrl12updateCameraEPKNS_26ActionPadAndCameraCtrlInfoE","al::ActionPadAndCameraCtrl::updateCamera(al::ActionPadAndCameraCtrlInfo const*)",false
"_ZN2al22ActionPadAndCameraCtrl24updatePadRumbleSourcePosEPNS_26ActionPadAndCameraCtrlInfoE","al::ActionPadAndCameraCtrl::updatePadRumbleSourcePos(al::ActionPadAndCameraCtrlInfo *)",false
"_ZN2al22ActionPadAndCameraCtrl14startPadRumbleEPKNS_26ActionPadAndCameraCtrlInfoE","al::ActionPadAndCameraCtrl::startPadRumble(al::ActionPadAndCameraCtrlInfo const*)",false
"_ZN2al22ActionPadAndCameraCtrl6updateEfffb","al::ActionPadAndCameraCtrl::update(float,float,float,bool)",false
"_ZN2al22ActionPadAndCameraCtrl21updateCameraLoopShakeEPKNS_26ActionPadAndCameraCtrlInfoE","al::ActionPadAndCameraCtrl::updateCameraLoopShake(al::ActionPadAndCameraCtrlInfo const*)",false
"_ZN2al22ActionPadAndCameraCtrl15notifyActorDeadEv","al::ActionPadAndCameraCtrl::notifyActorDead(void)",false
"_ZN2al22ActionPadAndCameraCtrl23notifyActorStartClippedEv","al::ActionPadAndCameraCtrl::notifyActorStartClipped(void)",false
"_ZN2al22ActionPadAndCameraCtrl21notifyActorEndClippedEv","al::ActionPadAndCameraCtrl::notifyActorEndClipped(void)",false
"_ZN2al22ActionPadAndCameraCtrlC2EPKNS_9LiveActorEPKNS_13ActorResourceEPKN4sead7Vector3IfEEPKc","al::ActionPadAndCameraCtrl::ActionPadAndCameraCtrl(al::LiveActor const*,al::ActorResource const*,sead::Vector3<float> const*,char const*)",false
"sub_7100A394F0","",false
"_ZN16YamlWriterBridge4execIN2al26ActionScreenEffectCtrlInfoEEEvPT_PKc","void YamlWriterBridge::exec<al::ActionScreenEffectCtrlInfo>(al::ActionScreenEffectCtrlInfo *,char const*)",false
"_ZN16YamlReaderBridge4execIN2al26ActionScreenEffectCtrlInfoEEEvPT_PKc","void YamlReaderBridge::exec<al::ActionScreenEffectCtrlInfo>(al::ActionScreenEffectCtrlInfo *,char const*)",false
"_ZN16YamlWriterBridge4execIN2al20ActionRadialBlurDataEEEvPT_PKc","void YamlWriterBridge::exec<al::ActionRadialBlurData>(al::ActionRadialBlurData *,char const*)",false
"_ZN16YamlReaderBridge4execIN2al20ActionRadialBlurDataEEEvPT_PKc","void YamlReaderBridge::exec<al::ActionRadialBlurData>(al::ActionRadialBlurData *,char const*)",false
